post_id,title,cluster,word_count,educational_depth,entity_density,faq_richness,glossary_richness,answer_density,support_content_richness,semantic_breadth,ai_answer_coverage,trust_reinforcement,overall_score,grade
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,1027,77,55.0,56,0,70,86,100,63,100,66.7,B+
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Toys & Enrichment,1444,77,81.0,80,0,75,66,100,70,35,66.7,B+
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,863,70,55.0,64,0,70,86,100,63,100,66.6,B+
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,818,65,61.0,64,0,70,86,100,63,100,66.6,B+
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Gear,1210,77,100,72,0,80,43,100,70,32,66.5,B+
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,821,70,55.0,64,0,65,86,100,63,100,66.0,B+
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Pet Education,2918,95,54.5,94,54,15,43,100,35,100,65.9,B+
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,833,65,43.0,78,0,65,82,100,63,100,65.2,B+
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,817,70,47.0,64,0,65,86,100,63,100,65.1,B+
5425,Dog Toys FAQ: Common Questions Answered,Toys & Enrichment,1651,83,72.0,100,0,30,63,100,40,91,64.7,B+
4787,Dog Toy Safety: What Every Owner Needs to Know,Toys & Enrichment,729,65,12.5,64,0,80,97,100,80,97,64.6,B+
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,764,70,43.0,64,0,65,86,100,63,100,64.6,B+
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Toys & Enrichment,2013,95,77.5,86,0,30,39,100,40,100,64.4,B+
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,763,70,46.5,64,0,60,86,100,63,100,64.4,B+
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Food & Nutrition,936,70,97.0,64,0,70,70,100,63,32,64.3,B+
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,946,70,76.5,72,0,75,66,100,70,35,64.2,B+
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,General,822,70,36.0,72,0,70,78,92,70,91,63.9,B+
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,896,70,81.0,72,0,70,66,100,70,32,63.8,B+
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food & Nutrition,1611,83,69.5,94,0,95,31,100,50,21,63.8,B+
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,782,70,43.0,56,0,65,86,100,63,100,63.6,B+
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,799,65,43.5,62,0,65,86,100,63,100,63.6,B+
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,784,70,39.0,64,0,60,86,100,63,100,63.5,B+
4789,Best Types of Dog Toys for Different Play Styles,Toys & Enrichment,815,65,12.5,72,0,65,97,100,80,91,63.2,B+
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,816,70,38.5,56,0,65,86,100,63,100,63.1,B+
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Product Reviews,792,70,38.0,56,0,65,86,100,63,100,63.0,B+
4790,DIY Dog Toys: Safe Homemade Options,Toys & Enrichment,759,65,15.0,64,0,65,100,100,80,91,62.8,B+
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Toys & Enrichment,2286,95,49.0,94,0,40,51,100,35,91,62.7,B+
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,768,70,49.5,64,0,60,59,100,63,100,62.6,B+
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,735,70,49.0,64,0,60,59,100,63,100,62.5,B+
4785,How to Wash and Maintain Your Dog's Bed,Grooming,797,65,30.0,72,0,65,78,92,75,91,62.4,B+
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,756,65,30.0,72,0,70,78,92,70,91,62.4,B+
4783,How to Choose the Right Dog Bed Size,Dog Beds,657,58,35.5,80,0,65,78,92,70,91,62.4,B+
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,799,70,45.0,64,0,60,59,100,63,100,62.1,B+
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,854,70,84.5,72,0,70,43,100,63,38,62.1,B+
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Toys & Enrichment,2391,95,47.0,94,0,30,51,100,35,97,61.8,B
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,875,65,69.5,72,0,75,66,100,63,32,61.5,B
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Beds,834,70,57.5,78,0,65,70,100,70,32,61.4,B
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Gear,736,70,81.5,72,0,65,39,100,70,35,61.4,B
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,General,793,65,20.0,72,0,70,78,92,70,91,61.2,B
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,909,65,82.0,64,0,70,43,100,63,44,60.6,B
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Grooming,708,70,60.0,64,0,70,70,100,63,38,60.4,B
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Training,845,65,11.5,72,0,70,78,92,70,91,60.2,B
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,1520,78,77.0,94,30,5,24,100,35,91,60.1,B
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,General Pet Care,794,65,56.5,72,0,70,70,100,63,35,59.9,B
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Gear,880,70,77.0,64,0,65,43,100,70,32,59.9,B
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Toys & Enrichment,1815,88,51.5,88,0,30,43,100,35,91,59.4,B
4791,How to Choose the Right Dog Training Treats,Dog Training,712,65,14.5,72,0,60,78,92,70,91,59.4,B
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,752,65,66.0,70,0,75,47,100,63,32,59.3,B
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Product Reviews,772,65,60.5,64,0,65,70,100,63,32,58.5,B
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Gear,879,70,59.0,72,0,60,47,100,70,32,58.5,B
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Toys & Enrichment,1304,77,38.5,94,0,25,70,100,35,91,58.4,B
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,811,65,63.0,64,0,70,43,100,63,44,58.4,B
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Grooming,767,70,54.5,64,0,60,70,100,63,32,58.0,B
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Gear,1666,78,60.0,94,30,5,20,100,35,91,57.8,B
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,854,70,69.5,64,0,60,43,100,63,32,57.6,B
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Toys & Enrichment,1387,77,41.0,86,0,20,74,100,35,91,57.5,B
5423,Dog Toy Enrichment: Beyond Basic Fetch,Toys & Enrichment,1397,77,40.5,86,0,25,55,100,40,91,57.1,B
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,925,70,54.0,62,0,60,63,100,63,32,57.1,B
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Training,775,65,41.5,64,0,75,66,100,63,32,57.1,B
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Care,1815,78,55.5,92,30,5,20,100,35,91,57.0,B
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,789,65,61.5,64,0,65,43,100,63,38,57.0,B
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Grooming,736,65,46.5,64,0,65,70,100,63,32,56.9,B
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",General,2016,95,26.5,80,0,35,39,100,35,91,56.7,B
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,787,70,41.0,76,0,60,67,92,63,32,56.7,B
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Toys & Enrichment,1414,77,36.0,86,0,25,59,100,35,94,56.6,B
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Gear,802,65,53.5,72,0,65,43,100,63,32,56.5,B
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,763,65,47.5,64,0,65,62,100,63,32,56.3,B
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Beginner Guides,1617,78,44.5,94,30,5,16,100,35,91,55.6,B
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Toys & Enrichment,1231,77,31.5,78,0,25,55,100,35,91,54.5,B
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Gear,857,65,57.0,78,0,20,47,100,35,91,54.5,B
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,728,70,41.0,56,0,60,47,92,63,32,52.7,B-
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Pet Education,869,65,22.5,72,0,20,78,100,35,91,52.1,B-
4570,First-Time Dog Owner Essentials: What You Need to Know,Beginner Guides,807,65,65.0,57,0,20,20,92,40,100,51.4,B-
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Cat Toys,1136,77,18.0,80,0,15,47,100,35,91,51.3,B-
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Gear,510,53,53.5,70,0,15,47,84,38,91,49.5,B-
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,General Pet Care,759,65,43.5,72,0,15,20,92,40,91,49.2,B-
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,1233,77,25.0,72,0,0,44,92,35,91,48.3,B-
5414,Cat Toy Types Explained: A Complete Glossary,Cat Toys,831,70,4.0,64,0,10,74,100,35,91,48.2,B-
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,1049,77,8.5,78,0,5,44,92,35,91,47.6,B-
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,799,70,25.0,70,0,5,44,92,35,91,47.6,B-
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,609,53,39.5,62,0,20,47,92,33,91,47.6,B-
4568,Dog Dental Health: A Practical Care Guide,Dog Health,664,58,48.5,64,0,10,20,92,35,100,47.4,B-
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,General Pet Care,660,58,40.0,78,0,15,20,84,35,94,47.3,B-
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,610,58,26.0,70,0,20,47,92,28,91,47.1,B-
4563,Dog Grooming Basics: A Complete Guide for Owners,Grooming,694,63,33.0,72,0,5,20,92,40,94,46.7,B-
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,General Pet Care,674,58,45.5,72,0,10,20,84,35,91,46.4,B-
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Gear,615,53,33.0,56,0,20,47,92,33,91,46.1,B-
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,792,65,6.5,86,0,0,44,92,35,91,46.0,B-
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,669,58,23.5,62,0,10,47,100,28,91,45.5,C+
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,570,53,28.0,62,0,10,47,92,33,91,45.1,C+
4573,Seasonal Pet Safety: Protecting Pets Through the Year,General Pet Care,618,58,24.0,49,0,15,39,92,33,91,43.7,C+
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Gear,569,53,31.0,62,0,10,20,92,28,94,42.9,C+
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Health,637,53,14.0,70,0,15,20,84,33,91,42.0,C+
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,602,53,25.5,49,0,10,20,92,28,91,40.4,C+
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,599,53,53.0,41,0,0,36,92,28,28,37.2,C
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Toys & Enrichment,328,37,29.5,64,0,10,35,74,33,0,32.1,C
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,487,58,5.0,0,0,10,44,74,0,91,29.6,C-
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,484,58,3.5,0,0,0,44,84,0,91,29.2,C-
