post_id,title,cluster,word_count,trust_link_count,trust_block_present,trust_keyword_count,trust_keyword_density,has_methodology_link,has_transparency_link,has_qa_link,has_corrections_link,has_disclosure_link,trust_propagation_score,grade,top_trust_keywords
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,799,6,yes,11,13.77,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,763,6,yes,11,14.42,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,818,6,yes,11,13.45,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,799,6,yes,13,16.27,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,735,6,yes,11,14.97,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,768,6,yes,11,14.32,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,890,6,yes,11,12.36,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,788,6,yes,11,13.96,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food & Nutrition,2753,4,yes,25,9.08,yes,yes,yes,yes,no,100,A+,verified:8|editorial:4|transparency:3|veterinary:3|methodology:2
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,2500,4,yes,9,3.6,yes,yes,yes,yes,no,94,A+,editorial:2|veterinary:2|methodology:1|transparency:1|quality assurance:1
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Cat Care,2885,4,yes,12,4.16,yes,yes,yes,yes,no,94,A+,veterinary:5|editorial:2|methodology:1|transparency:1|quality assurance:1
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Pet Education,2918,4,yes,9,3.08,yes,yes,yes,yes,no,94,A+,veterinary:3|editorial:2|methodology:1|transparency:1|quality assurance:1
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",General,2694,4,yes,11,4.08,yes,yes,yes,yes,no,94,A+,veterinary:4|editorial:2|methodology:1|transparency:1|quality assurance:1
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Beginner Guides,2701,4,yes,12,4.44,yes,yes,yes,yes,no,94,A+,veterinary:3|reliable:3|editorial:2|methodology:1|transparency:1
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Toys & Enrichment,2391,4,yes,8,3.35,yes,yes,yes,yes,no,94,A+,editorial:2|veterinary:2|methodology:1|transparency:1|quality assurance:1
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Toys & Enrichment,2286,4,yes,7,3.06,yes,yes,yes,yes,no,94,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Toys & Enrichment,2013,4,yes,10,4.97,yes,yes,yes,yes,no,94,A+,veterinary:4|editorial:2|methodology:1|transparency:1|quality assurance:1
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",General,2016,4,yes,9,4.46,yes,yes,yes,yes,no,94,A+,reliable:3|editorial:2|methodology:1|transparency:1|quality assurance:1
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Toys & Enrichment,1815,4,yes,6,3.31,yes,yes,yes,yes,no,94,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Dog Food & Nutrition,2646,4,yes,10,3.78,yes,yes,yes,yes,no,94,A+,editorial:2|veterinary:2|reliable:2|methodology:1|transparency:1
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Grooming,2688,4,yes,10,3.72,yes,yes,yes,yes,no,94,A+,editorial:2|veterinary:2|reliable:2|methodology:1|transparency:1
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,2354,4,yes,10,4.25,yes,yes,yes,yes,no,94,A+,reliable:4|editorial:2|methodology:1|transparency:1|quality assurance:1
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food & Nutrition,2162,4,yes,10,4.63,yes,yes,yes,yes,no,94,A+,veterinary:3|editorial:2|methodology:1|transparency:1|quality assurance:1
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Supplies,2039,4,yes,7,3.43,yes,yes,yes,yes,no,94,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|veterinary:1
5425,Dog Toys FAQ: Common Questions Answered,Toys & Enrichment,1651,4,yes,6,3.63,yes,yes,yes,yes,no,94,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Toys & Enrichment,1414,4,yes,7,4.95,yes,yes,yes,yes,no,94,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|veterinary:1
5423,Dog Toy Enrichment: Beyond Basic Fetch,Toys & Enrichment,1408,4,yes,6,4.26,yes,yes,yes,yes,no,94,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Toys & Enrichment,1387,4,yes,6,4.33,yes,yes,yes,yes,no,94,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Toys & Enrichment,1304,4,yes,6,4.6,yes,yes,yes,yes,no,94,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Care,1815,4,yes,6,3.31,yes,yes,yes,yes,no,94,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Gear,1666,4,yes,6,3.6,yes,yes,yes,yes,no,94,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,1520,4,yes,6,3.95,yes,yes,yes,yes,no,94,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food & Nutrition,4074,4,yes,19,4.66,yes,yes,yes,yes,no,94,A+,editorial:4|veterinary:4|transparency:3|verified:2|methodology:1
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,787,2,yes,5,6.35,no,no,no,no,yes,84,A,editorial:2|disclosure:2|accuracy:1
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,728,2,yes,5,6.87,no,no,no,no,yes,84,A,editorial:2|disclosure:2|accuracy:1
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,925,2,yes,5,5.41,no,no,no,no,yes,84,A,editorial:2|disclosure:2|accuracy:1
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,General Pet Care,794,2,yes,6,7.56,no,no,no,no,yes,84,A,editorial:2|disclosure:2|evidence-based:1|accuracy:1
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Beds,834,2,yes,5,6.0,no,no,no,no,yes,84,A,editorial:2|disclosure:2|accuracy:1
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Product Reviews,772,2,yes,5,6.48,no,no,no,no,yes,84,A,editorial:2|disclosure:2|accuracy:1
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Food & Nutrition,936,2,yes,5,5.34,no,no,no,no,yes,84,A,editorial:2|disclosure:2|accuracy:1
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Gear,802,2,yes,5,6.23,no,no,no,no,yes,84,A,editorial:2|disclosure:2|accuracy:1
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Training,775,2,yes,6,7.74,no,no,no,no,yes,84,A,editorial:2|disclosure:2|accuracy:1|reliable:1
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,763,2,yes,5,6.55,no,no,no,no,yes,84,A,editorial:2|disclosure:2|accuracy:1
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,875,2,yes,6,6.86,no,no,no,no,yes,84,A,editorial:2|disclosure:2|accuracy:1|reliable:1
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,854,2,yes,7,8.2,no,no,no,no,yes,84,A,editorial:2|veterinary:2|disclosure:2|accuracy:1
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,789,2,yes,7,8.87,no,no,no,no,yes,84,A,editorial:2|veterinary:2|disclosure:2|accuracy:1
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,811,2,yes,9,11.1,no,no,no,no,yes,84,A,veterinary:4|editorial:2|disclosure:2|accuracy:1
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,909,2,yes,9,9.9,no,no,no,no,yes,84,A,veterinary:4|editorial:2|disclosure:2|accuracy:1
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Grooming,736,2,yes,5,6.79,no,no,no,no,yes,84,A,editorial:2|disclosure:2|accuracy:1
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Grooming,708,2,yes,7,9.89,no,no,no,no,yes,84,A,editorial:2|veterinary:2|disclosure:2|accuracy:1
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Grooming,767,2,yes,5,6.52,no,no,no,no,yes,84,A,editorial:2|disclosure:2|accuracy:1
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Gear,736,2,yes,6,8.15,no,no,no,no,yes,84,A,editorial:2|disclosure:2|evidence-based:1|accuracy:1
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Gear,879,2,yes,7,7.96,no,no,no,no,yes,84,A,editorial:2|disclosure:2|reliable:2|accuracy:1
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Gear,890,2,yes,5,5.62,no,no,no,no,yes,84,A,editorial:2|disclosure:2|accuracy:1
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,946,2,yes,6,6.34,no,no,no,no,yes,84,A,editorial:2|disclosure:2|evidence-based:1|accuracy:1
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,896,2,yes,5,5.58,no,no,no,no,yes,84,A,editorial:2|disclosure:2|accuracy:1
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,959,2,yes,9,9.38,no,no,no,no,yes,84,A,veterinary:4|editorial:2|disclosure:2|accuracy:1
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,3315,4,yes,6,1.81,yes,yes,yes,yes,no,82,A,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Grooming,1002,2,yes,5,4.99,no,no,no,no,yes,78,A,editorial:2|disclosure:2|accuracy:1
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Gear,1220,2,yes,5,4.1,no,no,no,no,yes,78,A,editorial:2|disclosure:2|accuracy:1
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,1216,2,yes,6,4.93,no,no,no,no,yes,78,A,editorial:2|disclosure:2|veterinary:1|accuracy:1
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Toys & Enrichment,1444,2,yes,6,4.16,no,no,no,no,yes,78,A,editorial:2|disclosure:2|evidence-based:1|accuracy:1
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Toys & Enrichment,1380,2,yes,5,3.62,no,no,no,no,yes,78,A,editorial:2|disclosure:2|accuracy:1
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Toys & Enrichment,1292,2,yes,5,3.87,no,no,no,no,yes,78,A,editorial:2|disclosure:2|accuracy:1
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Toys & Enrichment,1494,2,yes,5,3.35,no,no,no,no,yes,78,A,editorial:2|disclosure:2|accuracy:1
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,599,1,yes,5,8.35,no,no,no,no,yes,74,B+,disclosure:2|editorial:1|evidence-based:1|veterinary:1
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food & Nutrition,1919,0,no,10,5.21,no,no,no,no,no,30,C-,veterinary:5|editorial:2|evidence-based:1|editorial team:1|verified:1
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food & Nutrition,1611,0,no,10,6.21,no,no,no,no,no,30,C-,veterinary:5|editorial:2|verified:2|editorial team:1
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Toys & Enrichment,328,0,no,1,3.05,no,no,no,no,no,24,D,reliable:1
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Gear,543,0,no,1,1.84,no,no,no,no,no,12,F,veterinary:1
