id,title,cluster,answer_superiority,extraction_superiority,comparison_superiority,trust_superiority,usefulness_superiority,ai_preference_score
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,96.7,90,95,100,90,94.3
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,96.7,90,95,100,90,94.3
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,96.7,90,95,100,90,94.3
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,96.7,90,95,100,90,94.3
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,96.7,90,95,100,90,94.3
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Toys,96.7,90,95,100,90,94.3
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,96.7,90,90,100,90,93.3
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,96.7,90,85,100,90,92.3
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,96.7,90,85,100,90,92.3
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,96.7,90,85,100,90,92.3
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,93.3,90,95,100,80,91.7
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,96.7,90,85,100,90,92.3
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,96.7,90,85,100,90,92.3
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,96.7,90,85,100,90,92.3
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,96.7,90,85,100,90,92.3
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,96.7,90,85,100,90,92.3
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,96.7,90,85,100,90,92.3
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,96.7,90,95,100,90,94.3
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,96.7,90,95,100,90,94.3
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,96.7,90,85,100,90,92.3
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,96.7,90,85,100,90,92.3
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,96.7,90,85,100,90,92.3
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,96.7,90,85,100,90,92.3
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,96.7,90,85,100,90,92.3
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,96.7,90,85,100,90,92.3
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,96.7,90,95,100,90,94.3
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,96.7,90,85,100,90,92.3
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,96.7,90,85,100,90,92.3
4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,96.7,90,95,100,90,94.3
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,96.7,90,95,100,90,94.3
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,96.7,90,85,100,90,92.3
4568,Dog Dental Health: A Practical Care Guide,Dog Health,93.3,90,95,100,90,93.7
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,96.7,90,95,100,90,94.3
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,93.3,90,95,100,90,93.7
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,96.7,90,85,100,90,92.3
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,96.7,90,85,100,90,92.3
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,96.7,90,85,100,90,92.3
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,96.7,90,85,100,90,92.3
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,96.7,90,85,100,90,92.3
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,96.7,90,85,100,90,92.3
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,96.7,90,85,100,90,92.3
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,93.3,90,95,100,80,91.7
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,96.7,90,85,100,90,92.3
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,96.7,90,85,100,90,92.3
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,96.7,90,85,100,90,92.3
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,96.7,90,85,100,90,92.3
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Training Supplies,96.7,90,95,100,90,94.3
4125,Best Dog Training Treats UK (2026) – Reward Guide,Training Supplies,96.7,90,85,100,90,92.3
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,93.3,90,95,100,90,93.7
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,93.3,90,95,100,90,93.7
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Training Supplies,96.7,90,95,100,90,94.3
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,96.7,90,95,100,90,94.3
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,96.7,90,95,100,90,94.3
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,96.7,90,95,100,90,94.3
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,96.7,90,85,100,90,92.3
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Uncategorized,96.7,90,95,85,90,91.3
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,96.7,90,95,85,90,91.3
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,96.7,90,95,85,90,91.3
4783,How to Choose the Right Dog Bed Size,Dog Beds,96.7,90,95,85,90,91.3
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,96.7,90,95,85,90,91.3
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,96.7,90,95,85,90,91.3
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,96.7,90,75,100,90,90.3
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,96.7,90,75,100,90,90.3
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Uncategorized,93.3,90,85,100,80,89.7
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,96.7,90,75,100,90,90.3
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,93.3,90,85,100,80,89.7
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,93.3,90,85,100,80,89.7
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,93.3,90,85,100,80,89.7
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,93.3,90,85,100,90,91.7
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,96.7,90,75,100,90,90.3
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,96.7,90,75,100,90,90.3
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,96.7,90,75,100,90,90.3
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,96.7,90,75,100,90,90.3
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,96.7,90,75,100,90,90.3
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,96.7,90,75,100,90,90.3
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,93.3,90,85,100,90,91.7
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,93.3,90,85,100,90,91.7
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,93.3,90,85,100,90,91.7
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,93.3,90,85,100,90,91.7
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,96.7,90,85,85,90,89.3
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,96.7,90,85,85,90,89.3
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,96.7,90,85,85,90,89.3
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,96.7,90,85,85,90,89.3
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,96.7,90,85,85,90,89.3
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,96.7,90,85,85,90,89.3
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,96.7,90,85,85,90,89.3
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,96.7,90,85,85,90,89.3
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,96.7,90,85,85,90,89.3
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,96.7,90,85,85,90,89.3
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,96.7,90,85,85,90,89.3
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,96.7,90,85,85,90,89.3
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,96.7,90,85,85,90,89.3
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,93.3,90,95,85,90,90.7
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,93.3,90,95,85,90,90.7
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,96.7,90,70,100,90,89.3
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,96.7,90,85,85,90,89.3
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,96.7,90,85,85,90,89.3
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,86.7,90,95,100,90,92.3
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,86.7,90,95,100,90,92.3
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,86.7,90,95,100,90,92.3
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,86.7,90,95,100,90,92.3
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,86.7,90,95,100,90,92.3
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,86.7,90,95,100,90,92.3
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,86.7,90,95,100,90,92.3
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,86.7,90,95,100,90,92.3
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,86.7,90,95,100,90,92.3
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,86.7,90,95,100,90,92.3
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,86.7,90,95,100,90,92.3
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,90,90,95,100,90,93
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,93.3,90,75,100,80,87.7
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,86.7,90,95,100,90,92.3
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,86.7,90,95,100,90,92.3
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,93.3,90,75,100,90,89.7
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,86.7,90,90,100,90,91.3
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,96.7,90,75,85,90,87.3
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,96.7,90,75,85,90,87.3
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,96.7,90,75,85,90,87.3
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,96.7,90,60,100,90,87.3
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,96.7,90,75,85,90,87.3
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,96.7,90,75,85,90,87.3
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,96.7,90,60,100,90,87.3
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,96.7,90,60,100,90,87.3
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,96.7,90,75,85,90,87.3
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,83.3,90,95,100,80,89.7
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,83.3,90,95,100,80,89.7
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,83.3,90,95,100,80,89.7
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,83.3,90,95,100,80,89.7
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,86.7,90,95,90,90,90.3
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,86.7,90,95,90,90,90.3
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,96.7,90,70,85,90,86.3
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,90,90,95,75,90,88
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,96.7,90,85,70,90,86.3
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,96.7,90,85,70,90,86.3
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,96.7,90,85,70,90,86.3
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,81.7,90,95,100,90,91.3
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,86.7,90,95,75,90,87.3
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,83.3,90,95,85,50,80.7
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,93.3,90,55,100,90,85.7
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,78.3,90,95,90,90,88.7
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,83.3,90,85,85,50,78.7
8171,Why PetHub Online Exists,Uncategorized,78.3,90,95,85,90,87.7
8172,Our Research Standards,Uncategorized,78.3,90,95,70,90,84.7
