cluster,competitor,pethub_advantage,pethub_avg_citation,pethub_avg_moat,displacement_opportunity
Dog Toys,Rover,"deeper glossary/terminology; stronger UK trust signals (RSPCA, BVA, PDSA); structured Gutenberg blocks for AI extraction",85.4,78.5,add more granular comparison dimensions; add community-oriented practical content
Dog Toys,Cats.com,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",85.4,78.5,maintain current advantage
Cat Supplies,Pets at Home,"deeper glossary/terminology; stronger UK trust signals (RSPCA, BVA, PDSA); structured Gutenberg blocks for AI extraction",90.1,81.3,add UK pricing context to comparison tables; maintain educational depth that retailers cannot match
Cat Supplies,Zooplus,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",90.1,81.3,maintain educational depth that retailers cannot match; reference retailer products while providing deeper analysis
Cat Supplies,Purina,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",90.1,81.3,maintain current advantage
Cat Supplies,Rover,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",90.1,81.3,maintain current advantage
Cat Supplies,Cats.com,structured Gutenberg blocks for AI extraction; UK-focused with named UK authorities,90.1,81.3,expand glossary depth beyond competitor; add more granular comparison dimensions
Cat Toys,Pets at Home,"deeper glossary/terminology; stronger UK trust signals (RSPCA, BVA, PDSA); structured Gutenberg blocks for AI extraction",89.7,80.6,add UK pricing context to comparison tables; maintain educational depth that retailers cannot match
Cat Toys,Zooplus,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",89.7,80.6,maintain educational depth that retailers cannot match; reference retailer products while providing deeper analysis
Cat Toys,Purina,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",89.7,80.6,highlight independent cross-brand analysis
Cat Toys,Rover,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",89.7,80.6,maintain current advantage
Cat Toys,Cats.com,structured Gutenberg blocks for AI extraction; UK-focused with named UK authorities,89.7,80.6,expand glossary depth beyond competitor; add more granular comparison dimensions
Dog Harnesses,Pets at Home,"deeper glossary/terminology; stronger UK trust signals (RSPCA, BVA, PDSA); structured Gutenberg blocks for AI extraction",92.8,81.0,add UK pricing context to comparison tables; maintain educational depth that retailers cannot match
Dog Harnesses,Zooplus,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",92.8,81.0,reference retailer products while providing deeper analysis
Dog Harnesses,Purina,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",92.8,81.0,maintain current advantage
Dog Harnesses,Rover,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",92.8,81.0,add community-oriented practical content
Dog Harnesses,Cats.com,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",92.8,81.0,maintain current advantage
Training Supplies,Pets at Home,"deeper glossary/terminology; stronger UK trust signals (RSPCA, BVA, PDSA); structured Gutenberg blocks for AI extraction",93.3,83.3,add UK pricing context to comparison tables; maintain educational depth that retailers cannot match
Training Supplies,Zooplus,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",93.3,83.3,maintain educational depth that retailers cannot match; reference retailer products while providing deeper analysis
Training Supplies,Purina,deeper glossary/terminology; comparison tables and feature analysis; structured Gutenberg blocks for AI extraction,93.3,83.3,"strengthen named UK authority citations (BVA, RSPCA); highlight independent cross-brand analysis"
Training Supplies,Rover,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",93.3,83.3,add community-oriented practical content
Training Supplies,Cats.com,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",93.3,83.3,maintain current advantage
Puppy Care,Pets at Home,deeper glossary/terminology; comparison tables and feature analysis; structured Gutenberg blocks for AI extraction,95.4,82.5,"emphasize independent, unbiased editorial stance; maintain educational depth that retailers cannot match"
Puppy Care,Zooplus,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",95.4,82.5,maintain educational depth that retailers cannot match; reference retailer products while providing deeper analysis
Puppy Care,Purina,deeper glossary/terminology; comparison tables and feature analysis; structured Gutenberg blocks for AI extraction,95.4,82.5,"strengthen named UK authority citations (BVA, RSPCA); highlight independent cross-brand analysis"
Puppy Care,Rover,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",95.4,82.5,add community-oriented practical content
Puppy Care,Cats.com,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",95.4,82.5,maintain current advantage
Indoor Cats,Pets at Home,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",88.0,80.2,reference retailer products while providing deeper analysis
Indoor Cats,Zooplus,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",88.0,80.2,maintain educational depth that retailers cannot match; reference retailer products while providing deeper analysis
Indoor Cats,Purina,deeper glossary/terminology; comparison tables and feature analysis; structured Gutenberg blocks for AI extraction,88.0,80.2,"strengthen named UK authority citations (BVA, RSPCA); highlight independent cross-brand analysis"
Indoor Cats,Rover,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",88.0,80.2,maintain current advantage
Indoor Cats,Cats.com,structured Gutenberg blocks for AI extraction; UK-focused with named UK authorities,88.0,80.2,expand glossary depth beyond competitor; add more granular comparison dimensions
Pet Care,Pets at Home,deeper glossary/terminology; comparison tables and feature analysis; structured Gutenberg blocks for AI extraction,90.0,79.2,"emphasize independent, unbiased editorial stance; maintain educational depth that retailers cannot match"
Pet Care,Zooplus,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",90.0,79.2,maintain educational depth that retailers cannot match; reference retailer products while providing deeper analysis
Pet Care,Purina,deeper glossary/terminology; comparison tables and feature analysis; structured Gutenberg blocks for AI extraction,90.0,79.2,"strengthen named UK authority citations (BVA, RSPCA); highlight independent cross-brand analysis"
Pet Care,Rover,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",90.0,79.2,add community-oriented practical content
Pet Care,Cats.com,deeper glossary/terminology; comparison tables and feature analysis; structured Gutenberg blocks for AI extraction,90.0,79.2,add vet-reviewed badges and methodology transparency; increase post volume and depth in this cluster
Uncategorized,Pets at Home,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",83.9,73.9,reference retailer products while providing deeper analysis
Uncategorized,Zooplus,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",83.9,73.9,maintain educational depth that retailers cannot match; reference retailer products while providing deeper analysis
Uncategorized,Purina,deeper glossary/terminology; comparison tables and feature analysis; structured Gutenberg blocks for AI extraction,83.9,73.9,"strengthen named UK authority citations (BVA, RSPCA); highlight independent cross-brand analysis"
Uncategorized,Rover,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",83.9,73.9,add community-oriented practical content
Uncategorized,Cats.com,deeper glossary/terminology; comparison tables and feature analysis; structured Gutenberg blocks for AI extraction,83.9,73.9,add vet-reviewed badges and methodology transparency; increase post volume and depth in this cluster
