id,title,cluster,glossary_moat,trust_moat,comparison_moat,practical_moat,educational_moat,citation_moat,structural_moat,moat_score
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,80,100,85,90,60,80,90,83.6
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,80,100,85,90,60,80,90,83.6
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,80,100,95,90,60,70,90,83.6
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,80,100,85,90,60,80,90,83.6
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,80,100,85,90,60,70,90,82.1
4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,80,100,95,90,60,70,90,83.6
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,80,100,95,90,60,70,90,83.6
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,80,100,85,90,60,90,90,85
4568,Dog Dental Health: A Practical Care Guide,Dog Health,80,100,95,90,60,80,90,85
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,80,100,95,90,40,70,90,80.7
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,80,100,95,90,60,80,90,85
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,80,100,85,90,60,80,90,83.6
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,80,100,85,90,75,80,90,85.7
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,80,100,85,90,75,80,90,85.7
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,80,100,85,90,75,80,90,85.7
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,80,100,85,90,75,80,90,85.7
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,80,100,85,90,90,90,90,89.3
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,80,100,85,90,75,80,90,85.7
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,80,100,95,80,60,80,90,83.6
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,80,100,85,90,75,80,90,85.7
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,80,100,85,90,75,80,90,85.7
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,80,100,85,90,75,80,90,85.7
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,80,100,85,90,75,80,90,85.7
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Training Supplies,80,100,95,90,60,70,90,83.6
4125,Best Dog Training Treats UK (2026) – Reward Guide,Training Supplies,80,100,85,90,75,80,90,85.7
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,80,100,95,90,75,70,90,85.7
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,80,100,95,90,75,90,90,88.6
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Training Supplies,80,100,95,90,60,70,90,83.6
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,80,100,95,90,60,70,90,83.6
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,80,100,95,90,75,70,90,85.7
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,80,100,95,90,60,70,90,83.6
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,80,100,85,90,90,80,90,87.9
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Uncategorized,100,85,95,90,60,70,90,84.3
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,80,85,95,90,60,90,90,84.3
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,80,85,95,90,40,80,90,80
4783,How to Choose the Right Dog Bed Size,Dog Beds,80,85,95,90,75,70,90,83.6
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,80,85,95,90,90,80,90,87.1
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,80,85,95,90,75,80,90,85
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,70,100,75,90,60,80,90,80.7
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,70,100,75,90,60,80,90,80.7
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Uncategorized,80,100,85,80,60,80,90,82.1
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,70,100,75,90,60,70,90,79.3
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,70,100,85,80,60,80,90,80.7
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,80,100,85,80,60,80,90,82.1
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,80,100,85,80,40,90,90,80.7
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,80,100,85,90,60,80,90,83.6
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,80,100,75,90,40,80,90,79.3
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,80,100,75,90,75,80,90,84.3
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,80,100,75,90,60,80,90,82.1
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,80,100,75,90,60,80,90,82.1
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,80,100,75,90,75,80,90,84.3
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,80,100,75,90,75,80,90,84.3
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,80,100,85,90,75,80,90,85.7
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,80,100,85,90,75,70,90,84.3
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,80,100,85,90,75,80,90,85.7
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,80,100,85,90,75,80,90,85.7
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,80,85,85,90,40,80,90,78.6
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,90,85,85,90,75,80,90,85
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,90,85,85,90,40,80,90,80
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,90,85,85,90,60,80,90,82.9
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,90,85,85,90,40,80,90,80
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,100,85,85,90,60,80,90,84.3
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,70,85,85,90,75,80,90,82.1
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,80,85,85,90,60,80,90,81.4
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,80,85,85,90,60,80,90,81.4
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,80,85,85,90,60,80,90,81.4
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,80,85,85,90,60,70,90,80
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,80,85,85,90,75,80,90,83.6
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,80,85,85,90,75,80,90,83.6
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,80,85,95,90,75,80,90,85
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,80,85,95,90,75,80,90,85
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,80,100,70,90,60,80,90,81.4
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,80,85,85,90,90,80,90,85.7
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,80,85,85,90,60,80,90,81.4
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,80,100,95,90,60,90,90,86.4
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,80,100,95,90,60,80,90,85
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,80,100,95,90,40,80,90,82.1
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,80,100,95,90,40,80,90,82.1
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,80,100,95,90,40,80,90,82.1
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,80,100,95,90,40,80,90,82.1
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,80,100,95,90,60,80,90,85
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,80,100,95,90,60,70,90,83.6
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,80,100,95,90,60,70,90,83.6
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,80,100,95,90,40,80,90,82.1
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,80,100,95,90,60,70,90,83.6
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,80,100,95,90,40,70,90,80.7
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,70,100,75,80,60,80,90,79.3
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,90,100,95,90,60,80,90,86.4
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,80,100,95,90,60,90,90,86.4
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,80,100,75,90,60,80,90,82.1
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,80,100,90,90,60,80,90,84.3
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,70,85,75,90,60,80,90,78.6
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,90,85,75,90,60,80,90,81.4
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,80,85,75,90,40,80,90,77.1
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,80,100,60,90,40,80,90,77.1
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,80,85,75,90,75,80,90,82.1
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,80,85,75,90,75,80,90,82.1
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,80,100,60,90,75,80,90,82.1
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,80,100,60,90,75,80,90,82.1
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,80,85,75,90,90,80,90,84.3
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,80,100,95,80,40,70,90,79.3
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,80,100,95,80,40,70,90,79.3
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,80,100,95,80,40,70,90,79.3
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,80,100,95,80,40,80,90,80.7
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,80,90,95,90,40,70,90,79.3
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,80,90,95,90,40,80,90,80.7
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,80,85,70,90,60,80,90,79.3
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,80,75,95,90,60,80,90,81.4
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,90,70,85,90,40,80,90,77.9
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,90,70,85,90,75,80,90,82.9
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,80,70,85,90,60,80,90,79.3
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,80,100,95,90,60,70,90,83.6
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,80,75,95,90,40,70,90,77.1
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,80,85,95,50,75,80,90,79.3
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,70,100,55,90,60,70,90,76.4
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,80,90,95,90,40,80,90,80.7
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,90,85,85,50,60,80,90,77.1
8171,Why PetHub Online Exists,Uncategorized,80,85,95,90,60,80,90,82.9
8172,Our Research Standards,Uncategorized,80,70,95,90,60,90,90,82.1
