id,title,cluster,citation_score,moat_score
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,93.3,80.7
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,93.3,84.3
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,93.3,84.3
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,93.3,84.3
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,93.3,84.3
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Training Supplies,93.3,82.1
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Training Supplies,93.3,84.3
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,93.3,82.9
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,93.3,84.3
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,93.3,82.9
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,93.3,84.3
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,93.3,82.9
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Toys,93.3,86.4
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,92.5,77.1
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,92.5,81.4
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,92.5,81.4
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,92.5,85.7
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,91.7,82.1
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,91.7,85
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,91.7,83.6
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,91.7,83.6
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,91.7,82.1
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,91.7,80.7
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,91.7,80.7
4568,Dog Dental Health: A Practical Care Guide,Dog Health,91.7,82.1
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,91.7,77.9
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,91.7,82.1
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,91.7,80.7
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,90.8,82.9
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,90.8,84.3
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,90.8,82.9
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,90.8,80
4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,90.8,80
4783,How to Choose the Right Dog Bed Size,Dog Beds,90.8,80.7
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,90.8,81.4
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,90.8,77.1
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,90.8,80
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,90.8,80
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,90.8,84.3
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,90.8,82.1
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,90.8,82.1
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,90.8,82.1
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,90.8,82.1
4125,Best Dog Training Treats UK (2026) – Reward Guide,Training Supplies,90.8,82.1
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,90.8,82.1
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,90.8,85
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,90.8,82.1
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,90.8,82.1
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,90.8,84.3
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,90,79.3
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,90,79.3
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,90,76.4
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,90,80.7
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Uncategorized,90,80.7
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,90,80.7
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,90,76.4
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,90,79.3
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,90,79.3
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,90,79.3
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,90,79.3
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,90,81.4
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,90,81.4
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,90,81.4
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,90,81.4
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,90,85
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,90,81.4
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,90,81.4
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,90,81.4
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,90,81.4
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,89.2,78.6
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,89.2,78.6
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,89.2,81.4
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,89.2,77.1
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,89.2,80
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,89.2,80.7
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,89.2,82.1
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,88.3,83.6
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,88.3,82.1
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,88.3,79.3
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,88.3,79.3
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,88.3,79.3
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,88.3,76.4
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Uncategorized,88.3,77.9
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,88.3,81.4
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,88.3,76.4
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,88.3,79.3
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,88.3,75
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,88.3,80.7
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,88.3,78.6
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,88.3,83.6
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,88.3,77.1
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,88.3,77.9
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,88.3,79.3
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,88.3,77.9
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,88.3,83.6
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,88.3,79.3
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,88.3,81.4
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,88.3,80
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,88.3,80
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,88.3,81.4
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,88.3,81.4
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,88.3,77.9
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,87.5,77.1
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,87.5,78.6
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,87.5,75.7
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,87.5,77.9
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,87.5,77.1
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,87.5,75.7
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,87.5,79.3
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,87.5,79.3
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,86.7,77.9
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,86.7,77.9
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,86.7,76.4
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,84.2,73.6
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,84.2,78.6
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,84.2,75
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,84.2,76.4
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,83.3,75.7
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,83.3,75.7
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,83.3,77.9
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,82.5,72.1
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,81.7,77.1
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,81.7,70
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,81.7,70
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,80.8,69.3
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,80.8,72.9
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,80,70
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,79.2,69.3
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,79.2,77.1
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,78.3,67.1
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,78.3,67.1
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,78.3,65.7
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,78.3,72.9
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,78.3,70
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,77.5,66.4
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,77.5,67.9
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,77.5,66.4
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,77.5,66.4
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,77.5,66.4
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,77.5,69.3
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,77.5,67.9
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,77.5,75.7
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,77.5,74.3
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,75,73.6
8172,Our Research Standards,Uncategorized,70,65
8171,Why PetHub Online Exists,Uncategorized,70,63.6
