WP_ID,Title,Type,Total_Headings,H1_Count,Duplicate_H1,Skipped_Levels,Skip_Details,Heading_Flow,Status,Checked_At
4784,"Dog Bed Materials Explained: Foam, Memory Foam, an",post,25,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h3,PASS,2026-05-28 15:38
4783,How to Choose the Right Dog Bed Size,post,24,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h3 > h3,PASS,2026-05-28 15:38
4573,Seasonal Pet Safety: Protecting Pets Through the Y,post,21,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h2 > h3 > h3 > h3,PASS,2026-05-28 15:38
4570,First-Time Dog Owner Essentials: What You Need to ,post,23,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h3 > h3,PASS,2026-05-28 15:38
4576,Multi-Pet Household Tips: Living with Dogs and Cat,post,22,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h2 > h3 > h3 > h3,PASS,2026-05-28 15:38
4574,Pet Hydration Guide: How Much Water Does Your Pet ,post,21,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h2 > h3 > h3 > h3,PASS,2026-05-28 15:38
4571,Pet First Aid Basics: What Every Owner Should Know,post,21,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h2 > h3 > h3 > h3,PASS,2026-05-28 15:38
4568,Dog Dental Health: A Practical Care Guide,post,22,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h2 > h3 > h3 > h3,PASS,2026-05-28 15:38
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Roun,post,21,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h3 > h3 > h3 > h3,PASS,2026-05-28 15:38
4563,Dog Grooming Basics: A Complete Guide for Owners,post,23,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h3 > h3,PASS,2026-05-28 15:38
4415,Cat Toy Safety Guide: What Every Owner Should Know,post,25,1,NO,NO,,h1 > h2 > h3 > h3 > h3 > h3 > h2 > h2 > h2 > h2,PASS,2026-05-28 15:38
4406,Best Interactive Cat Toys for Indoor Cats: Engagem,post,25,1,NO,NO,,h1 > h2 > h2 > h3 > h3 > h3 > h3 > h2 > h2 > h2,PASS,2026-05-28 15:38
4414,Harness vs Collar: Which Is Better for Your Dog?,post,21,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h3 > h3 > h2 > h3,PASS,2026-05-28 15:38
4413,How to Measure Your Dog for a Harness: Step-by-Ste,post,24,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h3,PASS,2026-05-28 15:38
4412,No-Pull Dog Harness Guide: How They Work and When ,post,22,1,NO,NO,,h1 > h2 > h3 > h3 > h3 > h2 > h2 > h2 > h3 > h3,PASS,2026-05-28 15:38
4411,"Dog Harnesses: The Complete Guide to Types, Fittin",post,28,1,NO,NO,,h1 > h2 > h2 > h3 > h3 > h3 > h3 > h3 > h2 > h2,PASS,2026-05-28 15:38
4410,Cat Enrichment Activities Beyond Toys: Complete Gu,post,27,1,NO,NO,,h1 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h2 > h2,PASS,2026-05-28 15:38
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Gui,post,25,1,NO,NO,,h1 > h2 > h3 > h3 > h2 > h3 > h2 > h3 > h2 > h2,PASS,2026-05-28 15:38
