post_id,title,category,word_count,educational_coverage,faq_saturation,glossary_depth,support_content,ai_answer_coverage,trust_reinforcement,internal_link_completeness,semantic_completeness,crawl_reinforcement,indexing_readiness,overall_completeness
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,669,83.6,50.0,0.0,100.0,80.0,100.0,62.5,100.0,40.0,80.0,69.6
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Care,838,100.0,66.7,0.0,100.0,80.0,0.0,75.0,100.0,70.0,80.0,67.2
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,1615,100.0,66.7,0.0,40.0,80.0,100.0,50.0,100.0,20.0,80.0,63.7
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Care,596,74.5,33.3,0.0,100.0,80.0,0.0,75.0,100.0,70.0,80.0,61.3
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Care,492,61.5,33.3,0.0,100.0,80.0,0.0,75.0,100.0,70.0,50.0,57.0
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,668,83.5,50.0,0.0,60.0,80.0,0.0,25.0,100.0,70.0,80.0,54.9
3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,Dog Food,1953,100.0,100.0,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,80.0
3838,Dry vs Wet Dog Food UK &#8211; An Honest Comparison Guide,Dog Food,1644,100.0,100.0,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,80.0
3837,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,Dog Food,2751,100.0,100.0,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,80.0
3836,Best Dog Food UK (2026) &#8211; Complete Buying Guide,Dog Food,4072,100.0,16.7,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,71.7
4034,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfort Guide,Dog Harnesses,913,100.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,75.0
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,1242,100.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,75.0
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,1663,100.0,66.7,0.0,50.0,80.0,100.0,62.5,100.0,40.0,80.0,67.9
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,550,68.8,33.3,66.7,100.0,80.0,0.0,37.5,100.0,70.0,80.0,63.6
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,887,100.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,75.0
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,822,100.0,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.3
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,844,100.0,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.3
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,942,100.0,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.3
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Supplies,1301,100.0,83.3,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,81.3
5425,Dog Toys FAQ: Common Questions Answered,Dog Supplies,1647,100.0,100.0,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,80.0
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Supplies,1405,100.0,66.7,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,79.7
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Supplies,1384,100.0,66.7,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,79.7
3960,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,Dog Supplies,1477,100.0,66.7,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,79.7
3959,Best Interactive Dog Toys UK (2026) – Puzzle &#038; Enrichment Guide,Dog Supplies,1405,100.0,66.7,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,79.7
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Supplies,1325,100.0,66.7,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,79.7
3956,Best Dog Toys UK (2026) – Complete Guide &#038; Honest Reviews,Dog Supplies,1503,100.0,83.3,0.0,100.0,80.0,75.0,100.0,100.0,70.0,80.0,78.8
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Supplies,1410,100.0,83.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,78.3
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Supplies,853,100.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,78.0
4789,Best Types of Dog Toys for Different Play Styles,Dog Supplies,811,100.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,78.0
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Supplies,789,98.6,50.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,77.9
4790,DIY Dog Toys: Safe Homemade Options,Dog Supplies,755,94.4,50.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,77.4
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Supplies,725,90.6,50.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,77.1
4791,How to Choose the Right Dog Training Treats,Dog Supplies,708,88.5,50.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,76.8
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Supplies,808,100.0,33.3,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,76.3
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,843,100.0,83.3,0.0,100.0,80.0,75.0,100.0,100.0,70.0,50.0,75.8
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,665,83.1,66.7,0.0,100.0,80.0,100.0,75.0,100.0,70.0,80.0,75.5
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Supplies,1227,100.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,75.0
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,803,100.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,75.0
4042,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guide,Dog Supplies,912,100.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,75.0
4049,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide,Dog Supplies,769,96.1,50.0,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,74.6
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,967,100.0,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.3
4139,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnesses,Dog Supplies,835,100.0,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.3
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,803,100.0,50.0,0.0,100.0,80.0,75.0,100.0,100.0,70.0,50.0,72.5
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,360,45.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,50.0,69.5
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,633,79.1,50.0,0.0,100.0,80.0,100.0,62.5,100.0,40.0,80.0,69.2
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,620,77.5,33.3,0.0,100.0,80.0,100.0,87.5,100.0,70.0,80.0,72.8
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,747,93.4,50.0,0.0,100.0,80.0,100.0,62.5,100.0,40.0,80.0,70.6
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,2601,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,93.0
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,2699,100.0,100.0,100.0,100.0,80.0,100.0,87.5,100.0,70.0,80.0,91.8
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,2741,100.0,100.0,100.0,100.0,80.0,100.0,87.5,100.0,70.0,50.0,88.8
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,2349,100.0,100.0,16.7,100.0,80.0,100.0,87.5,100.0,70.0,80.0,83.4
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,2883,100.0,100.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,83.0
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,2389,100.0,100.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,83.0
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,2284,100.0,100.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,83.0
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,2036,100.0,100.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,83.0
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,2498,100.0,100.0,0.0,100.0,80.0,100.0,87.5,100.0,70.0,80.0,81.8
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,3495,100.0,100.0,0.0,100.0,80.0,100.0,87.5,100.0,70.0,80.0,81.8
5512,Dog Behaviour Explained: Understanding Your Dog&#8217;s Body Language and Actions,Uncategorized,2214,100.0,100.0,0.0,100.0,80.0,100.0,87.5,100.0,70.0,80.0,81.8
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,2916,100.0,100.0,0.0,100.0,80.0,100.0,87.5,100.0,70.0,80.0,81.8
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,3313,100.0,100.0,0.0,100.0,80.0,100.0,87.5,100.0,70.0,80.0,81.8
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,2692,100.0,100.0,0.0,100.0,80.0,100.0,87.5,100.0,70.0,80.0,81.8
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,1812,100.0,100.0,0.0,100.0,80.0,100.0,87.5,100.0,70.0,80.0,81.8
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,2160,100.0,100.0,0.0,100.0,80.0,100.0,87.5,100.0,70.0,80.0,81.8
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,2011,100.0,100.0,0.0,100.0,80.0,100.0,75.0,100.0,70.0,80.0,80.5
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,2014,100.0,100.0,0.0,100.0,80.0,100.0,75.0,100.0,70.0,80.0,80.5
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,2643,100.0,100.0,0.0,100.0,80.0,100.0,75.0,100.0,70.0,80.0,80.5
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,1132,100.0,66.7,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,79.7
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,867,100.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,78.0
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,829,100.0,50.0,0.0,70.0,80.0,100.0,100.0,100.0,70.0,80.0,75.0
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,2684,100.0,100.0,16.7,100.0,80.0,100.0,50.0,100.0,20.0,80.0,74.7
