post_id,title,category,word_count,direct_answer,uniqueness,specificity,educational_usefulness,trust,comparison,glossary_support,answer_confidence,overall_citation,citation_ready
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,590,40,0,50,100,100,40,70,60,57.5,NO
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Care,636,40,8,100,100,100,40,10,60,57.2,NO
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Supplies,699,40,28,50,100,100,40,40,60,57.2,NO
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,968,40,56,60,100,100,40,0,60,57.0,NO
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,794,40,56,60,100,100,40,0,60,57.0,NO
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,942,40,56,60,100,100,40,0,60,57.0,NO
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Supplies,598,40,0,50,100,100,40,50,75,56.9,NO
4181,Best Interactive Cat Toys UK (2026) – Wand &#038; Puzzle Guide,Cat Supplies,760,40,40,60,100,100,40,0,75,56.9,NO
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,2916,40,8,60,100,100,40,30,75,56.6,NO
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,945,40,52,60,100,100,40,0,60,56.5,NO
4071,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,Dog Care,739,40,52,60,100,100,40,0,60,56.5,NO
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Supplies,791,40,36,25,100,100,40,50,60,56.4,NO
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,3495,40,20,60,100,100,40,30,60,56.2,NO
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,1812,40,0,60,100,100,40,50,60,56.2,NO
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,2036,40,20,60,100,100,40,30,60,56.2,NO
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Supplies,1301,40,48,60,100,100,40,0,60,56.0,NO
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,858,40,48,60,100,100,40,0,60,56.0,NO
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,803,40,48,60,100,100,40,0,60,56.0,NO
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,822,40,48,60,100,100,40,0,60,56.0,NO
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,844,40,48,60,100,100,40,0,60,56.0,NO
3996,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews,Dog Beds,1248,40,48,60,100,100,40,0,60,56.0,NO
3959,Best Interactive Dog Toys UK (2026) – Puzzle &#038; Enrichment Guide,Dog Supplies,1405,40,48,60,100,100,40,0,60,56.0,NO
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Supplies,1325,40,48,60,100,100,40,0,60,56.0,NO
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,777,40,32,60,100,100,40,0,75,55.9,NO
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,816,40,32,60,100,100,40,0,75,55.9,NO
4223,Best Cat Window Perches UK (2026) – Sunning &#038; Bird Watching,Cat Supplies,796,40,32,60,100,100,40,0,75,55.9,NO
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,887,40,32,60,100,100,40,0,75,55.9,NO
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Supplies,784,40,32,60,100,100,40,0,75,55.9,NO
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,761,40,16,60,100,100,40,30,60,55.8,NO
4251,Best Cat Shampoo UK (2026) – When &#038; How to Bathe,Cat Supplies,812,40,44,60,100,100,40,0,60,55.5,NO
3956,Best Dog Toys UK (2026) – Complete Guide &#038; Honest Reviews,Dog Supplies,1543,40,44,60,100,100,40,0,60,55.5,NO
5425,Dog Toys FAQ: Common Questions Answered,Dog Supplies,1647,40,28,60,100,100,40,0,75,55.4,NO
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,1132,40,32,55,100,100,40,0,75,55.2,NO
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,779,40,40,60,100,100,40,0,60,55.0,NO
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,759,40,40,60,100,100,40,0,60,55.0,NO
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,831,40,40,60,100,100,40,0,60,55.0,NO
4125,Best Dog Training Treats UK (2026) – Reward Guide,Buying Guides,796,40,40,60,100,100,40,0,60,55.0,NO
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,1242,40,40,60,100,100,40,0,60,55.0,NO
4790,DIY Dog Toys: Safe Homemade Options,Dog Supplies,755,40,24,60,100,100,40,0,75,54.9,NO
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,787,40,24,60,100,100,40,0,75,54.9,NO
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,828,40,24,60,100,100,40,0,75,54.9,NO
4042,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guide,Dog Supplies,912,40,36,60,100,100,40,0,60,54.5,NO
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Supplies,789,40,32,60,100,100,40,0,60,54.0,NO
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,967,40,32,60,100,100,40,0,60,54.0,NO
4078,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide,Dog Care,767,40,32,60,100,100,40,0,60,54.0,NO
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,929,40,32,60,100,100,40,0,60,54.0,NO
4785,How to Wash and Maintain Your Dog&#8217;s Bed,Dog Beds,793,40,48,60,100,100,20,0,60,53.5,NO
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,1517,40,32,25,100,100,40,30,60,53.4,NO
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,732,40,32,55,100,100,40,0,60,53.4,NO
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,765,40,24,60,100,100,40,0,60,53.0,NO
4139,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnesses,Dog Supplies,835,40,24,60,100,100,40,0,60,53.0,NO
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Supplies,1410,40,8,60,100,100,40,0,75,52.9,NO
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,867,40,8,60,100,100,40,0,75,52.9,NO
4789,Best Types of Dog Toys for Different Play Styles,Dog Supplies,811,40,8,75,100,100,40,0,60,52.9,NO
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Care,532,40,0,60,100,100,40,20,60,52.5,NO
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,758,40,24,55,100,100,40,0,60,52.4,NO
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Supplies,725,40,0,60,100,100,40,0,75,51.9,NO
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,747,40,0,60,100,100,40,0,75,51.9,NO
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,798,40,24,50,100,100,40,0,60,51.8,NO
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,360,40,8,50,96.0,100,40,10,60,50.5,NO
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,2014,40,0,60,100,100,40,0,60,50.0,NO
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Supplies,1227,40,0,60,100,100,40,0,60,50.0,NO
4791,How to Choose the Right Dog Training Treats,Dog Supplies,708,40,0,60,100,100,40,0,60,50.0,NO
4786,Where to Place Your Dog&#8217;s Bed: Location and Comfort Tips,Dog Beds,818,40,0,60,100,100,40,0,60,50.0,NO
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,1227,40,44,0,100,100,40,0,75,49.9,NO
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,1042,40,16,40,100,100,40,0,60,49.5,NO
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,1663,40,0,25,100,100,40,30,60,49.4,NO
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,620,40,0,55,100,100,20,0,75,48.8,NO
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,708,40,16,30,100,100,40,0,60,48.2,NO
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,633,40,0,60,100,100,20,0,60,47.5,NO
696,Essential Cat Supplies for Cat Owners &#8211; Number 1 Must-Haves,Buying Guides,628,56,16,0,100,100,40,0,60,46.5,NO
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,785,40,16,0,100,100,40,0,75,46.4,NO
5033,How to Choose the Right Cat Toy for Your Cat&#8217;s Personality,Cat Toys,478,40,0,0,100,100,40,0,60,42.5,NO
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,481,40,0,0,100,100,20,0,60,40.0,NO
