post_id,title,cluster,references_added,sources_inserted,status,timestamp
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,dog_food,3,"FEDIAF, PFMA, RSPCA",inserted,2026-05-28T22:33:08.420222
4787,Dog Toy Safety: What Every Owner Needs to Know,training,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:33:12.338120
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,dog_beds,2,"RSPCA, Blue Cross",inserted,2026-05-28T22:33:16.769761
4785,How to Wash and Maintain Your Dog's Bed,dog_flea,3,"RSPCA, BVA, PDSA",inserted,2026-05-28T22:33:20.439739
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",dog_joint,3,"RSPCA, BVA, PDSA",inserted,2026-05-28T22:33:24.012303
4783,How to Choose the Right Dog Bed Size,puppy,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:33:27.805693
4573,Seasonal Pet Safety: Protecting Pets Through the Year,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:33:32.349833
4570,First-Time Dog Owner Essentials: What You Need to Know,dog_food,3,"FEDIAF, PFMA, RSPCA",inserted,2026-05-28T22:33:36.694931
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:33:40.960629
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:33:45.325021
4571,Pet First Aid Basics: What Every Owner Should Know,dog_flea,3,"RSPCA, BVA, PDSA",inserted,2026-05-28T22:33:49.842323
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,puppy,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:33:53.706848
4563,Dog Grooming Basics: A Complete Guide for Owners,dog_dental,3,"RSPCA, BVA, PDSA",inserted,2026-05-28T22:33:58.053471
4415,Cat Toy Safety Guide: What Every Owner Should Know,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:34:01.744220
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:34:06.090674
4414,Harness vs Collar: Which Is Better for Your Dog?,puppy,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:34:10.435052
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,puppy,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:34:14.063783
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,training,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:34:17.660334
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",puppy,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:34:21.974832
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:34:25.616560
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:34:30.225254
4408,How Often Should You Replace Cat Toys? A Practical Guide,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:34:34.111848
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:34:37.898451
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,cat,3,"Cats Protection, RSPCA, Blue Cross",inserted,2026-05-28T22:34:41.577973
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,cat,3,"Cats Protection, RSPCA, Blue Cross",inserted,2026-05-28T22:34:45.374012
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:34:49.073937
4314,Best Cat Litter Trays UK (2026) – Complete Guide,cat,3,"Cats Protection, RSPCA, Blue Cross",inserted,2026-05-28T22:34:53.507972
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:34:58.048503
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,cat,3,"Cats Protection, RSPCA, Blue Cross",inserted,2026-05-28T22:35:02.872811
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:35:07.508866
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:35:11.920517
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:35:16.286852
4272,Best Cat ID Tags UK (2026) – Identification Guide,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:35:20.562341
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:35:24.457456
4258,Best Cat Collars UK (2026) – Complete Safety Guide,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:35:28.330129
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:35:32.294194
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:35:37.098742
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:35:41.590613
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:35:45.441288
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:35:49.176961
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:35:53.681931
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:35:58.045580
4202,Best Cat Beds UK (2026) – Complete Guide,cat,3,"Cats Protection, RSPCA, Blue Cross",inserted,2026-05-28T22:36:01.970120
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:36:06.695971
4188,Best Catnip Toys UK (2026) – What Works and Why,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:36:11.301266
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:36:15.299321
4174,Best Cat Toys UK (2026) – Complete Guide,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:36:19.147869
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,training,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:36:23.573621
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,training,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:36:27.305393
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,training,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:36:31.897154
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,puppy,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:36:35.954554
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,training,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:36:40.054491
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,puppy,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:36:43.867533
4125,Best Dog Training Treats UK (2026) – Reward Guide,training,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:36:48.357453
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,training,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:36:52.292139
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,dog_joint,3,"RSPCA, BVA, PDSA",inserted,2026-05-28T22:36:56.718295
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,dog_dental,3,"RSPCA, BVA, PDSA",inserted,2026-05-28T22:37:00.476046
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,dog_dental,3,"RSPCA, BVA, PDSA",inserted,2026-05-28T22:37:04.344435
4089,Best Dog Health and Care UK (2026) – Complete Guide,puppy,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:37:08.859824
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,dog_dental,3,"RSPCA, BVA, PDSA",inserted,2026-05-28T22:37:12.843476
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,puppy,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:37:16.972572
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,dog_health,3,"RSPCA, BVA, PDSA",inserted,2026-05-28T22:37:21.717483
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,dog_dental,3,"RSPCA, BVA, PDSA",inserted,2026-05-28T22:37:25.736600
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,puppy,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:37:30.197046
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,training,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:37:34.063746
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,training,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:37:38.870014
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,training,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:37:43.507525
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,puppy,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:37:47.914122
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,dog_joint,3,"RSPCA, BVA, PDSA",inserted,2026-05-28T22:37:52.342936
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,dog_joint,3,"RSPCA, BVA, PDSA",inserted,2026-05-28T22:37:56.136825
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,puppy,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:37:59.941124
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,training,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:38:03.915329
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,dog_food,3,"FEDIAF, PFMA, RSPCA",inserted,2026-05-28T22:38:08.020200
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,dog_food,3,"FEDIAF, PFMA, RSPCA",inserted,2026-05-28T22:38:12.784668
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,dog_food,3,"FEDIAF, PFMA, RSPCA",inserted,2026-05-28T22:38:16.795247
3836,Best Dog Food UK (2026) - Complete Buying Guide,dog_food,3,"FEDIAF, PFMA, RSPCA",inserted,2026-05-28T22:38:21.739295
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:38:25.741600
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:38:30.473536
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,dog_food,0,,skipped_already_has_refs,2026-05-28T22:38:31.273773
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,dog_food,0,,skipped_already_has_refs,2026-05-28T22:38:31.273798
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,dog_food,0,,skipped_already_has_refs,2026-05-28T22:38:31.273804
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,training,0,,skipped_already_has_refs,2026-05-28T22:38:31.273810
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,dog_food,0,,skipped_already_has_refs,2026-05-28T22:38:31.273815
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,dog_dental,0,,skipped_already_has_refs,2026-05-28T22:38:31.273820
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,training,0,,skipped_already_has_refs,2026-05-28T22:38:31.273824
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,training,0,,skipped_already_has_refs,2026-05-28T22:38:31.273829
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,training,0,,skipped_already_has_refs,2026-05-28T22:38:31.273833
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,dog_food,0,,skipped_already_has_refs,2026-05-28T22:38:31.273837
5950,Dog Toy Durability Guide: What Lasts and What Does Not,dog_dental,0,,skipped_already_has_refs,2026-05-28T22:38:31.273844
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",puppy,0,,skipped_already_has_refs,2026-05-28T22:38:31.273849
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,puppy,0,,skipped_already_has_refs,2026-05-28T22:38:31.273854
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,training,0,,skipped_already_has_refs,2026-05-28T22:38:31.273857
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,training,0,,skipped_already_has_refs,2026-05-28T22:38:31.273862
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,puppy,0,,skipped_already_has_refs,2026-05-28T22:38:31.273866
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",puppy,0,,skipped_already_has_refs,2026-05-28T22:38:31.273870
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,dog_food,0,,skipped_already_has_refs,2026-05-28T22:38:31.273873
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,training,0,,skipped_already_has_refs,2026-05-28T22:38:31.273877
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,puppy,0,,skipped_already_has_refs,2026-05-28T22:38:31.273879
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",puppy,0,,skipped_already_has_refs,2026-05-28T22:38:31.273881
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",puppy,0,,skipped_already_has_refs,2026-05-28T22:38:31.273883
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,training,0,,skipped_already_has_refs,2026-05-28T22:38:31.273921
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",puppy,0,,skipped_already_has_refs,2026-05-28T22:38:31.273923
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,cat_food,0,,skipped_already_has_refs,2026-05-28T22:38:31.273926
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,training,0,,skipped_already_has_refs,2026-05-28T22:38:31.273929
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",cat_food,0,,skipped_already_has_refs,2026-05-28T22:38:31.273933
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,puppy,0,,skipped_already_has_refs,2026-05-28T22:38:31.273937
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",cat_food,0,,skipped_already_has_refs,2026-05-28T22:38:31.273941
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,puppy,0,,skipped_already_has_refs,2026-05-28T22:38:31.273945
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,dog_dental,0,,skipped_already_has_refs,2026-05-28T22:38:31.273950
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",training,0,,skipped_already_has_refs,2026-05-28T22:38:31.273954
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,training,0,,skipped_already_has_refs,2026-05-28T22:38:31.273958
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",training,0,,skipped_already_has_refs,2026-05-28T22:38:31.273962
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,training,0,,skipped_already_has_refs,2026-05-28T22:38:31.273968
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",cat_food,0,,skipped_already_has_refs,2026-05-28T22:38:31.273972
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,cat_food,0,,skipped_already_has_refs,2026-05-28T22:38:31.273976
5462,Dog Training Terminology Explained: Key Concepts for New Owners,training,0,,skipped_already_has_refs,2026-05-28T22:38:31.273980
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,dog_beds,0,,skipped_already_has_refs,2026-05-28T22:38:31.273984
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,cat_food,0,,skipped_already_has_refs,2026-05-28T22:38:31.273988
4792,Puppy Socialisation: A Complete Timeline Guide,puppy,0,,skipped_already_has_refs,2026-05-28T22:38:31.273992
4568,Dog Dental Health: A Practical Care Guide,dog_food,0,,skipped_already_has_refs,2026-05-28T22:38:31.273997
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,dog_joint,0,,skipped_already_has_refs,2026-05-28T22:38:31.274001
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,training,0,,skipped_already_has_refs,2026-05-28T22:38:31.274006
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,training,0,,skipped_already_has_refs,2026-05-28T22:38:31.274010
