post_id,title,cluster,glossary_density,comparison_density,trust_density,faq_density,practical_usefulness,educational_breadth,semantic_overlap,ai_answer_coverage,citation_confidence,authority_balance,crawl_reinforcement,reference_support,overall_completeness,completeness_tier
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,40,45,24,35,30,70,90,26,20,50,50,0,40.0,C - Developing
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,40,20,18,45,59,76,60,36,15,50,55,0,39.5,C - Developing
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,40,0,12,80,54,70,50,40,12,50,50,0,38.2,C - Developing
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,40,5,18,69,58,70,45,34,9,50,50,0,37.3,C - Developing
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,40,0,12,69,46,70,55,34,20,50,50,0,37.2,C - Developing
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,40,40,30,35,33,70,60,26,9,50,50,0,36.9,C - Developing
5414,Cat Toy Types Explained: A Complete Glossary,Cat Toys,40,0,12,43,35,70,85,34,20,50,50,0,36.6,C - Developing
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,40,45,12,45,56,63,45,10,15,50,50,0,35.9,C - Developing
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,40,40,24,35,40,70,60,26,6,50,40,0,35.9,C - Developing
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Cat Toys,40,0,12,54,35,70,65,40,12,50,50,0,35.7,C - Developing
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,40,5,24,32,35,63,80,26,20,50,50,0,35.4,C - Developing
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,40,10,18,32,43,69,55,36,6,50,55,0,34.5,D - Emerging
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,40,10,18,32,38,69,55,36,3,50,55,0,33.8,D - Emerging
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Cat Toys,40,0,12,36,55,63,55,10,3,50,50,0,31.2,D - Emerging
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,0,45,18,74,94,90,65,40,30,70,45,48,51.6,B - Strong
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,40,10,24,43,56,76,75,44,11,60,65,24,44.0,C - Developing
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,40,10,30,65,55,76,65,50,20,50,65,0,43.8,C - Developing
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,40,40,24,43,36,70,60,44,18,50,60,0,40.4,C - Developing
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,40,15,18,43,41,76,80,44,3,50,65,0,39.6,C - Developing
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,40,30,12,54,57,77,70,50,3,40,30,0,38.6,C - Developing
4783,How to Choose the Right Dog Bed Size,Dog Beds,40,0,24,43,48,63,35,44,9,50,60,0,34.7,D - Emerging
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Care,30,45,12,65,46,70,35,40,35,90,50,100,51.5,B - Strong
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Care,10,10,54,74,62,90,100,40,24,60,50,44,51.5,B - Strong
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Care,30,30,12,65,48,70,55,40,35,90,50,83,50.7,B - Strong
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Care,40,20,30,74,55,83,65,40,26,70,20,83,50.5,B - Strong
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Care,30,30,18,71,26,70,35,40,35,90,50,83,48.2,C - Developing
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Care,40,0,18,68,33,63,50,40,27,90,50,83,46.8,C - Developing
4568,Dog Dental Health: A Practical Care Guide,Dog Care,40,0,36,43,57,70,55,44,19,80,50,36,44.2,C - Developing
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Care,40,10,42,53,38,76,55,44,20,50,65,0,41.1,C - Developing
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,40,30,30,43,25,70,90,44,3,40,40,0,37.9,C - Developing
4785,How to Wash and Maintain Your Dog’s Bed,Dog Care,40,0,24,43,43,63,55,44,15,50,50,0,35.6,C - Developing
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,40,0,36,43,25,70,60,44,9,50,50,0,35.6,C - Developing
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Dog Care,40,10,24,32,33,76,50,36,9,50,65,0,35.4,C - Developing
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,40,15,18,43,28,76,35,44,18,50,55,0,35.2,C - Developing
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,40,30,18,43,30,70,55,44,9,40,25,0,33.7,D - Emerging
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,40,10,30,32,31,69,45,36,6,50,55,0,33.7,D - Emerging
4786,Where to Place Your Dog’s Bed: Location and Comfort Tips,Dog Care,40,5,24,43,41,70,35,44,0,50,50,0,33.5,D - Emerging
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,40,10,18,32,41,69,35,36,3,50,55,0,32.4,D - Emerging
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,40,10,18,32,43,69,35,36,0,50,55,0,32.3,D - Emerging
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food,40,50,72,71,71,93,40,50,36,50,65,24,55.2,B - Strong
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food,40,45,60,84,46,93,75,50,28,50,65,24,55.0,B - Strong
3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Food,40,65,54,45,70,100,60,28,28,50,65,44,54.1,B - Strong
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food,40,65,48,81,59,87,50,48,28,50,65,24,53.8,B - Strong
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,40,35,24,57,67,70,95,50,0,50,50,0,44.8,C - Developing
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,40,55,24,42,54,63,95,26,3,50,50,0,41.8,C - Developing
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,40,15,18,43,57,76,70,44,11,60,55,12,41.8,C - Developing
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,40,40,18,54,51,77,95,40,0,40,25,0,40.0,C - Developing
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Harnesses,40,10,24,53,48,69,55,44,20,50,55,0,39.0,C - Developing
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,40,10,18,43,54,76,50,44,6,50,55,0,37.2,C - Developing
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,40,5,24,41,69,63,55,26,6,50,50,0,35.8,C - Developing
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,40,5,30,35,38,63,75,26,3,50,50,0,34.6,D - Emerging
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Harnesses,40,10,24,32,46,76,45,36,0,50,55,0,34.5,D - Emerging
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,30,0,36,74,55,83,95,40,25,80,50,48,51.3,B - Strong
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,40,10,30,32,41,76,35,36,15,50,55,20,36.7,C - Developing
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,40,10,30,32,30,76,60,36,12,50,55,0,35.9,C - Developing
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,40,10,30,43,36,76,25,44,12,50,55,0,35.1,C - Developing
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,40,10,30,32,55,76,20,36,9,50,55,0,34.4,D - Emerging
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,40,10,36,65,51,76,70,50,0,50,65,0,42.8,C - Developing
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,40,10,24,43,46,76,70,44,9,50,65,0,39.8,C - Developing
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,40,10,30,32,43,76,85,36,3,50,65,0,39.2,C - Developing
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Dog Supplies,40,10,18,32,49,76,70,36,6,50,55,20,38.5,C - Developing
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Supplies,40,15,24,32,62,69,45,36,6,50,65,0,37.0,C - Developing
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Supplies,40,15,18,43,46,76,50,44,0,50,55,0,36.4,C - Developing
4791,How to Choose the Right Dog Training Treats,Dog Supplies,40,0,24,43,43,63,50,44,0,50,50,0,33.9,D - Emerging
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,40,50,18,74,69,83,70,40,21,90,50,83,57.3,B - Strong
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,40,45,18,74,65,83,70,40,15,90,60,83,56.9,B - Strong
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Toys,40,5,24,74,64,83,75,40,24,90,50,83,54.3,B - Strong
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,40,0,24,71,59,83,85,40,24,90,50,83,54.1,B - Strong
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,40,0,24,77,74,83,50,40,27,90,50,83,53.2,B - Strong
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,40,10,30,68,66,83,75,50,21,80,75,36,52.8,B - Strong
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,30,30,18,65,26,70,55,40,43,90,50,100,51.4,B - Strong
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,30,30,18,65,65,70,35,40,24,90,50,100,51.4,B - Strong
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,30,30,24,65,35,70,45,40,35,90,50,100,51.2,B - Strong
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,30,30,12,65,35,70,55,40,35,90,50,100,51.0,B - Strong
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,30,30,24,65,30,70,45,40,35,90,50,100,50.8,B - Strong
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,30,30,12,65,65,70,10,40,35,90,50,83,48.3,C - Developing
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,40,15,18,54,62,83,70,50,14,60,65,24,46.2,C - Developing
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Toys,40,0,18,65,25,63,55,30,21,90,60,83,45.8,C - Developing
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Toys,30,0,18,65,24,70,60,40,15,90,50,83,45.4,C - Developing
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Toys,30,10,12,68,34,70,40,40,15,90,50,83,45.2,C - Developing
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Toys,30,0,12,65,28,63,60,30,30,90,50,83,45.1,C - Developing
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Toys,30,0,12,65,41,63,50,30,27,90,50,83,45.1,C - Developing
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,30,0,12,65,52,63,30,30,35,90,50,83,45.0,C - Developing
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,30,10,18,65,21,70,30,40,15,90,50,83,43.5,C - Developing
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,30,0,18,65,29,70,15,50,15,90,50,83,42.9,C - Developing
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,40,30,12,88,40,77,55,40,28,50,50,0,42.5,C - Developing
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,30,0,12,68,29,70,20,40,15,90,50,83,42.2,C - Developing
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,40,15,18,54,56,77,70,40,20,50,60,0,41.7,C - Developing
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,40,10,18,100,41,77,65,40,6,50,50,0,41.4,C - Developing
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,40,10,18,54,52,83,40,50,6,50,65,0,39.0,C - Developing
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,40,50,18,43,35,77,55,34,0,50,50,0,37.7,C - Developing
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,40,15,12,54,34,77,50,40,20,50,50,0,36.8,C - Developing
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,40,5,24,43,43,70,55,44,6,50,60,0,36.7,C - Developing
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,40,5,42,43,41,70,40,44,3,50,60,0,36.5,C - Developing
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,40,0,24,75,33,70,20,44,6,50,60,0,35.2,C - Developing
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,40,5,24,43,30,63,55,44,12,50,50,0,34.7,D - Emerging
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Dog Toys,30,30,12,0,30,50,35,10,15,70,20,83,32.1,D - Emerging
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,40,0,24,38,33,55,40,26,0,50,50,0,29.7,D - Emerging
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Educational,15,40,42,74,73,83,85,40,23,90,50,83,58.2,B - Strong
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Educational,60,20,30,74,51,83,55,50,21,90,50,83,55.6,B - Strong
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Educational,15,10,42,77,46,83,55,40,24,90,50,83,51.2,B - Strong
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Educational,20,10,12,74,43,83,45,40,24,80,45,83,46.6,C - Developing
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Educational,35,25,24,74,40,83,65,40,22,70,45,36,46.6,C - Developing
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Educational,15,0,24,74,48,90,75,40,10,70,45,48,44.9,C - Developing
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Educational,40,10,30,32,51,76,65,36,12,50,65,20,40.6,C - Developing
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Educational,40,0,12,55,25,70,65,34,3,50,50,0,33.7,D - Emerging
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Pet Care General,35,45,36,74,64,83,85,40,30,70,40,48,54.2,B - Strong
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Pet Care General,60,55,30,74,55,90,75,40,19,70,45,36,54.1,B - Strong
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Pet Care General,40,0,30,54,50,63,65,50,9,40,40,0,36.8,C - Developing
4571,Pet First Aid Basics: What Every Owner Should Know,Pet Care General,40,0,36,43,46,63,60,44,0,50,50,0,36.0,C - Developing
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care General,40,0,36,43,40,63,80,44,0,40,40,0,35.5,C - Developing
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care General,40,0,18,32,40,63,40,36,0,40,45,0,29.5,D - Emerging
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,40,10,30,74,40,83,70,40,35,80,45,75,51.8,B - Strong
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,40,0,30,43,25,70,50,54,30,80,60,48,44.2,C - Developing
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,40,15,24,64,47,83,65,50,20,50,65,0,43.6,C - Developing
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Puppy Care,40,15,24,53,59,76,60,44,18,50,65,0,42.0,C - Developing
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Puppy Care,40,10,24,32,43,69,50,36,20,50,65,0,36.6,C - Developing
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,40,0,24,54,39,77,90,40,20,30,20,0,36.2,C - Developing
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Uncategorized,40,0,30,65,49,77,70,40,15,50,50,0,40.5,C - Developing
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Uncategorized,40,10,24,42,40,69,40,36,0,50,55,0,33.8,D - Emerging
