rank,post_id,title,cluster,action,dimension,current_score,estimated_gain,effort,roi_score,priority_tier
95,6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Care,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
96,6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
97,5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
98,5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
99,5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
100,5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
101,5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Care,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
102,5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
103,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Pet Care General,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
104,5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
105,5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
106,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
107,5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
108,5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
109,5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
110,5462,Dog Training Terminology Explained: Key Concepts for New Owners,Educational,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
111,5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
112,5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
113,5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
114,5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
115,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
116,5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Educational,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
117,5414,Cat Toy Types Explained: A Complete Glossary,Cat Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
118,5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Cat Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
119,5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
120,4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
121,4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
122,4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
123,4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Supplies,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
124,4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
125,4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
126,4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
127,696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Cat Supplies,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
128,3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
129,5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Educational,Add summary/at-a-glance block,Citations,36,21,1,9.96,P0-Critical
130,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Cat Supplies,Add summary/at-a-glance block,Citations,36,21,1,9.96,P0-Critical
131,5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Pet Care General,Add summary/at-a-glance block,Citations,36,21,1,9.96,P0-Critical
132,5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Care,Add summary/at-a-glance block,Citations,38,21,1,9.96,P0-Critical
133,6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Care,Add summary/at-a-glance block,Citations,39,20,1,9.96,P0-Critical
134,5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Care,Add summary/at-a-glance block,Citations,39,20,1,9.96,P0-Critical
135,5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,Add summary/at-a-glance block,Citations,39,20,1,9.96,P0-Critical
136,4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,Add summary/at-a-glance block,Citations,39,20,1,9.96,P0-Critical
137,5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,Add summary/at-a-glance block,Citations,40,20,1,9.96,P0-Critical
138,5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,Add summary/at-a-glance block,Citations,40,20,1,9.96,P0-Critical
139,5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Cat Toys,Add summary/at-a-glance block,Citations,40,20,1,9.96,P0-Critical
140,5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,Add summary/at-a-glance block,Citations,40,20,1,9.96,P0-Critical
141,5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Supplies,Add summary/at-a-glance block,Citations,40,20,1,9.96,P0-Critical
142,5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,Add summary/at-a-glance block,Citations,40,20,1,9.96,P0-Critical
143,4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,Add summary/at-a-glance block,Citations,40,20,1,9.96,P0-Critical
144,6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
145,6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Care,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
146,6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
147,6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Care,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
148,6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
149,6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Care,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
150,6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Dog Toys,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
151,5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
152,5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Toys,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
153,5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Toys,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
154,5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Toys,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
155,5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Toys,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
156,5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
157,5462,Dog Training Terminology Explained: Key Concepts for New Owners,Educational,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
158,5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
159,5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
160,5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Educational,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
161,5414,Cat Toy Types Explained: A Complete Glossary,Cat Toys,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
162,5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Cat Toys,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
163,5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Cat Toys,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
164,5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
165,5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
166,5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,Add trust editorial block,Trust,32,21,1,8.85,P0-Critical
167,5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,Add trust editorial block,Trust,37,19,1,8.85,P0-Critical
168,5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Care,Add trust editorial block,Trust,37,19,1,8.85,P0-Critical
169,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,Add trust editorial block,Trust,37,19,1,8.85,P0-Critical
170,5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,Add trust editorial block,Trust,37,19,1,8.85,P0-Critical
171,5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,Add trust editorial block,Trust,37,19,1,8.85,P0-Critical
172,4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care General,Add trust editorial block,Trust,37,19,1,8.85,P0-Critical
173,4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,Add trust editorial block,Trust,37,19,1,8.85,P0-Critical
174,4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,Add trust editorial block,Trust,37,19,1,8.85,P0-Critical
175,6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,Add trust editorial block,Trust,38,19,1,8.85,P0-Critical
176,5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,Add trust editorial block,Trust,38,19,1,8.85,P0-Critical
177,5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Toys,Add trust editorial block,Trust,38,19,1,8.85,P0-Critical
178,5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,Add trust editorial block,Trust,38,19,1,8.85,P0-Critical
179,5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,Add trust editorial block,Trust,38,19,1,8.85,P0-Critical
180,5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Supplies,Add trust editorial block,Trust,38,19,1,8.85,P0-Critical
181,5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,Add trust editorial block,Trust,38,19,1,8.85,P0-Critical
182,5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Supplies,Add trust editorial block,Trust,38,19,1,8.85,P0-Critical
183,4791,How to Choose the Right Dog Training Treats,Dog Supplies,Add trust editorial block,Trust,39,19,1,8.85,P0-Critical
184,4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,Add trust editorial block,Trust,39,19,1,8.85,P0-Critical
185,4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,Add trust editorial block,Trust,39,19,1,8.85,P0-Critical
186,4786,Where to Place Your Dog’s Bed: Location and Comfort Tips,Dog Care,Add trust editorial block,Trust,39,19,1,8.85,P0-Critical
187,4783,How to Choose the Right Dog Bed Size,Dog Beds,Add trust editorial block,Trust,39,19,1,8.85,P0-Critical
188,4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,Add trust editorial block,Trust,39,19,1,8.85,P0-Critical
189,6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,Add trust editorial block,Trust,40,18,1,8.85,P0-Critical
190,6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,Add trust editorial block,Trust,40,18,1,8.85,P0-Critical
191,5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Educational,Add trust editorial block,Trust,40,18,1,8.85,P0-Critical
192,5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,Add trust editorial block,Trust,40,18,1,8.85,P0-Critical
193,5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,Add trust editorial block,Trust,40,18,1,8.85,P0-Critical
194,5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Care,Add trust editorial block,Trust,40,18,1,8.85,P0-Critical
