post_id,title,cluster,Extractability,Trust Reinforcement,Comparison Usefulness,Glossary Richness,Educational Clarity,Answer Usefulness,Practical Specificity,Source Quality,Summary Quality,overall_citation_confidence,gap_to_70,feasibility_score
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,60,33,0,45,79,65,37,11,35,43,27,76
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,60,33,10,45,75,60,41,0,35,43,27,75
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Cat Supplies,53,42,5,35,85,61,18,27,10,42,28,84
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Educational,50,16,17,55,100,50,5,33,20,42,28,80
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Supplies,53,16,35,25,100,55,21,22,10,42,28,86
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,53,16,30,45,77,60,24,33,20,42,28,85
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,60,41,0,45,88,50,29,0,35,42,28,73
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,60,33,0,45,82,50,30,11,35,42,28,74
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,47,16,40,15,95,58,35,22,10,41,29,89
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,47,26,30,55,90,40,15,25,10,41,29,80
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,56,51,0,65,69,35,25,0,35,41,29,73
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,60,33,5,45,79,40,30,11,35,41,29,73
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,60,33,0,45,73,50,49,0,35,41,29,75
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,50,24,0,60,85,43,20,25,20,40,30,83
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Educational,56,43,0,45,77,40,35,0,35,40,30,73
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,60,33,5,45,78,45,34,0,25,40,30,78
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,53,16,0,45,85,55,13,33,20,39,31,80
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Pet Care General,53,16,25,50,90,48,5,22,10,39,31,85
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,53,26,0,45,83,50,19,25,20,39,31,83
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,53,16,10,55,87,44,14,25,10,39,31,84
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,45,16,40,55,76,25,20,33,18,39,31,85
4785,How to Wash and Maintain Your Dog’s Bed,Unclassified,56,16,0,45,75,55,27,33,25,39,31,86
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,56,24,45,45,84,35,5,0,22,39,31,76
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,60,41,0,45,75,40,25,0,25,39,31,73
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,60,33,5,45,74,40,30,0,35,39,31,73
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Harnesses,60,41,0,45,69,45,28,0,25,39,31,78
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Puppy Care,60,41,0,45,73,40,30,0,35,39,31,73
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Unclassified,44,24,30,40,66,50,11,38,20,38,32,84
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,47,16,40,40,66,50,13,33,20,38,32,85
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,47,24,0,65,76,43,20,25,20,38,32,83
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Supplies,42,16,30,55,90,35,3,30,10,38,32,85
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,49,24,65,45,75,35,5,0,18,38,32,77
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,60,41,0,45,65,40,30,0,25,38,32,78
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,56,33,0,45,74,50,25,0,25,38,32,73
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,53,33,10,45,78,35,25,0,35,38,32,73
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,56,43,0,45,70,40,25,0,25,38,32,73
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Harnesses,56,43,0,45,71,35,34,0,15,38,32,79
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,60,33,0,45,72,45,35,0,25,38,32,78
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,44,24,30,40,61,40,14,38,20,37,33,85
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Unclassified,47,16,30,40,67,51,9,33,28,37,33,84
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,47,24,30,40,67,40,14,33,20,37,33,85
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,51,26,0,40,73,50,5,33,27,37,33,79
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Pet Care General,47,16,0,25,100,60,18,22,10,37,33,86
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Unclassified,49,34,0,45,71,35,22,30,20,37,33,83
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Pet Care General,60,24,0,45,64,40,30,25,10,37,33,86
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,56,33,5,45,71,40,28,0,25,37,33,78
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,56,33,5,45,69,35,31,0,35,37,33,73
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,56,33,0,45,73,38,31,0,35,37,33,73
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,52,41,0,45,65,30,46,0,25,37,33,78
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,53,33,15,45,71,35,25,0,25,37,33,72
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Puppy Care,56,43,0,45,65,35,30,0,25,37,33,78
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Supplies,56,43,0,45,70,35,25,0,15,37,33,79
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,60,33,0,45,72,40,25,0,25,37,33,73
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Unclassified,44,16,35,40,71,35,14,33,20,36,34,85
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,47,16,30,40,63,40,14,33,20,36,34,85
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Unclassified,45,26,0,45,69,55,9,33,10,36,34,83
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,50,16,0,55,84,45,5,25,10,36,34,83
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,53,16,7,45,79,50,5,25,20,36,34,80
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,52,16,0,45,67,40,24,33,35,36,34,80
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,56,16,5,45,71,35,15,25,35,36,34,80
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,53,33,5,45,64,40,34,0,25,36,34,78
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,52,33,0,45,65,33,46,0,25,36,34,78
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,56,33,0,45,70,40,25,0,25,36,34,73
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Dog Care,52,33,0,45,73,25,35,0,35,36,34,77
4188,Best Catnip Toys UK (2026) – What Works and Why,Unclassified,49,33,0,45,75,40,25,0,25,36,34,73
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,60,33,0,45,66,40,25,0,25,36,34,73
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,60,33,0,45,65,45,25,0,25,36,34,73
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Unclassified,56,33,5,45,64,38,30,0,15,36,34,79
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Supplies,57,33,0,45,67,40,28,0,25,36,34,78
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,56,33,0,45,67,35,37,0,25,36,34,78
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,47,16,30,40,57,50,5,33,20,35,35,84
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,53,16,5,45,67,40,19,25,20,35,35,80
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Cat Toys,53,16,0,45,77,50,5,25,10,35,35,83
4786,Where to Place Your Dog’s Bed: Location and Comfort Tips,Unclassified,52,16,10,45,71,30,19,22,25,35,35,80
4568,Dog Dental Health: A Practical Care Guide,Dog Care,56,24,0,45,67,38,15,22,10,35,35,83
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Unclassified,52,41,5,45,65,30,25,0,25,35,35,73
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,52,33,5,45,69,33,28,0,25,35,35,78
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,56,33,5,45,59,38,25,0,25,35,35,73
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,52,33,0,45,63,30,38,0,35,35,35,76
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,56,33,0,45,65,35,28,0,25,35,35,78
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,53,33,0,45,64,35,30,0,25,35,35,78
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,53,41,0,45,64,35,25,0,25,35,35,73
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,53,33,0,45,69,40,25,0,15,35,35,79
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Unclassified,49,33,0,45,75,30,30,0,25,35,35,78
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,47,16,30,40,53,40,14,33,20,34,36,85
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,44,16,0,40,71,55,5,33,20,34,36,80
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,44,16,7,40,71,45,5,33,20,34,36,80
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Toys,42,16,5,40,68,55,10,33,10,34,36,83
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,45,16,0,40,58,50,30,33,10,34,36,86
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,52,26,0,45,62,35,24,22,15,34,36,81
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,52,16,5,45,66,35,16,25,35,34,36,80
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,52,16,30,45,58,30,19,25,10,34,36,86
4571,Pet First Aid Basics: What Every Owner Should Know,Pet Care General,52,16,0,55,70,30,10,33,10,34,36,83
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,52,16,30,45,58,30,21,25,10,34,36,86
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,53,33,0,45,58,35,33,0,15,34,36,79
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,53,33,0,45,64,35,25,0,25,34,36,73
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Unclassified,56,33,0,45,64,30,30,0,15,34,36,79
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Toys,44,24,5,40,63,45,5,33,20,33,37,82
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Toys,44,16,0,40,71,45,5,33,20,33,37,80
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Educational,49,16,0,45,72,35,19,25,10,33,37,86
5414,Cat Toy Types Explained: A Complete Glossary,Cat Toys,42,16,0,55,76,35,5,25,10,33,37,83
4791,How to Choose the Right Dog Training Treats,Dog Supplies,52,16,0,45,59,50,10,25,25,33,37,80
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,52,16,5,45,65,30,10,25,25,33,37,80
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care General,52,26,0,45,69,30,0,25,20,33,37,82
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,45,24,40,45,67,30,8,0,10,33,37,78
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,41,24,15,45,74,45,9,0,10,33,37,78
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Toys,41,24,0,45,57,45,8,33,10,32,38,83
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Toys,45,16,0,40,63,40,9,33,10,31,39,83
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,43,16,5,45,75,45,5,0,10,31,39,73
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Supplies,41,24,40,45,62,25,8,0,10,31,39,78
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,41,24,40,45,57,25,8,0,10,31,39,78
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,41,16,35,45,67,25,11,0,10,31,39,78
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care General,48,24,0,45,64,20,5,25,10,30,40,83
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,53,24,0,45,61,35,10,0,10,30,40,73
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,45,24,15,45,58,35,5,0,10,30,40,78
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Cat Supplies,32,41,0,55,56,25,0,3,42,30,40,73
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,20,16,35,45,73,10,0,25,10,28,42,86
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,41,24,5,45,53,35,8,0,10,28,42,73
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Cat Toys,20,16,0,45,73,35,0,25,10,27,43,83
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Dog Toys,21,16,30,40,48,15,5,33,10,26,44,86
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,35,16,0,45,46,30,10,0,0,23,47,80
