post_id,title,cluster,term,definition_text,insertion_location,priority
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,RSPCA,"RSPCA -- the Royal Society for the Prevention of Cruelty to Animals, the UK's leading animal welfare charity.",After first mention,medium
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,BVA,"BVA -- the British Veterinary Association, the national body representing veterinary professionals in the UK.",After first mention,medium
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,positive reinforcement,"Positive reinforcement -- rewarding desired behaviour (with treats, praise, or play) so the dog is more likely to repeat it.",In glossary block at end of post,medium
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,body condition score,"Body condition score (BCS) -- a 1-to-9 scale vets use to judge whether a pet is underweight, ideal, or overweight by feeling ribs and waist.",In glossary block at end of post,medium
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,microchip,"Microchip -- a tiny electronic chip implanted under the skin that stores a unique ID, helping reunite lost pets with owners.",After first mention,medium
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,enrichment,"Enrichment -- activities and objects that stimulate a pet's mind and body, preventing boredom and behavioural problems.",After first mention,medium
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,desensitisation,"Desensitisation -- gradually exposing a dog to a trigger (sound, object, situation) at low intensity so it learns to stay calm.",In glossary block at end of post,high
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,resource guarding,"Resource guarding -- when a dog becomes protective or aggressive over food, toys, or other valued items.",In glossary block at end of post,high
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,puzzle feeder,"Puzzle feeder -- a toy that hides treats inside compartments, making the dog work to get the food out.",In glossary block at end of post,high
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,interactive toy,"Interactive toy -- a toy designed for play between pet and owner, or one that responds to the pet's actions.",In glossary block at end of post,high
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,tug toy,Tug toy -- a rope or fabric toy built for two-way pulling games between dog and handler.,In glossary block at end of post,high
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,flirt pole,"Flirt pole -- a long stick with a lure on a string at the end, used for chase-and-catch exercise.",In glossary block at end of post,high
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,snuffle mat,"Snuffle mat -- a fabric mat with deep loops where treats are hidden, encouraging dogs to sniff and forage.",In glossary block at end of post,high
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,dental chew,Dental chew -- a hard treat or toy designed to scrape plaque from teeth during chewing.,In glossary block at end of post,high
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,lick mat,Lick mat -- a textured silicone mat you spread soft food onto; the repetitive licking soothes anxious dogs.,In glossary block at end of post,high
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,denier,"Denier -- a measure of fabric thickness and durability; higher denier means tougher, more tear-resistant material.",In glossary block at end of post,high
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,stuffable toy,Stuffable toy -- a hollow rubber or silicone toy you can fill with treats or paste to keep a dog occupied.,In glossary block at end of post,high
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,nylon chew,"Nylon chew -- a hard synthetic chew toy that lasts longer than natural materials, suitable for aggressive chewers.",In glossary block at end of post,high
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,RSPCA,"RSPCA -- the Royal Society for the Prevention of Cruelty to Animals, the UK's leading animal welfare charity.",After first mention,medium
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,BVA,"BVA -- the British Veterinary Association, the national body representing veterinary professionals in the UK.",In glossary block at end of post,medium
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,positive reinforcement,"Positive reinforcement -- rewarding desired behaviour (with treats, praise, or play) so the dog is more likely to repeat it.",In glossary block at end of post,medium
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,body condition score,"Body condition score (BCS) -- a 1-to-9 scale vets use to judge whether a pet is underweight, ideal, or overweight by feeling ribs and waist.",In glossary block at end of post,medium
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,microchip,"Microchip -- a tiny electronic chip implanted under the skin that stores a unique ID, helping reunite lost pets with owners.",In glossary block at end of post,medium
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,enrichment,"Enrichment -- activities and objects that stimulate a pet's mind and body, preventing boredom and behavioural problems.",After first mention,medium
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,desensitisation,"Desensitisation -- gradually exposing a dog to a trigger (sound, object, situation) at low intensity so it learns to stay calm.",In glossary block at end of post,high
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,puzzle feeder,"Puzzle feeder -- a toy that hides treats inside compartments, making the dog work to get the food out.",In glossary block at end of post,high
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,interactive toy,"Interactive toy -- a toy designed for play between pet and owner, or one that responds to the pet's actions.",In glossary block at end of post,high
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,tug toy,Tug toy -- a rope or fabric toy built for two-way pulling games between dog and handler.,In glossary block at end of post,high
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,flirt pole,"Flirt pole -- a long stick with a lure on a string at the end, used for chase-and-catch exercise.",In glossary block at end of post,high
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,snuffle mat,"Snuffle mat -- a fabric mat with deep loops where treats are hidden, encouraging dogs to sniff and forage.",In glossary block at end of post,high
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,dental chew,Dental chew -- a hard treat or toy designed to scrape plaque from teeth during chewing.,In glossary block at end of post,high
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,lick mat,Lick mat -- a textured silicone mat you spread soft food onto; the repetitive licking soothes anxious dogs.,In glossary block at end of post,high
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,denier,"Denier -- a measure of fabric thickness and durability; higher denier means tougher, more tear-resistant material.",In glossary block at end of post,high
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,stuffable toy,Stuffable toy -- a hollow rubber or silicone toy you can fill with treats or paste to keep a dog occupied.,In glossary block at end of post,high
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,nylon chew,"Nylon chew -- a hard synthetic chew toy that lasts longer than natural materials, suitable for aggressive chewers.",In glossary block at end of post,high
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,RSPCA,"RSPCA -- the Royal Society for the Prevention of Cruelty to Animals, the UK's leading animal welfare charity.",After first mention,medium
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,BVA,"BVA -- the British Veterinary Association, the national body representing veterinary professionals in the UK.",After first mention,medium
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,body condition score,"Body condition score (BCS) -- a 1-to-9 scale vets use to judge whether a pet is underweight, ideal, or overweight by feeling ribs and waist.",In glossary block at end of post,medium
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,microchip,"Microchip -- a tiny electronic chip implanted under the skin that stores a unique ID, helping reunite lost pets with owners.",In glossary block at end of post,medium
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,desensitisation,"Desensitisation -- gradually exposing a dog to a trigger (sound, object, situation) at low intensity so it learns to stay calm.",In glossary block at end of post,high
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,resource guarding,"Resource guarding -- when a dog becomes protective or aggressive over food, toys, or other valued items.",In glossary block at end of post,high
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,puzzle feeder,"Puzzle feeder -- a toy that hides treats inside compartments, making the dog work to get the food out.",In glossary block at end of post,high
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,interactive toy,"Interactive toy -- a toy designed for play between pet and owner, or one that responds to the pet's actions.",In glossary block at end of post,high
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,tug toy,Tug toy -- a rope or fabric toy built for two-way pulling games between dog and handler.,In glossary block at end of post,high
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,flirt pole,"Flirt pole -- a long stick with a lure on a string at the end, used for chase-and-catch exercise.",In glossary block at end of post,high
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,snuffle mat,"Snuffle mat -- a fabric mat with deep loops where treats are hidden, encouraging dogs to sniff and forage.",In glossary block at end of post,high
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,dental chew,Dental chew -- a hard treat or toy designed to scrape plaque from teeth during chewing.,In glossary block at end of post,high
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,lick mat,Lick mat -- a textured silicone mat you spread soft food onto; the repetitive licking soothes anxious dogs.,In glossary block at end of post,high
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,denier,"Denier -- a measure of fabric thickness and durability; higher denier means tougher, more tear-resistant material.",In glossary block at end of post,high
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,stuffable toy,Stuffable toy -- a hollow rubber or silicone toy you can fill with treats or paste to keep a dog occupied.,In glossary block at end of post,high
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,nylon chew,"Nylon chew -- a hard synthetic chew toy that lasts longer than natural materials, suitable for aggressive chewers.",In glossary block at end of post,high
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,RSPCA,"RSPCA -- the Royal Society for the Prevention of Cruelty to Animals, the UK's leading animal welfare charity.",After first mention,medium
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,BVA,"BVA -- the British Veterinary Association, the national body representing veterinary professionals in the UK.",In glossary block at end of post,medium
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,positive reinforcement,"Positive reinforcement -- rewarding desired behaviour (with treats, praise, or play) so the dog is more likely to repeat it.",In glossary block at end of post,medium
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,body condition score,"Body condition score (BCS) -- a 1-to-9 scale vets use to judge whether a pet is underweight, ideal, or overweight by feeling ribs and waist.",In glossary block at end of post,medium
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,microchip,"Microchip -- a tiny electronic chip implanted under the skin that stores a unique ID, helping reunite lost pets with owners.",After first mention,medium
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Dog Toys,desensitisation,"Desensitisation -- gradually exposing a dog to a trigger (sound, object, situation) at low intensity so it learns to stay calm.",In glossary block at end of post,high
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Dog Toys,resource guarding,"Resource guarding -- when a dog becomes protective or aggressive over food, toys, or other valued items.",In glossary block at end of post,high
