cluster,dimension,dog_toys_score,cluster_score,gap,replication_action,target_posts,priority
Dog Beds,Authority Balance,75.3,52.9,22.4,Improve internal linking (both inbound and outbound) across 7 posts in Dog Beds,7,P2-High
Dog Beds,FAQ Density,62.0,52.1,9.9,Add FAQ sections with question-headings and structured Q&A to 7 posts in Dog Beds,7,P3-Medium
Dog Beds,Citation Confidence,19.5,13.4,6.1,"Add external citations, named sources, and data points to 7 posts in Dog Beds",7,P3-Medium
Pet Care General,Reference Support,55.5,14.0,41.5,Add RSPCA/BVA/PDSA/gov.uk/Battersea/Blue Cross/FEDIAF citations to 6 posts in Pet Care General,6,P1-Critical
Pet Care General,Authority Balance,75.3,51.7,23.6,Improve internal linking (both inbound and outbound) across 6 posts in Pet Care General,6,P2-High
Pet Care General,Citation Confidence,19.5,9.7,9.8,"Add external citations, named sources, and data points to 6 posts in Pet Care General",6,P3-Medium
Pet Care General,Crawl Reinforcement,52.5,43.3,9.2,"Add table of contents, anchor links, and related-posts sections to 6 posts in Pet Care General",6,P3-Medium
Pet Care General,FAQ Density,62.0,53.3,8.7,Add FAQ sections with question-headings and structured Q&A to 6 posts in Pet Care General,6,P3-Medium
Cat Toys,Reference Support,55.5,0.0,55.5,Add RSPCA/BVA/PDSA/gov.uk/Battersea/Blue Cross/FEDIAF citations to 14 posts in Cat Toys,14,P1-Critical
Uncategorized,Reference Support,55.5,0.0,55.5,Add RSPCA/BVA/PDSA/gov.uk/Battersea/Blue Cross/FEDIAF citations to 2 posts in Uncategorized,2,P1-Critical
Dog Care,Reference Support,55.5,28.4,27.1,Add RSPCA/BVA/PDSA/gov.uk/Battersea/Blue Cross/FEDIAF citations to 18 posts in Dog Care,18,P2-High
Dog Food,Reference Support,55.5,29.0,26.5,Add RSPCA/BVA/PDSA/gov.uk/Battersea/Blue Cross/FEDIAF citations to 4 posts in Dog Food,4,P2-High
Cat Toys,Authority Balance,75.3,50.0,25.3,Improve internal linking (both inbound and outbound) across 14 posts in Cat Toys,14,P2-High
Dog Food,Authority Balance,75.3,50.0,25.3,Improve internal linking (both inbound and outbound) across 4 posts in Dog Food,4,P2-High
Uncategorized,Authority Balance,75.3,50.0,25.3,Improve internal linking (both inbound and outbound) across 2 posts in Uncategorized,2,P2-High
Cat Toys,FAQ Density,62.0,45.9,16.1,Add FAQ sections with question-headings and structured Q&A to 14 posts in Cat Toys,14,P2-High
Dog Care,Authority Balance,75.3,61.1,14.2,Improve internal linking (both inbound and outbound) across 18 posts in Dog Care,18,P3-Medium
Dog Care,FAQ Density,62.0,49.9,12.1,Add FAQ sections with question-headings and structured Q&A to 18 posts in Dog Care,18,P3-Medium
Uncategorized,Citation Confidence,19.5,7.5,12.0,"Add external citations, named sources, and data points to 2 posts in Uncategorized",2,P3-Medium
Uncategorized,Comparison Density,14.7,5.0,9.7,Add comparison tables and vs-style content sections to 2 posts in Uncategorized,2,P3-Medium
Cat Toys,AI-Answer Coverage,39.0,29.6,9.4,"Add quick-answer blocks, TL;DR summaries, and structured Q&A for AI extraction in 14 posts in Cat Toys",14,P3-Medium
Uncategorized,FAQ Density,62.0,53.5,8.5,Add FAQ sections with question-headings and structured Q&A to 2 posts in Uncategorized,2,P3-Medium
Cat Toys,Citation Confidence,19.5,12.1,7.4,"Add external citations, named sources, and data points to 14 posts in Cat Toys",14,P3-Medium
Educational,Glossary Density,35.6,30.0,5.6,Add Key Terms / Glossary blocks with bold-dash definitions to 8 posts in Educational,8,P3-Medium
