post_id,title,cluster,existing_tables,existing_vs_sections,existing_pro_con,comparison_score,needs_comparison
5414,Cat Toy Types Explained: A Complete Glossary,toys,0,0,0,5,YES
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,toys,0,0,0,5,YES
5033,How to Choose the Right Cat Toy for Your Cat's Personality,toys,0,0,0,3,YES
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,toys,2,1,0,55.0,NO
5032,Cat Toys FAQ: Common Questions Answered,toys,0,0,0,5,YES
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,cat_specific,2,0,0,50.0,NO
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,toys,0,0,0,5,YES
4792,Puppy Socialisation: A Complete Timeline Guide,general_pet_care,0,0,0,5,YES
4791,How to Choose the Right Dog Training Treats,training,0,0,0,3,YES
4790,DIY Dog Toys: Safe Homemade Options,toys,0,1,0,5.0,YES
4789,Best Types of Dog Toys for Different Play Styles,toys,0,0,0,5,YES
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,toys,0,1,0,5.0,YES
4787,Dog Toy Safety: What Every Owner Needs to Know,toys,0,1,0,5.0,YES
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,beds_and_furniture,0,2,0,10.0,YES
4785,How to Wash and Maintain Your Dog's Bed,beds_and_furniture,0,0,0,3,YES
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",beds_and_furniture,2,1,0,55.0,NO
4783,How to Choose the Right Dog Bed Size,beds_and_furniture,0,1,0,5.0,YES
4573,Seasonal Pet Safety: Protecting Pets Through the Year,general_pet_care,0,0,0,3,YES
4570,First-Time Dog Owner Essentials: What You Need to Know,general_pet_care,2,0,0,50.0,NO
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,general_pet_care,0,0,0,3,YES
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,general_pet_care,0,0,0,3,YES
4571,Pet First Aid Basics: What Every Owner Should Know,general_pet_care,0,0,0,3,YES
4568,Dog Dental Health: A Practical Care Guide,health_and_wellness,0,0,0,5,YES
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,general_pet_care,2,0,0,50.0,NO
4563,Dog Grooming Basics: A Complete Guide for Owners,grooming,0,0,0,5,YES
4415,Cat Toy Safety Guide: What Every Owner Should Know,toys,1,2,0,35.0,NO
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,toys,0,1,0,5.0,YES
4414,Harness vs Collar: Which Is Better for Your Dog?,collars_leashes_harnesses,1,4,0,45.0,NO
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,general_pet_care,0,1,0,5.0,YES
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,collars_leashes_harnesses,0,1,0,5.0,YES
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",collars_leashes_harnesses,1,1,0,30.0,NO
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,cat_specific,1,2,0,35.0,NO
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,toys,1,1,0,30.0,NO
4408,How Often Should You Replace Cat Toys? A Practical Guide,toys,0,1,0,5.0,YES
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,toys,2,1,0,55.0,NO
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,cat_specific,0,1,0,5.0,YES
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,cat_specific,0,1,0,5.0,YES
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,cat_specific,0,0,0,3,YES
4314,Best Cat Litter Trays UK (2026) – Complete Guide,cat_specific,0,1,0,5.0,YES
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,cat_specific,0,1,0,5.0,YES
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,cat_specific,0,1,0,5.0,YES
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,cat_specific,0,0,0,5,YES
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,cat_specific,0,0,0,5,YES
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,cat_specific,0,0,0,5,YES
4272,Best Cat ID Tags UK (2026) – Identification Guide,cat_specific,0,0,0,5,YES
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,cat_specific,0,0,0,3,YES
4258,Best Cat Collars UK (2026) – Complete Safety Guide,cat_specific,0,0,0,5,YES
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,grooming,0,0,0,3,YES
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,grooming,0,0,0,3,YES
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,grooming,0,0,0,3,YES
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,grooming,0,0,0,5,YES
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,cat_specific,0,0,0,3,YES
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,beds_and_furniture,0,0,0,3,YES
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,cat_specific,0,0,0,3,YES
4202,Best Cat Beds UK (2026) – Complete Guide,beds_and_furniture,0,3,0,15.0,YES
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,toys,0,0,0,3,YES
4188,Best Catnip Toys UK (2026) – What Works and Why,cat_specific,0,0,0,3,YES
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,toys,0,0,0,3,YES
4174,Best Cat Toys UK (2026) – Complete Guide,toys,0,2,0,10.0,YES
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,bowls_and_feeders,0,0,0,5,YES
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,bowls_and_feeders,0,0,0,5,YES
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,bowls_and_feeders,0,0,0,5,YES
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,bowls_and_feeders,0,0,0,5,YES
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,training,0,0,0,5,YES
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,general_pet_care,0,0,0,3,YES
4125,Best Dog Training Treats UK (2026) – Reward Guide,training,0,0,0,3,YES
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,training,0,0,0,5,YES
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,health_and_wellness,0,0,0,5,YES
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,health_and_wellness,0,0,0,5,YES
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,health_and_wellness,0,0,0,5,YES
4089,Best Dog Health and Care UK (2026) – Complete Guide,health_and_wellness,0,0,0,5,YES
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,grooming,0,0,0,3,YES
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,grooming,0,1,0,5.0,YES
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,grooming,0,0,0,3,YES
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,grooming,0,1,0,5.0,YES
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,general_pet_care,0,0,0,3,YES
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,collars_leashes_harnesses,0,0,0,5,YES
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,collars_leashes_harnesses,0,0,0,5,YES
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,collars_leashes_harnesses,0,1,0,5.0,YES
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,beds_and_furniture,0,0,0,5,YES
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,beds_and_furniture,0,1,0,5.0,YES
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,beds_and_furniture,0,0,0,5,YES
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,beds_and_furniture,0,0,0,5,YES
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,toys,0,0,0,5,YES
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,toys,0,0,0,5,YES
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,toys,0,0,0,5,YES
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,toys,0,1,0,5.0,YES
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,food_and_nutrition,6,1,0,55.0,NO
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,food_and_nutrition,5,10,0,70.0,NO
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,food_and_nutrition,4,6,0,70.0,NO
3836,Best Dog Food UK (2026) - Complete Buying Guide,food_and_nutrition,4,8,0,70.0,NO
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,cat_specific,0,0,0,3,YES
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,toys,0,0,0,3,YES
