post_id,title,cluster,existing_checklists,needs_checklist,checklist_type_recommended,checklist_template,priority
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Care,1,Yes,Safety Guide,[ ] Identify and remove toxic plants/foods from access | [ ] Secure medications and cleaning products | [ ] Check for small choking hazards | [ ] Verify fence/enclosure integrity | [ ] Save emergency vet number in phone | [ ] Prepare pet first-aid kit | [ ] Know nearest 24-hour emergency vet location | [ ] Review signs that require immediate vet visit,LOW
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Pet Products & Gear,0,Yes,Buying Guide,[ ] Research breed/species-specific requirements | [ ] Set budget range (product + ongoing costs) | [ ] Compare at least 3 options/brands | [ ] Check ingredient list / material quality | [ ] Read verified user reviews (min 50+) | [ ] Verify size/fit for your specific pet | [ ] Check return policy and warranty | [ ] Confirm compatibility with existing setup,HIGH
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Pet Products & Gear,0,Yes,Safety Guide,[ ] Identify and remove toxic plants/foods from access | [ ] Secure medications and cleaning products | [ ] Check for small choking hazards | [ ] Verify fence/enclosure integrity | [ ] Save emergency vet number in phone | [ ] Prepare pet first-aid kit | [ ] Know nearest 24-hour emergency vet location | [ ] Review signs that require immediate vet visit,HIGH
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Pet Products & Gear,0,Yes,Health Checklist,"[ ] Monitor eating and drinking habits daily | [ ] Watch for changes in energy level or behavior | [ ] Check for lumps, bumps, or skin changes weekly | [ ] Monitor stool consistency and frequency | [ ] Track weight monthly (sudden changes = vet visit) | [ ] Note any limping, stiffness, or mobility changes | [ ] Check eyes for discharge, redness, cloudiness | [ ] Review vaccination schedule — up to date?",HIGH
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Pet Products & Gear,0,Yes,Buying Guide,[ ] Research breed/species-specific requirements | [ ] Set budget range (product + ongoing costs) | [ ] Compare at least 3 options/brands | [ ] Check ingredient list / material quality | [ ] Read verified user reviews (min 50+) | [ ] Verify size/fit for your specific pet | [ ] Check return policy and warranty | [ ] Confirm compatibility with existing setup,HIGH
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Pet Products & Gear,0,Yes,Safety Guide,[ ] Identify and remove toxic plants/foods from access | [ ] Secure medications and cleaning products | [ ] Check for small choking hazards | [ ] Verify fence/enclosure integrity | [ ] Save emergency vet number in phone | [ ] Prepare pet first-aid kit | [ ] Know nearest 24-hour emergency vet location | [ ] Review signs that require immediate vet visit,HIGH
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Care,0,Yes,Safety Guide,[ ] Identify and remove toxic plants/foods from access | [ ] Secure medications and cleaning products | [ ] Check for small choking hazards | [ ] Verify fence/enclosure integrity | [ ] Save emergency vet number in phone | [ ] Prepare pet first-aid kit | [ ] Know nearest 24-hour emergency vet location | [ ] Review signs that require immediate vet visit,HIGH
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Care,0,Yes,Training Checklist,[ ] Start with one command at a time | [ ] Keep training sessions under 10 minutes | [ ] Use high-value treats for reinforcement | [ ] Practice in low-distraction environment first | [ ] Add distractions gradually as skill improves | [ ] Be consistent with command words and signals | [ ] End every session on a positive note | [ ] Track progress weekly — note improvements and setbacks,HIGH
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Care,0,Yes,Safety Guide,[ ] Identify and remove toxic plants/foods from access | [ ] Secure medications and cleaning products | [ ] Check for small choking hazards | [ ] Verify fence/enclosure integrity | [ ] Save emergency vet number in phone | [ ] Prepare pet first-aid kit | [ ] Know nearest 24-hour emergency vet location | [ ] Review signs that require immediate vet visit,HIGH
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Care,0,Yes,Training Checklist,[ ] Start with one command at a time | [ ] Keep training sessions under 10 minutes | [ ] Use high-value treats for reinforcement | [ ] Practice in low-distraction environment first | [ ] Add distractions gradually as skill improves | [ ] Be consistent with command words and signals | [ ] End every session on a positive note | [ ] Track progress weekly — note improvements and setbacks,HIGH
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Pet Products & Gear,0,Yes,Buying Guide,[ ] Research breed/species-specific requirements | [ ] Set budget range (product + ongoing costs) | [ ] Compare at least 3 options/brands | [ ] Check ingredient list / material quality | [ ] Read verified user reviews (min 50+) | [ ] Verify size/fit for your specific pet | [ ] Check return policy and warranty | [ ] Confirm compatibility with existing setup,HIGH
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Pet Products & Gear,0,Yes,Safety Guide,[ ] Identify and remove toxic plants/foods from access | [ ] Secure medications and cleaning products | [ ] Check for small choking hazards | [ ] Verify fence/enclosure integrity | [ ] Save emergency vet number in phone | [ ] Prepare pet first-aid kit | [ ] Know nearest 24-hour emergency vet location | [ ] Review signs that require immediate vet visit,HIGH
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Pet Products & Gear,1,Yes,Buying Guide,[ ] Research breed/species-specific requirements | [ ] Set budget range (product + ongoing costs) | [ ] Compare at least 3 options/brands | [ ] Check ingredient list / material quality | [ ] Read verified user reviews (min 50+) | [ ] Verify size/fit for your specific pet | [ ] Check return policy and warranty | [ ] Confirm compatibility with existing setup,LOW
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Pet Products & Gear,1,Yes,Setup Guide,"[ ] Gather all required supplies before starting | [ ] Pet-proof the designated area | [ ] Set up feeding station (bowl, water, food) | [ ] Prepare sleeping/resting area | [ ] Install safety barriers if needed | [ ] Schedule first vet visit within 48 hours | [ ] Introduce to household members gradually | [ ] Establish immediate routine (feeding times, potty schedule)",LOW
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Pet Products & Gear,1,Yes,Safety Guide,[ ] Identify and remove toxic plants/foods from access | [ ] Secure medications and cleaning products | [ ] Check for small choking hazards | [ ] Verify fence/enclosure integrity | [ ] Save emergency vet number in phone | [ ] Prepare pet first-aid kit | [ ] Know nearest 24-hour emergency vet location | [ ] Review signs that require immediate vet visit,LOW
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Pet Products & Gear,1,Yes,Health Checklist,"[ ] Monitor eating and drinking habits daily | [ ] Watch for changes in energy level or behavior | [ ] Check for lumps, bumps, or skin changes weekly | [ ] Monitor stool consistency and frequency | [ ] Track weight monthly (sudden changes = vet visit) | [ ] Note any limping, stiffness, or mobility changes | [ ] Check eyes for discharge, redness, cloudiness | [ ] Review vaccination schedule — up to date?",LOW
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Pet Products & Gear,1,Yes,Training Checklist,[ ] Start with one command at a time | [ ] Keep training sessions under 10 minutes | [ ] Use high-value treats for reinforcement | [ ] Practice in low-distraction environment first | [ ] Add distractions gradually as skill improves | [ ] Be consistent with command words and signals | [ ] End every session on a positive note | [ ] Track progress weekly — note improvements and setbacks,LOW
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Care,1,Yes,Setup Guide,"[ ] Gather all required supplies before starting | [ ] Pet-proof the designated area | [ ] Set up feeding station (bowl, water, food) | [ ] Prepare sleeping/resting area | [ ] Install safety barriers if needed | [ ] Schedule first vet visit within 48 hours | [ ] Introduce to household members gradually | [ ] Establish immediate routine (feeding times, potty schedule)",LOW
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Care,1,Yes,Safety Guide,[ ] Identify and remove toxic plants/foods from access | [ ] Secure medications and cleaning products | [ ] Check for small choking hazards | [ ] Verify fence/enclosure integrity | [ ] Save emergency vet number in phone | [ ] Prepare pet first-aid kit | [ ] Know nearest 24-hour emergency vet location | [ ] Review signs that require immediate vet visit,LOW
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Care,1,Yes,Training Checklist,[ ] Start with one command at a time | [ ] Keep training sessions under 10 minutes | [ ] Use high-value treats for reinforcement | [ ] Practice in low-distraction environment first | [ ] Add distractions gradually as skill improves | [ ] Be consistent with command words and signals | [ ] End every session on a positive note | [ ] Track progress weekly — note improvements and setbacks,LOW
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Care,1,Yes,Buying Guide,[ ] Research breed/species-specific requirements | [ ] Set budget range (product + ongoing costs) | [ ] Compare at least 3 options/brands | [ ] Check ingredient list / material quality | [ ] Read verified user reviews (min 50+) | [ ] Verify size/fit for your specific pet | [ ] Check return policy and warranty | [ ] Confirm compatibility with existing setup,LOW
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Care,1,Yes,Setup Guide,"[ ] Gather all required supplies before starting | [ ] Pet-proof the designated area | [ ] Set up feeding station (bowl, water, food) | [ ] Prepare sleeping/resting area | [ ] Install safety barriers if needed | [ ] Schedule first vet visit within 48 hours | [ ] Introduce to household members gradually | [ ] Establish immediate routine (feeding times, potty schedule)",LOW
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Care,1,Yes,Safety Guide,[ ] Identify and remove toxic plants/foods from access | [ ] Secure medications and cleaning products | [ ] Check for small choking hazards | [ ] Verify fence/enclosure integrity | [ ] Save emergency vet number in phone | [ ] Prepare pet first-aid kit | [ ] Know nearest 24-hour emergency vet location | [ ] Review signs that require immediate vet visit,LOW
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Care,1,Yes,Health Checklist,"[ ] Monitor eating and drinking habits daily | [ ] Watch for changes in energy level or behavior | [ ] Check for lumps, bumps, or skin changes weekly | [ ] Monitor stool consistency and frequency | [ ] Track weight monthly (sudden changes = vet visit) | [ ] Note any limping, stiffness, or mobility changes | [ ] Check eyes for discharge, redness, cloudiness | [ ] Review vaccination schedule — up to date?",LOW
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Care,1,Yes,Training Checklist,[ ] Start with one command at a time | [ ] Keep training sessions under 10 minutes | [ ] Use high-value treats for reinforcement | [ ] Practice in low-distraction environment first | [ ] Add distractions gradually as skill improves | [ ] Be consistent with command words and signals | [ ] End every session on a positive note | [ ] Track progress weekly — note improvements and setbacks,LOW
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Care,1,Yes,Safety Guide,[ ] Identify and remove toxic plants/foods from access | [ ] Secure medications and cleaning products | [ ] Check for small choking hazards | [ ] Verify fence/enclosure integrity | [ ] Save emergency vet number in phone | [ ] Prepare pet first-aid kit | [ ] Know nearest 24-hour emergency vet location | [ ] Review signs that require immediate vet visit,LOW
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Care,1,Yes,Health Checklist,"[ ] Monitor eating and drinking habits daily | [ ] Watch for changes in energy level or behavior | [ ] Check for lumps, bumps, or skin changes weekly | [ ] Monitor stool consistency and frequency | [ ] Track weight monthly (sudden changes = vet visit) | [ ] Note any limping, stiffness, or mobility changes | [ ] Check eyes for discharge, redness, cloudiness | [ ] Review vaccination schedule — up to date?",LOW
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Pet Products & Gear,1,Yes,Buying Guide,[ ] Research breed/species-specific requirements | [ ] Set budget range (product + ongoing costs) | [ ] Compare at least 3 options/brands | [ ] Check ingredient list / material quality | [ ] Read verified user reviews (min 50+) | [ ] Verify size/fit for your specific pet | [ ] Check return policy and warranty | [ ] Confirm compatibility with existing setup,LOW
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Pet Products & Gear,1,Yes,Safety Guide,[ ] Identify and remove toxic plants/foods from access | [ ] Secure medications and cleaning products | [ ] Check for small choking hazards | [ ] Verify fence/enclosure integrity | [ ] Save emergency vet number in phone | [ ] Prepare pet first-aid kit | [ ] Know nearest 24-hour emergency vet location | [ ] Review signs that require immediate vet visit,LOW
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Care,0,Yes,Buying Guide,[ ] Research breed/species-specific requirements | [ ] Set budget range (product + ongoing costs) | [ ] Compare at least 3 options/brands | [ ] Check ingredient list / material quality | [ ] Read verified user reviews (min 50+) | [ ] Verify size/fit for your specific pet | [ ] Check return policy and warranty | [ ] Confirm compatibility with existing setup,HIGH
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Care,0,Yes,Training Checklist,[ ] Start with one command at a time | [ ] Keep training sessions under 10 minutes | [ ] Use high-value treats for reinforcement | [ ] Practice in low-distraction environment first | [ ] Add distractions gradually as skill improves | [ ] Be consistent with command words and signals | [ ] End every session on a positive note | [ ] Track progress weekly — note improvements and setbacks,HIGH
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Care,0,Yes,Travel Checklist,"[ ] Update microchip information | [ ] Get health certificate from vet (if required) | [ ] Pack sufficient food, water, medications | [ ] Bring familiar comfort item (toy, blanket) | [ ] Research pet-friendly accommodations | [ ] Prepare carrier with proper ventilation | [ ] Plan rest stops every 2-3 hours for walks | [ ] Bring copies of vaccination records",HIGH
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Pet Health,0,Yes,Buying Guide,[ ] Research breed/species-specific requirements | [ ] Set budget range (product + ongoing costs) | [ ] Compare at least 3 options/brands | [ ] Check ingredient list / material quality | [ ] Read verified user reviews (min 50+) | [ ] Verify size/fit for your specific pet | [ ] Check return policy and warranty | [ ] Confirm compatibility with existing setup,HIGH
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Pet Health,0,Yes,Safety Guide,[ ] Identify and remove toxic plants/foods from access | [ ] Secure medications and cleaning products | [ ] Check for small choking hazards | [ ] Verify fence/enclosure integrity | [ ] Save emergency vet number in phone | [ ] Prepare pet first-aid kit | [ ] Know nearest 24-hour emergency vet location | [ ] Review signs that require immediate vet visit,HIGH
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Pet Health,0,Yes,Care Routine,"[ ] Daily: Fresh water and measured food portions | [ ] Daily: Exercise/play session (minimum 20 min) | [ ] Daily: Quick health visual check (eyes, ears, nose) | [ ] Weekly: Brush coat / clean enclosure thoroughly | [ ] Weekly: Check teeth and gums | [ ] Monthly: Parasite prevention treatment | [ ] Monthly: Nail trim check | [ ] Quarterly: Weight check and diet adjustment | [ ] Annually: Full vet checkup + vaccinations",HIGH
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Pet Health,0,Yes,Buying Guide,[ ] Research breed/species-specific requirements | [ ] Set budget range (product + ongoing costs) | [ ] Compare at least 3 options/brands | [ ] Check ingredient list / material quality | [ ] Read verified user reviews (min 50+) | [ ] Verify size/fit for your specific pet | [ ] Check return policy and warranty | [ ] Confirm compatibility with existing setup,HIGH
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Pet Health,0,Yes,Safety Guide,[ ] Identify and remove toxic plants/foods from access | [ ] Secure medications and cleaning products | [ ] Check for small choking hazards | [ ] Verify fence/enclosure integrity | [ ] Save emergency vet number in phone | [ ] Prepare pet first-aid kit | [ ] Know nearest 24-hour emergency vet location | [ ] Review signs that require immediate vet visit,HIGH
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Pet Health,0,Yes,Health Checklist,"[ ] Monitor eating and drinking habits daily | [ ] Watch for changes in energy level or behavior | [ ] Check for lumps, bumps, or skin changes weekly | [ ] Monitor stool consistency and frequency | [ ] Track weight monthly (sudden changes = vet visit) | [ ] Note any limping, stiffness, or mobility changes | [ ] Check eyes for discharge, redness, cloudiness | [ ] Review vaccination schedule — up to date?",HIGH
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Pet Health,0,Yes,Buying Guide,[ ] Research breed/species-specific requirements | [ ] Set budget range (product + ongoing costs) | [ ] Compare at least 3 options/brands | [ ] Check ingredient list / material quality | [ ] Read verified user reviews (min 50+) | [ ] Verify size/fit for your specific pet | [ ] Check return policy and warranty | [ ] Confirm compatibility with existing setup,MEDIUM
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Pet Health,0,Yes,Safety Guide,[ ] Identify and remove toxic plants/foods from access | [ ] Secure medications and cleaning products | [ ] Check for small choking hazards | [ ] Verify fence/enclosure integrity | [ ] Save emergency vet number in phone | [ ] Prepare pet first-aid kit | [ ] Know nearest 24-hour emergency vet location | [ ] Review signs that require immediate vet visit,MEDIUM
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Pet Health,0,Yes,Care Routine,"[ ] Daily: Fresh water and measured food portions | [ ] Daily: Exercise/play session (minimum 20 min) | [ ] Daily: Quick health visual check (eyes, ears, nose) | [ ] Weekly: Brush coat / clean enclosure thoroughly | [ ] Weekly: Check teeth and gums | [ ] Monthly: Parasite prevention treatment | [ ] Monthly: Nail trim check | [ ] Quarterly: Weight check and diet adjustment | [ ] Annually: Full vet checkup + vaccinations",MEDIUM
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Pet Health,0,Yes,Health Checklist,"[ ] Monitor eating and drinking habits daily | [ ] Watch for changes in energy level or behavior | [ ] Check for lumps, bumps, or skin changes weekly | [ ] Monitor stool consistency and frequency | [ ] Track weight monthly (sudden changes = vet visit) | [ ] Note any limping, stiffness, or mobility changes | [ ] Check eyes for discharge, redness, cloudiness | [ ] Review vaccination schedule — up to date?",MEDIUM
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Pet Health,0,Yes,Training Checklist,[ ] Start with one command at a time | [ ] Keep training sessions under 10 minutes | [ ] Use high-value treats for reinforcement | [ ] Practice in low-distraction environment first | [ ] Add distractions gradually as skill improves | [ ] Be consistent with command words and signals | [ ] End every session on a positive note | [ ] Track progress weekly — note improvements and setbacks,MEDIUM
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Pet Health,0,Yes,Travel Checklist,"[ ] Update microchip information | [ ] Get health certificate from vet (if required) | [ ] Pack sufficient food, water, medications | [ ] Bring familiar comfort item (toy, blanket) | [ ] Research pet-friendly accommodations | [ ] Prepare carrier with proper ventilation | [ ] Plan rest stops every 2-3 hours for walks | [ ] Bring copies of vaccination records",MEDIUM
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Cat Care,0,Yes,Buying Guide,[ ] Research breed/species-specific requirements | [ ] Set budget range (product + ongoing costs) | [ ] Compare at least 3 options/brands | [ ] Check ingredient list / material quality | [ ] Read verified user reviews (min 50+) | [ ] Verify size/fit for your specific pet | [ ] Check return policy and warranty | [ ] Confirm compatibility with existing setup,HIGH
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Cat Care,0,Yes,Setup Guide,"[ ] Gather all required supplies before starting | [ ] Pet-proof the designated area | [ ] Set up feeding station (bowl, water, food) | [ ] Prepare sleeping/resting area | [ ] Install safety barriers if needed | [ ] Schedule first vet visit within 48 hours | [ ] Introduce to household members gradually | [ ] Establish immediate routine (feeding times, potty schedule)",HIGH
