post_id,title,slug,cluster,Educational Usefulness,Comparison Usefulness,Trust Reinforcement,Practical Specificity,Glossary Richness,Extractability,Answer Usefulness,Reference Quality,Summary Usefulness,overall_citation_confidence,threshold_status
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,best-no-pull-dog-harnesses-uk,Dog Harnesses,67,0,33,37,45,56,35,0,25,36,below_70
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,dog-toy-hygiene-schedules,Dog Toys,57,30,16,5,40,47,50,33,20,35,below_70
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,puppy-care-essentials-glossary,Puppy Care,75,0,24,20,65,44,43,0,10,35,below_70
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,cat-enrichment-beyond-toys,Cat Supplies,89,30,16,3,55,39,35,5,10,35,below_70
4568,Dog Dental Health: A Practical Care Guide,dog-dental-health-care-guide,Dog Care,67,0,24,15,45,56,38,22,10,35,below_70
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,best-self-cleaning-litter-trays-uk,Unclassified,65,5,41,25,45,52,30,0,25,35,below_70
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,best-wall-mounted-cat-scratchers-uk,Cat Supplies,69,5,33,28,45,52,33,0,25,35,below_70
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,best-cardboard-cat-scratchers-uk,Cat Supplies,59,5,33,25,45,56,38,0,25,35,below_70
4258,Best Cat Collars UK (2026) – Complete Safety Guide,best-cat-collars-uk,Cat Supplies,63,0,33,38,45,52,30,0,35,35,below_70
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,best-cat-nail-clippers-uk,Cat Supplies,65,0,33,28,45,56,35,0,25,35,below_70
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,best-cat-brushes-uk,Cat Supplies,64,0,33,30,45,53,35,0,25,35,below_70
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,best-cat-window-perches-uk,Cat Supplies,64,0,41,25,45,53,35,0,25,35,below_70
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,best-heated-cat-beds-uk,Cat Supplies,69,0,33,25,45,53,40,0,15,35,below_70
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,best-dog-nail-clippers-uk,Unclassified,64,0,33,30,45,56,30,0,25,35,below_70
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,best-dog-brushes-uk,Unclassified,75,0,33,30,45,49,30,0,25,35,below_70
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,sensory-enrichment-dogs,Dog Toys,53,30,16,14,40,47,40,33,20,34,below_70
5950,Dog Toy Durability Guide: What Lasts and What Does Not,dog-toy-durability-guide,Dog Toys,71,0,16,5,40,44,55,33,20,34,below_70
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",dog-toy-materials-compared,Dog Toys,71,7,16,5,40,44,45,33,20,34,below_70
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,scent-game-enrichment-dogs,Dog Toys,68,5,16,10,40,42,55,33,10,34,below_70
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,dog-toy-safety-breed-size,Dog Toys,58,0,16,30,40,45,50,33,10,34,below_70
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,aggressive-chewer-dog-toys,Unclassified,70,0,34,12,45,49,35,5,20,34,below_70
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,indoor-vs-outdoor-dog-toys,Dog Toys,76,40,16,10,55,45,25,0,18,34,below_70
4792,Puppy Socialisation: A Complete Timeline Guide,puppy-socialisation-guide,Puppy Care,62,0,26,24,45,52,35,22,15,34,below_70
4785,How to Wash and Maintain Your Dog’s Bed,how-to-wash-dog-bed,Unclassified,74,0,16,17,45,56,55,0,15,34,below_70
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,pet-hydration-guide,Pet Care General,64,0,24,30,45,60,40,0,10,34,below_70
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,best-cat-radiator-beds-uk,Cat Supplies,58,0,33,33,45,53,35,0,15,34,below_70
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,best-interactive-cat-toys-uk,Cat Toys,64,0,33,25,45,53,35,0,25,34,below_70
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,cognitive-enrichment-senior-dogs,Dog Toys,63,5,24,5,40,44,45,33,20,33,below_70
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,enrichment-schedules-dogs,Dog Toys,71,0,16,5,40,44,45,33,20,33,below_70
5032,Cat Toys FAQ: Common Questions Answered,cat-toys-faq,Cat Toys,83,0,16,5,55,47,45,0,10,33,below_70
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,cat-toy-rotation-guide,Cat Toys,78,7,16,5,45,50,50,0,20,33,below_70
4415,Cat Toy Safety Guide: What Every Owner Should Know,cat-toy-safety-guide,Cat Toys,67,40,24,8,45,45,30,0,10,33,below_70
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,how-to-measure-dog-for-harness,Dog Harnesses,74,15,24,9,45,41,45,0,10,33,below_70
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",safe-tug-play-dogs,Dog Toys,57,0,24,8,45,41,45,33,10,32,below_70
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,puppy-safe-dog-toys,Dog Toys,66,5,16,14,45,53,40,0,20,32,below_70
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,best-indoor-cat-toys,Cat Toys,76,0,16,5,45,50,50,0,20,32,below_70
4787,Dog Toy Safety: What Every Owner Needs to Know,dog-toy-safety-guide,Dog Toys,70,5,16,5,45,56,35,0,25,32,below_70
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,crate-play-enrichment-dogs,Dog Toys,63,0,16,9,40,45,40,33,10,31,below_70
4790,DIY Dog Toys: Safe Homemade Options,diy-dog-toys-homemade,Dog Toys,66,5,16,11,45,52,35,0,25,31,below_70
4789,Best Types of Dog Toys for Different Play Styles,dog-toys-for-different-play-styles,Dog Toys,67,0,16,14,45,52,40,0,25,31,below_70
4786,Where to Place Your Dog’s Bed: Location and Comfort Tips,where-to-place-dog-bed,Unclassified,70,10,16,14,45,49,30,0,15,31,below_70
4570,First-Time Dog Owner Essentials: What You Need to Know,first-time-dog-owner-essentials,Dog Care,57,30,16,14,45,52,30,0,0,31,below_70
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,seasonal-dog-care-guide,Dog Care,58,30,16,11,45,49,30,0,10,31,below_70
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,best-interactive-cat-toys-indoor-cats,Cat Toys,75,5,16,5,45,43,45,0,10,31,below_70
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,cat-enrichment-activities-beyond-toys,Cat Supplies,62,40,24,8,45,41,25,0,10,31,below_70
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,kitten-vs-adult-cat-toys-age-appropriate,Cat Toys,57,40,24,8,45,41,25,0,10,31,below_70
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,diy-cat-toys-safe-homemade-options,Cat Toys,67,35,16,11,45,41,25,0,10,31,below_70
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,dog-play-styles-explained,Educational,71,0,16,14,45,49,35,0,10,30,below_70
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,multi-pet-household-tips,Pet Care General,69,0,26,0,45,52,30,0,10,30,below_70
4571,Pet First Aid Basics: What Every Owner Should Know,pet-first-aid-basics,Pet Care General,69,0,16,0,55,52,30,0,10,30,below_70
4563,Dog Grooming Basics: A Complete Guide for Owners,dog-grooming-basics-guide,Dog Care,61,0,24,10,45,53,35,0,10,30,below_70
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,no-pull-dog-harness-guide,Dog Harnesses,58,15,24,5,45,45,35,0,10,30,below_70
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,essential-cat-supplies-for-cat-owners,Cat Supplies,56,0,41,0,55,32,25,3,42,30,below_70
5414,Cat Toy Types Explained: A Complete Glossary,cat-toy-types-glossary,Cat Toys,75,0,16,5,55,39,35,0,0,29,below_70
4791,How to Choose the Right Dog Training Treats,how-to-choose-dog-training-treats,Dog Supplies,58,0,16,5,45,49,50,0,15,29,below_70
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,mental-stimulation-for-dogs,Dog Toys,64,5,16,5,45,52,30,0,15,29,below_70
4573,Seasonal Pet Safety: Protecting Pets Through the Year,seasonal-pet-safety-guide,Pet Care General,63,0,24,5,45,48,20,0,10,28,below_70
4408,How Often Should You Replace Cat Toys? A Practical Guide,how-often-replace-cat-toys,Cat Toys,53,5,24,8,45,41,35,0,10,28,below_70
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,enrichment-by-breed-group,Dog Toys,48,30,16,5,40,21,15,33,10,26,below_70
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,understanding-cat-play-behaviour,Cat Toys,73,35,16,0,45,17,10,0,10,25,below_70
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,how-to-choose-cat-toys-personality,Cat Toys,72,0,16,0,45,17,35,0,0,24,below_70
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,top-dog-toys-every-pet-owner-needs-in-2026,Dog Toys,46,0,16,10,45,35,30,0,0,23,below_70
