post_id,title,cluster,authority,semantic,glossary,trust,comparison,ai_readiness,practical_usefulness,citation,overall_quality,quality_tier
4792,Puppy Socialisation: A Complete Timeline Guide,Educational,32,70,78,49,0,76,19,12,42.0,D
4783,How to Choose the Right Dog Bed Size,Educational,20,64,81,64,5,71,21,10,42.0,D
4563,Dog Grooming Basics: A Complete Guide for Owners,Educational,39,66,75,69,0,71,16,0,42.0,D
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Educational,29,65,78,63,0,76,25,0,42.0,D
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,35,56,73,39,12,73,21,25,41.8,D
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,24,64,81,54,0,71,30,10,41.8,D
4786,Where to Place Your Dog’s Bed: Location and Comfort Tips,Educational,29,61,81,53,10,71,19,10,41.8,D
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Educational,29,70,75,74,0,69,16,0,41.6,D
4089,Best Dog Health and Care UK (2026) – Complete Guide,Educational,29,69,75,63,0,69,27,0,41.5,D
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,20,60,78,69,0,69,25,10,41.4,D
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Educational,24,70,81,63,5,69,19,0,41.4,D
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Educational,24,57,78,63,5,76,28,0,41.4,D
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,29,53,78,69,3,69,19,10,41.2,D
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Educational,24,65,78,63,0,69,31,0,41.2,D
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,24,60,78,63,0,76,28,0,41.1,D
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Pet Care General,35,59,71,39,12,68,14,30,41.0,D
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,20,55,81,69,5,69,19,10,41.0,D
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Educational,25,55,75,69,5,69,19,10,40.9,D
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,29,63,78,63,0,69,25,0,40.9,D
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Educational,39,56,78,64,0,76,13,0,40.8,D
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Educational,25,61,81,61,0,76,22,0,40.8,D
4415,Cat Toy Safety Guide: What Every Owner Should Know,Educational,34,60,75,59,25,54,18,0,40.6,D
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Educational,20,60,75,69,0,69,22,10,40.6,D
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,18,67,78,49,22,61,19,10,40.5,D
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Puppy Care,20,68,75,73,0,69,19,0,40.5,D
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Educational,29,62,75,63,0,76,19,0,40.5,D
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Toys,34,66,81,46,12,71,13,0,40.4,D
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Cat Supplies,25,71,81,49,0,71,16,10,40.4,D
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,20,56,78,69,5,69,16,10,40.4,D
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,23,68,81,34,10,68,38,0,40.2,D
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,27,77,81,31,0,68,38,0,40.2,D
4272,Best Cat ID Tags UK (2026) – Identification Guide,Educational,29,69,75,64,0,69,16,0,40.2,D
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,24,60,75,64,0,76,22,0,40.1,D
4571,Pet First Aid Basics: What Every Owner Should Know,Pet Care General,30,65,75,49,0,71,30,0,40.0,D
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Educational,24,63,78,64,0,69,22,0,40.0,D
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Educational,20,64,75,64,0,69,28,0,40.0,D
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,30,47,74,49,9,68,17,25,39.9,D
4791,How to Choose the Right Dog Training Treats,Educational,20,71,75,53,0,71,19,10,39.9,D
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Educational,25,70,75,64,3,69,13,0,39.9,D
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Educational,20,65,75,64,0,76,19,0,39.9,D
4125,Best Dog Training Treats UK (2026) – Reward Guide,Educational,20,64,78,63,0,69,25,0,39.9,D
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,26,50,78,42,3,70,24,25,39.8,D
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,24,64,81,49,5,71,24,0,39.8,D
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,29,62,81,49,5,71,21,0,39.8,D
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,20,64,78,64,0,69,22,0,39.6,D
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,20,63,78,64,0,69,22,0,39.5,D
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Educational,24,63,78,63,0,69,19,0,39.5,D
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,20,64,78,64,8,69,13,0,39.5,D
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,18,67,82,27,27,66,28,0,39.4,D
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,23,60,91,27,17,71,25,0,39.2,D
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Educational,29,55,75,64,0,69,22,0,39.2,D
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Toys,26,52,78,32,0,75,24,25,39.0,D
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Educational,20,62,75,63,4,69,19,0,39.0,D
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,30,56,75,59,13,54,24,0,38.9,D
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,20,61,75,64,0,69,22,0,38.9,D
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,30,47,68,49,0,73,17,25,38.6,D
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Toys,31,52,78,34,4,70,15,25,38.6,D
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Educational,20,59,75,64,0,69,22,0,38.6,D
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Educational,20,59,78,64,0,69,19,0,38.6,D
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Educational,24,58,75,64,0,69,19,0,38.6,D
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,30,47,65,39,20,68,14,25,38.5,D
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Educational,25,56,78,46,0,78,25,0,38.5,D
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Educational,20,52,75,63,0,76,22,0,38.5,D
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,18,77,78,34,0,75,25,0,38.4,D
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Food,20,63,81,48,5,71,19,0,38.4,D
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Educational,18,68,81,34,0,75,25,5,38.2,D
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Health,24,61,78,44,12,71,16,0,38.2,D
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Dog Toys,18,74,84,39,0,61,19,10,38.1,D
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,18,62,73,39,3,73,25,10,37.9,D
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Food,26,48,75,32,5,70,21,25,37.8,D
4785,How to Wash and Maintain Your Dog’s Bed,Dog Health,20,63,81,48,0,71,19,0,37.8,D
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,25,53,75,69,5,54,21,0,37.8,D
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Pet Care General,30,47,65,39,4,68,23,25,37.6,D
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Cat Supplies,33,65,69,54,0,48,19,13,37.6,D
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Pet Care General,35,49,68,39,5,68,11,25,37.5,D
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Toys,26,48,75,32,3,70,21,25,37.5,D
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,24,61,75,49,5,61,25,0,37.5,D
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,23,68,87,27,0,65,28,0,37.2,D
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,29,54,75,49,17,54,19,0,37.1,D
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care General,20,67,75,48,0,64,22,0,37.0,D
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Educational,18,68,75,34,0,68,28,0,36.4,D
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,18,71,81,34,0,61,22,0,35.9,D
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,18,65,84,34,5,68,10,0,35.5,D
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Dog Toys,26,59,76,32,12,19,27,25,34.5,D
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Pet Care General,14,56,76,34,22,38,34,0,34.2,D
5414,Cat Toy Types Explained: A Complete Glossary,Cat Toys,18,65,73,34,3,61,16,0,33.8,D
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Cat Toys,14,57,72,39,0,37,28,10,32.1,D
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,19,56,75,34,0,58,13,0,31.9,D
