post_id,title,cluster,methodology_visibility,editorial_transparency,disclosure_visibility,ai_transparency,correction_visibility,reference_support,educational_clarity,trust_block_density,overall_trust_intensity
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,15,36,99,20,45,0,24,55,36.8
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,15,36,99,20,45,0,24,55,36.8
4049,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide,Puppy Care,15,36,99,20,45,0,24,55,36.8
4042,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guide,Dog Harnesses,15,36,99,20,45,0,24,55,36.8
4034,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfort Guide,Dog Harnesses,15,36,99,20,45,0,24,55,36.8
3960,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,Puppy Care,15,36,99,20,45,0,24,55,36.8
4272,Best Cat ID Tags UK (2026) – Identification Guide,Educational,15,36,99,20,45,0,16,55,35.8
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Educational,15,36,99,20,45,0,16,55,35.8
4251,Best Cat Shampoo UK (2026) – When &#038; How to Bathe,Educational,15,36,99,20,45,0,16,55,35.8
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Educational,15,36,99,20,45,0,16,55,35.8
4223,Best Cat Window Perches UK (2026) – Sunning &#038; Bird Watching,Cat Supplies,15,36,99,20,45,0,16,55,35.8
4078,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide,Dog Care,15,36,99,20,45,0,16,55,35.8
4071,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,Educational,15,36,99,20,45,0,16,55,35.8
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,15,36,99,20,45,0,16,55,35.8
4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,Puppy Care,15,36,99,20,45,0,16,55,35.8
4568,Dog Dental Health: A Practical Care Guide,Educational,15,36,39,20,45,35,48,30,33.5
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,15,48,39,20,15,35,32,30,29.2
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,15,24,87,20,15,0,16,55,29.0
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Educational,15,36,39,20,45,0,32,30,27.1
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,30,36,39,20,45,0,16,30,27.0
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,45,60,0,20,45,0,32,10,26.5
4414,Harness vs Collar: Which Is Better for Your Dog?,Educational,15,36,39,20,45,0,24,30,26.1
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,15,36,39,20,45,0,24,30,26.1
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Pet Care General,15,24,0,20,15,55,64,10,25.4
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,15,36,39,20,45,0,16,30,25.1
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,15,36,39,20,45,0,16,30,25.1
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Educational,15,36,39,20,45,0,16,30,25.1
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Educational,15,36,39,20,45,0,16,30,25.1
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,15,36,39,20,45,0,16,30,25.1
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Puppy Care,15,48,12,20,45,0,32,10,22.8
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Educational,15,24,0,20,15,55,40,10,22.4
3836,Best Dog Food UK (2026) - Complete Buying Guide,Educational,15,48,0,20,45,0,40,10,22.2
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Educational,15,24,0,20,15,55,32,10,21.4
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Educational,15,24,0,20,15,55,32,10,21.4
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Educational,15,24,0,20,15,55,32,10,21.4
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,15,24,0,20,45,35,16,10,20.6
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Toys,15,24,0,20,15,55,24,10,20.4
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Educational,15,24,0,20,15,55,24,10,20.4
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Pet Care General,15,24,0,20,15,55,24,10,20.4
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,15,48,0,20,45,0,24,10,20.2
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Pet Care General,15,24,0,20,15,55,16,10,19.4
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Educational,15,24,0,20,15,55,16,10,19.4
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Pet Care General,15,24,0,20,15,55,16,10,19.4
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Educational,15,36,0,20,15,35,24,10,19.4
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,15,24,0,20,15,35,32,10,18.9
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Educational,30,24,0,20,15,20,32,10,18.9
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,15,24,0,20,15,35,32,10,18.9
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Educational,15,24,0,20,15,35,32,10,18.9
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,15,24,0,20,15,35,32,10,18.9
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,15,24,0,20,15,35,32,10,18.9
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,15,24,0,20,15,55,8,10,18.4
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,15,24,0,20,15,55,8,10,18.4
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Dog Toys,15,24,0,20,15,55,8,10,18.4
4785,How to Wash and Maintain Your Dog's Bed,Educational,15,24,0,20,45,0,32,10,18.2
4783,How to Choose the Right Dog Bed Size,Educational,15,24,0,20,45,0,32,10,18.2
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Educational,15,24,0,20,15,20,40,10,18.0
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Educational,15,24,0,20,15,20,40,10,18.0
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Educational,15,24,0,20,15,20,40,10,18.0
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,15,24,0,20,15,35,24,10,17.9
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Educational,15,24,0,20,15,35,24,10,17.9
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Toys,15,24,0,20,15,55,0,10,17.4
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Educational,15,24,0,20,15,55,0,10,17.4
4791,How to Choose the Right Dog Training Treats,Educational,15,24,0,20,45,0,24,10,17.2
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,15,24,0,20,45,0,24,10,17.2
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,15,24,0,20,45,0,24,10,17.2
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Food,15,24,0,20,45,0,24,10,17.2
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,15,24,0,20,45,0,24,10,17.2
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,15,24,0,20,45,0,24,10,17.2
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care General,15,24,0,20,45,0,24,10,17.2
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Cat Supplies,15,24,0,20,45,0,24,10,17.2
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Educational,15,24,0,20,45,0,24,10,17.2
4571,Pet First Aid Basics: What Every Owner Should Know,Pet Care General,15,24,0,20,45,0,24,10,17.2
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,15,24,0,20,45,0,24,10,17.2
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Educational,15,24,0,20,15,20,32,10,17.0
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Educational,15,24,0,20,15,20,32,10,17.0
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,15,24,0,20,15,35,16,10,16.9
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,15,24,0,20,15,35,16,10,16.9
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,15,24,0,20,15,35,16,10,16.9
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,15,24,0,20,15,35,16,10,16.9
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Educational,15,24,0,20,15,35,16,10,16.9
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Educational,15,24,0,20,45,0,16,10,16.2
4570,First-Time Dog Owner Essentials: What You Need to Know,Puppy Care,15,24,0,20,45,0,16,10,16.2
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Educational,15,24,0,20,45,0,16,10,16.2
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,15,24,0,20,45,0,16,10,16.2
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Educational,15,24,0,20,15,20,24,10,16.0
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Pet Care General,15,24,0,20,15,35,8,10,15.9
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,15,24,0,20,15,35,8,10,15.9
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,15,24,0,20,15,35,8,10,15.9
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,15,24,0,20,15,0,32,10,14.5
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,15,24,0,20,15,0,32,10,14.5
5414,Cat Toy Types Explained: A Complete Glossary,Cat Toys,15,24,0,20,15,0,32,10,14.5
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Supplies,15,24,0,20,15,0,32,10,14.5
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,15,24,0,20,15,0,24,10,13.5
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Cat Toys,15,24,0,20,15,0,24,10,13.5
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,15,24,0,20,15,0,24,10,13.5
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,15,24,0,20,15,0,24,10,13.5
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,15,24,0,20,15,0,24,10,13.5
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Educational,15,24,0,20,15,0,16,10,12.5
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,15,24,0,20,15,0,16,10,12.5
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,15,24,0,20,15,0,16,10,12.5
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Educational,15,24,0,20,15,0,16,10,12.5
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Toys,15,24,0,20,15,0,16,10,12.5
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,15,24,0,20,15,0,16,10,12.5
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Educational,15,24,0,20,15,0,16,10,12.5
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,15,24,0,20,15,0,16,10,12.5
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,15,24,0,20,15,0,8,10,11.5
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,15,24,0,20,15,0,8,10,11.5
