post_id,title,cluster,faq_score,conv_readiness,ai_readiness,extraction_potential,snippet_ready
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,65,48,MEDIUM,HIGH,YES
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,50,40,MEDIUM,MEDIUM,YES
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,50,40,MEDIUM,MEDIUM,YES
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,50,40,MEDIUM,MEDIUM,YES
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,50,40,MEDIUM,MEDIUM,YES
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,65,48,MEDIUM,HIGH,YES
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,50,40,MEDIUM,MEDIUM,YES
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,50,40,MEDIUM,MEDIUM,YES
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,50,40,MEDIUM,MEDIUM,YES
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,50,40,MEDIUM,MEDIUM,YES
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,65,48,MEDIUM,HIGH,YES
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,50,40,MEDIUM,MEDIUM,YES
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,50,40,MEDIUM,MEDIUM,YES
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Supplies,50,40,MEDIUM,MEDIUM,YES
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Supplies,50,48,MEDIUM,MEDIUM,YES
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Supplies,50,40,MEDIUM,MEDIUM,YES
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,50,48,MEDIUM,MEDIUM,YES
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,65,48,MEDIUM,HIGH,YES
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,95,64,HIGH,HIGH,YES
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,65,48,MEDIUM,HIGH,YES
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,50,40,MEDIUM,MEDIUM,YES
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Supplies,50,40,MEDIUM,MEDIUM,YES
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Supplies,50,40,MEDIUM,MEDIUM,YES
4125,Best Dog Training Treats UK (2026) – Reward Guide,Buying Guides,50,40,MEDIUM,MEDIUM,YES
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Buying Guides,50,40,MEDIUM,MEDIUM,YES
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,65,48,MEDIUM,HIGH,YES
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,50,40,MEDIUM,MEDIUM,YES
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,50,40,MEDIUM,MEDIUM,YES
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,50,40,MEDIUM,MEDIUM,YES
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,50,40,MEDIUM,MEDIUM,YES
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,50,40,MEDIUM,MEDIUM,YES
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,50,40,MEDIUM,MEDIUM,YES
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,65,48,MEDIUM,HIGH,YES
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Supplies,65,48,MEDIUM,HIGH,YES
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Supplies,65,48,MEDIUM,HIGH,YES
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,65,48,MEDIUM,HIGH,YES
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,65,48,MEDIUM,HIGH,YES
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,65,48,MEDIUM,HIGH,YES
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,65,48,MEDIUM,HIGH,YES
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,95,64,HIGH,HIGH,YES
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,65,48,MEDIUM,HIGH,YES
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Supplies,80,56,HIGH,HIGH,YES
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Supplies,80,56,HIGH,HIGH,YES
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Supplies,80,56,HIGH,HIGH,YES
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Supplies,95,72,HIGH,HIGH,YES
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,100,100,HIGH,HIGH,YES
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,100,56,HIGH,HIGH,YES
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,100,100,HIGH,HIGH,YES
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,35,100,MEDIUM,MEDIUM,NO
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Buying Guides,50,16,MEDIUM,MEDIUM,YES
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,50,40,MEDIUM,MEDIUM,YES
