post_id,title,cluster,answer_density_score,extraction_quality,conversational_readiness,overall_answer_quality,improvement_priority
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,75,89,60,HIGH,LOW
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,75,71,68,HIGH,LOW
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,75,83,60,HIGH,LOW
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,75,76,60,HIGH,LOW
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,75,75,60,HIGH,LOW
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,75,81,60,HIGH,LOW
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,75,82,68,HIGH,LOW
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,75,82,60,HIGH,LOW
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,75,82,60,HIGH,LOW
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Supplies,75,82,60,HIGH,LOW
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Supplies,75,77,68,HIGH,LOW
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Supplies,75,78,60,HIGH,LOW
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,75,76,68,HIGH,LOW
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,75,78,68,HIGH,LOW
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,75,80,84,HIGH,LOW
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,75,79,68,HIGH,LOW
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,75,77,60,HIGH,LOW
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,75,78,60,HIGH,LOW
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,75,80,60,HIGH,LOW
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,75,76,60,HIGH,LOW
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,75,77,60,HIGH,LOW
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,75,72,68,HIGH,LOW
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Supplies,75,79,68,HIGH,LOW
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Supplies,75,74,68,HIGH,LOW
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,75,81,68,HIGH,LOW
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,75,78,68,HIGH,LOW
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,75,81,68,HIGH,LOW
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,75,84,68,HIGH,LOW
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,75,78,84,HIGH,LOW
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,75,72,68,HIGH,LOW
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Supplies,75,72,76,HIGH,LOW
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Supplies,75,76,92,HIGH,LOW
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,75,70,100,HIGH,LOW
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,95,82,44,HIGH,LOW
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Supplies,95,82,76,HIGH,LOW
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Supplies,95,81,76,HIGH,LOW
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,95,64,100,HIGH,LOW
