post_id,title,cluster,total_entity_mentions,is_glossary_page,entity_density,ai_entity_readiness
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Supplies,5,NO,MEDIUM,MEDIUM
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Supplies,5,NO,MEDIUM,MEDIUM
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Supplies,10,NO,HIGH,MEDIUM
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,1,NO,LOW,LOW
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,1,NO,LOW,LOW
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,2,YES,LOW,LOW
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,2,NO,LOW,LOW
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,4,NO,LOW,LOW
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,5,NO,MEDIUM,MEDIUM
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,4,NO,LOW,LOW
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,5,NO,MEDIUM,MEDIUM
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,6,NO,MEDIUM,MEDIUM
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,4,NO,LOW,LOW
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,3,NO,LOW,LOW
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,4,NO,LOW,LOW
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,4,NO,LOW,LOW
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,3,NO,LOW,LOW
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,4,NO,LOW,LOW
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,2,NO,LOW,LOW
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,6,NO,MEDIUM,MEDIUM
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,4,NO,LOW,LOW
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,4,NO,LOW,LOW
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,6,NO,MEDIUM,MEDIUM
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Supplies,7,NO,MEDIUM,MEDIUM
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Supplies,3,NO,LOW,LOW
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Supplies,4,NO,LOW,LOW
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,6,NO,MEDIUM,MEDIUM
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,5,NO,MEDIUM,MEDIUM
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,4,NO,LOW,LOW
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,6,NO,MEDIUM,MEDIUM
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,6,NO,MEDIUM,MEDIUM
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Supplies,9,NO,MEDIUM,HIGH
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Supplies,9,YES,MEDIUM,HIGH
4125,Best Dog Training Treats UK (2026) – Reward Guide,Buying Guides,7,NO,MEDIUM,MEDIUM
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Buying Guides,13,NO,HIGH,HIGH
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,3,NO,LOW,LOW
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,5,NO,MEDIUM,MEDIUM
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,5,NO,MEDIUM,MEDIUM
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,6,NO,MEDIUM,MEDIUM
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,3,NO,LOW,LOW
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,5,NO,MEDIUM,MEDIUM
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,5,NO,MEDIUM,MEDIUM
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,5,NO,MEDIUM,MEDIUM
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Supplies,7,NO,MEDIUM,MEDIUM
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Supplies,8,NO,MEDIUM,HIGH
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,5,NO,MEDIUM,MEDIUM
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,7,NO,MEDIUM,MEDIUM
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,8,NO,MEDIUM,HIGH
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,8,NO,MEDIUM,HIGH
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,9,NO,MEDIUM,HIGH
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,9,NO,MEDIUM,HIGH
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Supplies,18,NO,HIGH,HIGH
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Supplies,12,NO,HIGH,HIGH
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Supplies,11,NO,HIGH,HIGH
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Supplies,16,NO,HIGH,HIGH
3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,Dog Food,8,NO,MEDIUM,HIGH
3838,Dry vs Wet Dog Food UK &#8211; An Honest Comparison Guide,Dog Food,6,NO,MEDIUM,MEDIUM
3837,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,Dog Food,5,NO,MEDIUM,MEDIUM
3836,Best Dog Food UK (2026) &#8211; Complete Buying Guide,Dog Food,11,NO,HIGH,HIGH
696,Essential Cat Supplies for Cat Owners &#8211; Number 1 Must-Haves,Buying Guides,10,NO,HIGH,HIGH
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,4,NO,LOW,LOW
