post_id,title,status,cluster,word_count,trust_lint,structure,metadata,ai_readiness,crawl_readiness,internal_links,red_gated,publication_confidence,confidence_reason
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,publish,Dog Supplies,774,PASS,PASS,PASS,PASS,PASS,3,NO,PUBLISHED,Live
4125,Best Dog Training Treats UK (2026) – Reward Guide,publish,Buying Guides,762,PASS,PASS,PASS,PASS,PASS,3,NO,PUBLISHED,Live
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,publish,Buying Guides,874,PASS,PASS,PASS,PASS,PASS,3,NO,PUBLISHED,Live
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,publish,Dog Health,853,PASS,PASS,PASS,PASS,PASS,3,NO,PUBLISHED,Live (evidence-sensitive - monitor)
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,publish,Dog Health,788,PASS,PASS,PASS,PASS,PASS,3,NO,PUBLISHED,Live (evidence-sensitive - monitor)
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,publish,Dog Health,810,PASS,PASS,PASS,PASS,PASS,3,NO,PUBLISHED,Live (evidence-sensitive - monitor)
4089,Best Dog Health and Care UK (2026) – Complete Guide,publish,Dog Health,908,PASS,PASS,PASS,PASS,PASS,3,NO,PUBLISHED,Live (evidence-sensitive - monitor)
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,publish,Dog Care,733,PASS,PASS,PASS,PASS,PASS,6,NO,PUBLISHED,Live
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,publish,Dog Care,705,PASS,PASS,PASS,PASS,PASS,6,NO,PUBLISHED,Live
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,publish,Dog Care,764,PASS,PASS,PASS,PASS,PASS,6,NO,PUBLISHED,Live
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,publish,Dog Care,999,PASS,PASS,PASS,PASS,PASS,6,NO,PUBLISHED,Live
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,publish,Dog Supplies,735,PASS,PASS,PASS,PASS,PASS,2,NO,PUBLISHED,Live
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,publish,Dog Supplies,878,PASS,PASS,PASS,PASS,PASS,3,NO,PUBLISHED,Live
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,publish,Dog Harnesses,879,PASS,PASS,PASS,PASS,PASS,3,NO,PUBLISHED,Live
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,publish,Dog Harnesses,1208,PASS,PASS,PASS,PASS,PASS,3,NO,PUBLISHED,Live
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,publish,Dog Beds,945,PASS,PASS,PASS,PASS,PASS,3,NO,PUBLISHED,Live
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,publish,Dog Beds,895,PASS,PASS,PASS,PASS,PASS,3,NO,PUBLISHED,Live
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,publish,Dog Beds,958,PASS,PASS,PASS,PASS,PASS,3,NO,PUBLISHED,Live
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,publish,Dog Beds,1214,PASS,PASS,PASS,PASS,PASS,3,NO,PUBLISHED,Live
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,publish,Dog Supplies,1443,PASS,PASS,PASS,PASS,PASS,3,NO,PUBLISHED,Live
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,publish,Dog Supplies,1371,PASS,PASS,PASS,PASS,PASS,3,NO,PUBLISHED,Live
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,publish,Dog Supplies,1291,PASS,PASS,PASS,PASS,PASS,3,NO,PUBLISHED,Live
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,publish,Dog Supplies,1491,PASS,PASS,PASS,PASS,PASS,3,NO,PUBLISHED,Live
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,publish,Dog Food,1919,FAIL,PASS,PASS,PASS,PASS,4,NO,PUBLISHED,Live (evidence-sensitive - monitor)
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,publish,Dog Food,1610,FAIL,PASS,PASS,PASS,PASS,4,NO,PUBLISHED,Live (evidence-sensitive - monitor)
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,publish,Dog Food,2717,FAIL,PASS,PASS,PASS,PASS,4,NO,PUBLISHED,Live (evidence-sensitive - monitor)
3836,Best Dog Food UK (2026) - Complete Buying Guide,publish,Dog Food,4038,FAIL,PASS,PASS,PASS,PASS,1,NO,PUBLISHED,Live (evidence-sensitive - monitor)
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,publish,Buying Guides,594,PASS,PASS,PASS,PASS,PASS,9,NO,PUBLISHED,Live
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,publish,Dog Supplies,326,PASS,PASS,PASS,PASS,FAIL,5,NO,PUBLISHED,Live
