post_id,title,status,cluster,is_glossary_page,has_definitions,product_type_entities,care_concept_entities,safety_entities,behavioral_entities,material_entities,total_entity_mentions,entity_density
4783,How to Choose the Right Dog Bed Size,publish,Dog Beds,NO,YES,1,0,0,0,1,2,LOW
4573,Seasonal Pet Safety: Protecting Pets Through the Year,publish,Pet Care,NO,NO,2,1,5,0,0,8,MEDIUM
4570,First-Time Dog Owner Essentials: What You Need to Know,publish,Dog Care,YES,YES,8,5,2,3,0,18,HIGH
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,publish,Pet Care,NO,YES,4,0,0,1,0,5,MEDIUM
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,publish,Dog Supplies,NO,NO,1,1,0,1,0,3,LOW
4571,Pet First Aid Basics: What Every Owner Should Know,publish,Dog Supplies,YES,NO,0,1,2,0,0,3,LOW
4568,Dog Dental Health: A Practical Care Guide,publish,Dog Care,NO,NO,2,1,2,1,1,7,MEDIUM
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,publish,Dog Care,NO,YES,1,0,4,2,0,7,MEDIUM
4563,Dog Grooming Basics: A Complete Guide for Owners,publish,Dog Care,YES,YES,2,2,0,0,2,6,MEDIUM
4415,Cat Toy Safety Guide: What Every Owner Should Know,publish,Cat Supplies,NO,YES,2,0,4,1,4,11,HIGH
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,publish,Cat Supplies,NO,YES,2,3,1,2,0,8,MEDIUM
4414,Harness vs Collar: Which Is Better for Your Dog?,publish,Dog Care,NO,NO,3,2,1,0,0,6,MEDIUM
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,publish,Dog Care,NO,NO,2,2,0,0,0,4,LOW
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,publish,Dog Harnesses,NO,YES,3,1,0,0,0,4,LOW
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",publish,Dog Care,YES,YES,3,3,1,0,0,7,MEDIUM
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,publish,Cat Supplies,NO,YES,4,3,1,3,2,13,HIGH
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,publish,Cat Supplies,NO,YES,2,2,1,0,0,5,MEDIUM
4408,How Often Should You Replace Cat Toys? A Practical Guide,publish,Cat Supplies,NO,NO,2,0,2,0,1,5,MEDIUM
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,publish,Cat Supplies,NO,NO,2,1,4,1,2,10,HIGH
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,publish,Cat Supplies,NO,YES,0,0,1,0,0,1,LOW
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,publish,Cat Supplies,NO,YES,0,0,1,0,0,1,LOW
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,publish,Cat Supplies,YES,YES,1,0,1,0,0,2,LOW
4314,Best Cat Litter Trays UK (2026) – Complete Guide,publish,Cat Supplies,NO,YES,1,0,1,0,0,2,LOW
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,publish,Cat Supplies,NO,YES,0,1,1,1,1,4,LOW
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,publish,Cat Supplies,NO,YES,1,1,1,1,1,5,MEDIUM
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,publish,Cat Supplies,NO,YES,1,0,1,1,1,4,LOW
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,publish,Cat Supplies,NO,YES,1,1,1,1,1,5,MEDIUM
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,publish,Cat Supplies,NO,YES,4,1,1,0,0,6,MEDIUM
4272,Best Cat ID Tags UK (2026) – Identification Guide,publish,Cat Supplies,NO,YES,3,0,1,0,0,4,LOW
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,publish,Cat Supplies,NO,YES,2,0,1,0,0,3,LOW
4258,Best Cat Collars UK (2026) – Complete Safety Guide,publish,Cat Supplies,NO,YES,3,0,1,0,0,4,LOW
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,publish,Cat Supplies,NO,YES,1,1,2,0,0,4,LOW
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,publish,Cat Supplies,NO,YES,0,2,1,0,0,3,LOW
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,publish,Cat Supplies,NO,YES,0,1,1,0,2,4,LOW
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,publish,Cat Supplies,NO,YES,0,1,1,0,0,2,LOW
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,publish,Cat Supplies,NO,YES,2,1,2,1,0,6,MEDIUM
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,publish,Cat Supplies,NO,YES,1,0,2,1,0,4,LOW
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,publish,Cat Supplies,NO,YES,1,0,2,1,0,4,LOW
4202,Best Cat Beds UK (2026) – Complete Guide,publish,Cat Supplies,NO,YES,2,1,2,0,1,6,MEDIUM
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,publish,Cat Supplies,NO,YES,3,2,1,1,0,7,MEDIUM
4188,Best Catnip Toys UK (2026) – What Works and Why,publish,Cat Supplies,NO,YES,1,1,1,0,0,3,LOW
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,publish,Cat Supplies,NO,YES,3,0,1,0,0,4,LOW
4174,Best Cat Toys UK (2026) – Complete Guide,publish,Cat Supplies,NO,YES,2,2,1,1,0,6,MEDIUM
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,publish,Dog Supplies,NO,YES,2,1,2,0,0,5,MEDIUM
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,publish,Dog Supplies,NO,YES,2,1,1,0,0,4,LOW
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,publish,Dog Supplies,NO,YES,3,1,2,0,0,6,MEDIUM
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,publish,Dog Supplies,NO,YES,4,0,1,0,1,6,MEDIUM
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,publish,Dog Supplies,NO,YES,3,1,2,2,1,9,MEDIUM
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,publish,Dog Supplies,YES,YES,2,4,1,2,0,9,MEDIUM
4125,Best Dog Training Treats UK (2026) – Reward Guide,publish,Buying Guides,NO,YES,2,2,0,3,0,7,MEDIUM
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,publish,Buying Guides,NO,YES,3,4,2,4,0,13,HIGH
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,publish,Dog Health,NO,YES,0,2,0,1,0,3,LOW
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,publish,Dog Health,NO,YES,2,1,1,1,0,5,MEDIUM
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,publish,Dog Health,NO,YES,0,1,3,1,0,5,MEDIUM
4089,Best Dog Health and Care UK (2026) – Complete Guide,publish,Dog Health,NO,YES,1,4,0,1,0,6,MEDIUM
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,publish,Dog Care,NO,YES,0,2,1,0,0,3,LOW
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,publish,Dog Care,NO,YES,1,2,2,0,0,5,MEDIUM
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,publish,Dog Care,NO,YES,0,2,1,1,1,5,MEDIUM
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,publish,Dog Care,NO,YES,0,2,1,0,2,5,MEDIUM
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,publish,Dog Supplies,NO,YES,3,1,2,0,1,7,MEDIUM
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,publish,Dog Supplies,NO,YES,4,1,2,0,1,8,MEDIUM
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,publish,Dog Harnesses,NO,YES,3,1,1,0,0,5,MEDIUM
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,publish,Dog Harnesses,NO,YES,3,1,2,0,1,7,MEDIUM
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,publish,Dog Beds,NO,YES,2,1,1,3,1,8,MEDIUM
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,publish,Dog Beds,NO,YES,2,2,2,0,2,8,MEDIUM
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,publish,Dog Beds,NO,YES,2,2,2,1,2,9,MEDIUM
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,publish,Dog Beds,NO,YES,2,1,1,3,2,9,MEDIUM
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,publish,Dog Supplies,NO,YES,4,3,5,3,3,18,HIGH
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,publish,Dog Supplies,NO,YES,4,2,2,4,0,12,HIGH
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,publish,Dog Supplies,NO,YES,1,2,4,1,3,11,HIGH
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,publish,Dog Supplies,NO,YES,4,3,4,3,2,16,HIGH
3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,publish,Dog Food,NO,YES,2,3,1,0,2,8,MEDIUM
3838,Dry vs Wet Dog Food UK &#8211; An Honest Comparison Guide,publish,Dog Food,NO,YES,1,3,1,1,0,6,MEDIUM
3837,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,publish,Dog Food,NO,YES,0,2,2,1,0,5,MEDIUM
3836,Best Dog Food UK (2026) &#8211; Complete Buying Guide,publish,Dog Food,NO,YES,4,2,4,1,0,11,HIGH
696,Essential Cat Supplies for Cat Owners &#8211; Number 1 Must-Haves,publish,Buying Guides,NO,YES,4,4,1,1,0,10,HIGH
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,publish,Dog Supplies,NO,NO,2,0,1,0,1,4,LOW
