post_id,title,status,cluster,word_count,has_quick_answer,answer_block_count,answer_density_score,structure_score,extraction_quality,conversational_readiness,h2_count,h3_count,list_count,table_count,overall_answer_quality
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,publish,Cat Supplies,726,YES,3,75,100,78,60,8,6,3,0,HIGH
4174,Best Cat Toys UK (2026) – Complete Guide,publish,Cat Supplies,921,YES,3,75,100,76,68,9,7,3,0,HIGH
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,publish,Dog Supplies,791,YES,3,75,100,78,68,11,6,5,0,HIGH
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,publish,Dog Supplies,831,YES,3,75,100,80,84,11,6,4,0,HIGH
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,publish,Dog Supplies,769,YES,3,75,100,79,68,10,6,4,0,HIGH
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,publish,Dog Supplies,933,YES,3,75,100,77,60,11,7,5,0,HIGH
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,publish,Dog Health,810,YES,3,75,100,78,60,10,6,5,0,HIGH
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,publish,Dog Care,733,YES,3,75,100,80,60,10,5,4,0,HIGH
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,publish,Dog Care,705,YES,3,75,100,76,60,11,7,5,0,HIGH
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,publish,Dog Care,764,YES,3,75,100,77,60,9,7,3,0,HIGH
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,publish,Dog Care,999,YES,3,75,100,72,68,11,7,8,0,HIGH
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,publish,Dog Supplies,735,YES,3,75,100,79,68,9,6,4,0,HIGH
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,publish,Dog Supplies,878,YES,3,75,100,74,68,9,8,3,0,HIGH
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,publish,Dog Harnesses,879,YES,3,75,100,81,68,10,6,4,0,HIGH
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,publish,Dog Harnesses,1208,YES,3,75,100,78,68,12,12,5,0,HIGH
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,publish,Dog Beds,945,YES,3,75,100,81,68,12,7,6,0,HIGH
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,publish,Dog Beds,895,YES,3,75,100,84,68,11,7,5,0,HIGH
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,publish,Dog Beds,958,YES,3,75,100,78,84,11,9,6,0,HIGH
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,publish,Dog Beds,1214,YES,3,75,100,72,68,12,13,6,0,HIGH
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,publish,Dog Supplies,1443,YES,3,75,100,72,76,13,17,11,0,HIGH
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,publish,Dog Supplies,1491,YES,3,75,100,76,92,12,14,6,0,HIGH
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,publish,Dog Food,2717,YES,3,75,100,70,100,14,16,7,3,HIGH
4570,First-Time Dog Owner Essentials: What You Need to Know,publish,Dog Care,769,YES,4,95,100,82,44,7,3,4,0,HIGH
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,publish,Dog Supplies,1371,YES,4,95,100,82,76,11,18,5,0,HIGH
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,publish,Dog Supplies,1291,YES,4,95,100,81,76,13,13,9,0,HIGH
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,publish,Dog Food,1919,YES,4,95,100,64,100,11,18,8,4,HIGH
