post_id,title,status,cluster,trust_links_count,trust_pages_referenced,implicit_trust_signals,trust_reinforcement
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4188,Best Catnip Toys UK (2026) – What Works and Why,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4174,Best Cat Toys UK (2026) – Complete Guide,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,publish,Dog Supplies,1,Affiliate Disclosure,2,PRESENT
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,publish,Dog Supplies,1,Affiliate Disclosure,2,PRESENT
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,publish,Dog Supplies,1,Affiliate Disclosure,2,PRESENT
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,publish,Dog Supplies,1,Affiliate Disclosure,2,PRESENT
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,publish,Dog Supplies,1,Affiliate Disclosure,2,PRESENT
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,publish,Dog Supplies,1,Affiliate Disclosure,2,PRESENT
4125,Best Dog Training Treats UK (2026) – Reward Guide,publish,Buying Guides,1,Affiliate Disclosure,2,PRESENT
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,publish,Buying Guides,1,Affiliate Disclosure,2,PRESENT
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,publish,Dog Health,1,Affiliate Disclosure,2,PRESENT
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,publish,Dog Health,1,Affiliate Disclosure,2,PRESENT
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,publish,Dog Health,1,Affiliate Disclosure,2,PRESENT
4089,Best Dog Health and Care UK (2026) – Complete Guide,publish,Dog Health,1,Affiliate Disclosure,2,PRESENT
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,publish,Dog Care,1,Affiliate Disclosure,2,PRESENT
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,publish,Dog Care,1,Affiliate Disclosure,2,PRESENT
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,publish,Dog Care,1,Affiliate Disclosure,2,PRESENT
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,publish,Dog Care,1,Affiliate Disclosure,2,PRESENT
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,publish,Dog Supplies,1,Affiliate Disclosure,2,PRESENT
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,publish,Dog Supplies,1,Affiliate Disclosure,2,PRESENT
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,publish,Dog Harnesses,1,Affiliate Disclosure,2,PRESENT
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,publish,Dog Harnesses,1,Affiliate Disclosure,2,PRESENT
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,publish,Dog Beds,1,Affiliate Disclosure,2,PRESENT
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,publish,Dog Beds,1,Affiliate Disclosure,2,PRESENT
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,publish,Dog Beds,1,Affiliate Disclosure,2,PRESENT
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,publish,Dog Beds,1,Affiliate Disclosure,2,PRESENT
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,publish,Dog Supplies,1,Affiliate Disclosure,2,PRESENT
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,publish,Dog Supplies,1,Affiliate Disclosure,2,PRESENT
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,publish,Dog Supplies,1,Affiliate Disclosure,2,PRESENT
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,publish,Dog Supplies,1,Affiliate Disclosure,2,PRESENT
3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,publish,Dog Food,0,NONE,1,WEAK
3838,Dry vs Wet Dog Food UK &#8211; An Honest Comparison Guide,publish,Dog Food,0,NONE,1,WEAK
3837,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,publish,Dog Food,0,NONE,2,PRESENT
3836,Best Dog Food UK (2026) &#8211; Complete Buying Guide,publish,Dog Food,0,NONE,2,PRESENT
696,Essential Cat Supplies for Cat Owners &#8211; Number 1 Must-Haves,publish,Buying Guides,1,Affiliate Disclosure,2,PRESENT
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,publish,Dog Supplies,0,NONE,0,NONE
