id,type,title,status,migration_result,issues,block_count
4167,posts,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,publish,migrated_clean,none,42
4160,posts,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,publish,migrated_clean,none,44
4153,posts,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,publish,migrated_clean,none,40
4146,posts,Best Dog Bowls and Feeding UK (2026) – Complete Guide,publish,migrated_clean,none,49
4139,posts,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,publish,migrated_clean,none,40
4132,posts,Best Puppy Training Guide UK (2026) – First Year Essentials,publish,migrated_clean,none,40
4125,posts,Best Dog Training Treats UK (2026) – Reward Guide,publish,migrated_clean,none,38
4118,posts,Best Dog Training and Behaviour UK (2026) – Complete Guide,publish,migrated_clean,none,42
4110,posts,Best Dog Joint Supplements UK (2026) – Mobility Support Guid,publish,migrated_clean,none,44
4103,posts,Best Dog Flea Treatment UK (2026) – Prevention Guide,publish,migrated_clean,none,40
4096,posts,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,publish,migrated_clean,none,41
4089,posts,Best Dog Health and Care UK (2026) – Complete Guide,publish,migrated_clean,none,42
4078,posts,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,publish,migrated_clean,none,39
4071,posts,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,publish,migrated_clean,none,44
4064,posts,Best Dog Brushes UK (2026) – Guide by Coat Type,publish,migrated_clean,none,50
4057,posts,Best Dog Grooming Supplies UK (2026) – Complete Guide,publish,migrated_clean,none,47
4049,posts,Best Puppy Collars UK (2026) – First Collar & Harness Guide,publish,migrated_clean,none,40
4042,posts,Best Dog Leads UK (2026) – Walking & Training Lead Guide,publish,migrated_clean,none,48
4034,posts,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Gu,publish,migrated_clean,none,44
4027,posts,Best Dog Collars and Harnesses UK (2026) – Complete Guide,publish,migrated_clean,none,64
4018,posts,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,publish,migrated_clean,none,52
4011,posts,Best Cooling Dog Beds UK (2026) – Temperature Regulation Gui,publish,migrated_clean,none,50
4004,posts,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,publish,migrated_clean,none,51
3996,posts,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,publish,migrated_clean,none,65
3960,posts,Best Puppy Toys UK (2026) – Teething & First Toys Guide,publish,migrated_clean,none,77
3959,posts,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Gu,publish,migrated_clean,none,76
3957,posts,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heav,publish,migrated_clean,none,64
3956,posts,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,publish,migrated_clean,none,77
3839,posts,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,publish,migrated_clean,none,68
3838,posts,Dry vs Wet Dog Food UK - An Honest Comparison Guide,publish,migrated_clean,none,57
3837,posts,Best Dry Dog Food UK (2026) - Evidence-Based Guide,publish,migrated_clean,none,71
3836,posts,Best Dog Food UK (2026) - Complete Buying Guide,publish,migrated_clean,none,150
696,posts,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,publish,migrated_clean,none,18
3115,pages,Cat Litter Trays,publish,migrated_clean,none,21
3113,pages,Cat Scratching Posts,publish,migrated_clean,none,20
3111,pages,Cat Collars,publish,migrated_clean,none,20
3109,pages,Cat Grooming,publish,migrated_clean,none,21
3107,pages,Cat Beds,publish,migrated_clean,none,20
1960,pages,Dog Health & Care,publish,migrated_clean,none,34
1956,pages,Dog Training & Behaviour,publish,migrated_clean,none,34
1951,pages,Dog Bowls & Feeding,publish,migrated_clean,none,11
1176,pages,Cat Supplies,publish,migrated_clean,none,72
1149,pages,Cat Toys,publish,migrated_clean,none,32
1146,pages,Dog Collars & Leashes,publish,migrated_clean,none,32
1144,pages,Dog Grooming,publish,migrated_clean,none,21
1141,pages,Dog Beds,publish,migrated_clean,none,15
1041,pages,Dog Toys,publish,migrated_clean,none,34
63,pages,Dog Supplies,publish,migrated_clean,none,23
39,pages,About Us,publish,migrated_clean,none,20
38,pages,Blog,publish,migrated_clean,none,12
37,pages,Contact Pet Hub Online,publish,migrated_clean,none,7
4,pages,Pet Hub Online – Pet Supplies Online,publish,migrated_clean,none,14
4402,pages,How We Research Pet Products,draft,migrated_clean,none,20
4403,pages,Our Editorial Process,draft,migrated_clean,none,20
4405,pages,Corrections and Updates Policy,draft,migrated_clean,none,18
3722,pages,Pet Insurance UK - Methodology & Trust Framework [RED APPROV,draft,migrated_clean,none,21
