id,type,title,cluster,status,date_published,block_count,gates_passed,phase
4181,posts,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,publish,2026-05-27,37,12/12 (migration),10D
4174,posts,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,publish,2026-05-27,45,12/12 (migration),10D
4167,posts,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Feeding,publish,2026-05-27,42,12/12 (migration),10D
4160,posts,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Feeding,publish,2026-05-27,44,12/12 (migration),10D
4153,posts,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Feeding,publish,2026-05-27,40,12/12 (migration),10D
4146,posts,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Feeding,publish,2026-05-27,49,12/12 (migration),10D
4139,posts,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Training,publish,2026-05-27,40,12/12 (migration),10D
4132,posts,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Training,publish,2026-05-27,40,12/12 (migration),10D
4125,posts,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,publish,2026-05-27,38,12/12 (migration),10D
4118,posts,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,publish,2026-05-27,42,12/12 (migration),10D
4110,posts,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,publish,2026-05-27,44,12/12 (migration),10D
4103,posts,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,publish,2026-05-27,40,12/12 (migration),10D
4096,posts,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,publish,2026-05-27,41,12/12 (migration),10D
4089,posts,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,publish,2026-05-27,42,12/12 (migration),10D
4078,posts,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Grooming,publish,2026-05-27,39,12/12 (migration),10D
4071,posts,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Grooming,publish,2026-05-27,44,12/12 (migration),10D
4064,posts,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Grooming,publish,2026-05-27,50,12/12 (migration),10D
4057,posts,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,publish,2026-05-27,47,12/12 (migration),10D
4049,posts,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Collars & Leads,publish,2026-05-27,40,12/12 (migration),10D
4042,posts,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Training,publish,2026-05-27,48,12/12 (migration),10D
4034,posts,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Training,publish,2026-05-27,44,12/12 (migration),10D
4027,posts,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Collars & Leads,publish,2026-05-27,64,12/12 (migration),10D
4018,posts,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,publish,2026-05-27,52,12/12 (migration),10D
4011,posts,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,publish,2026-05-27,50,12/12 (migration),10D
4004,posts,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,publish,2026-05-27,51,12/12 (migration),10D
3996,posts,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,publish,2026-05-27,65,12/12 (migration),10D
3960,posts,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Toys,publish,2026-05-27,77,12/12 (migration),10D
3959,posts,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,publish,2026-05-27,76,12/12 (migration),10D
3957,posts,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,publish,2026-05-27,64,12/12 (migration),10D
3956,posts,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,publish,2026-05-27,77,12/12 (migration),10D
3839,posts,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food,publish,2026-05-26,68,12/12 (migration),10D
3838,posts,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food,publish,2026-05-26,57,12/12 (migration),10D
3837,posts,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food,publish,2026-05-26,71,12/12 (migration),10D
3836,posts,Best Dog Food UK (2026) – Complete Buying Guide,Dog Food,publish,2026-05-26,150,12/12 (migration),10D
696,posts,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Cat Supplies,publish,2026-04-27,18,12/12 (migration),10D
3115,pages,Cat Litter Trays,Cat Litter,publish,2026-05-21,21,12/12 (migration),10D
3113,pages,Cat Scratching Posts,Cat Scratching,publish,2026-05-21,20,12/12 (migration),10D
3111,pages,Cat Collars,Cat Collars,publish,2026-05-21,20,12/12 (migration),10D
3109,pages,Cat Grooming,Cat Grooming,publish,2026-05-21,21,12/12 (migration),10D
3107,pages,Cat Beds,Cat Beds,publish,2026-05-21,20,12/12 (migration),10D
1960,pages,Dog Health & Care,Dog Health,publish,2026-05-03,34,12/12 (migration),10D
1956,pages,Dog Training & Behaviour,Dog Training,publish,2026-05-03,34,12/12 (migration),10D
1951,pages,Dog Bowls & Feeding,Dog Feeding,publish,2026-05-03,11,12/12 (migration),10D
1176,pages,Cat Supplies,Cat Supplies,publish,2026-04-30,72,12/12 (migration),10D
1149,pages,Cat Toys,Cat Toys,publish,2026-04-30,32,12/12 (migration),10D
1146,pages,Dog Collars & Leashes,Dog Collars & Leads,publish,2026-04-30,32,12/12 (migration),10D
1144,pages,Dog Grooming,Dog Grooming,publish,2026-04-30,21,12/12 (migration),10D
1141,pages,Dog Beds,Dog Beds,publish,2026-04-30,15,12/12 (migration),10D
1041,pages,Dog Toys,Dog Toys,publish,2026-04-29,34,12/12 (migration),10D
63,pages,Dog Supplies,Dog Supplies,publish,2026-04-23,23,12/12 (migration),10D
39,pages,About Us,General,publish,2026-04-23,20,12/12 (migration),10D
38,pages,Blog,General,publish,2026-04-23,12,12/12 (migration),10D
37,pages,Contact Pet Hub Online,General,publish,2026-04-23,7,12/12 (migration),10D
4,pages,Pet Hub Online – Pet Supplies Online,General,publish,2026-04-23,14,12/12 (migration),10D
4402,pages,How We Research Pet Products,Trust & Editorial,draft,2026-05-27,20,12/12 (migration),10D
4403,pages,Our Editorial Process,Trust & Editorial,draft,2026-05-27,20,12/12 (migration),10D
4405,pages,Corrections and Updates Policy,Trust & Editorial,draft,2026-05-27,18,12/12 (migration),10D
3722,pages,Pet Insurance UK – Methodology & Trust Framework,Trust & Editorial,draft,2026-05-27,21,12/12 (migration),10D
4783,posts,How to Choose the Right Dog Bed Size,Dog Beds,published,2026-05-27,29,12/12,10D
4784,posts,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,published,2026-05-27,33,12/12,10D
4785,posts,How to Wash and Maintain Your Dog's Bed,Dog Beds,published,2026-05-27,33,12/12,10D
4786,posts,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,published,2026-05-27,34,12/12,10D
4787,posts,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,published,2026-05-27,32,12/12,10D
4788,posts,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,published,2026-05-27,35,12/12,10D
4789,posts,Best Types of Dog Toys for Different Play Styles,Dog Toys,published,2026-05-27,33,12/12,10D
4790,posts,DIY Dog Toys: Safe Homemade Options,Dog Toys,published,2026-05-27,33,12/12,10D
4791,posts,How to Choose the Right Dog Training Treats,Training Supplies,published,2026-05-27,32,12/12,10D
4792,posts,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,published,2026-05-27,34,12/12,10D
