id,title,cluster,answer_superiority,extraction_superiority,comparison_superiority,trust_superiority,usefulness_superiority,ai_preference_score
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,100,82.0,67,83,91,84.6
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,100,100,51,78,93,84.4
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,100,100,54,70,97,84.2
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,100,78.0,75,81,87,84.2
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,100,100,50,75,95,84.0
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,100,100,61,74,85,84.0
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,100,89.0,51,83,97,84.0
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,100,81.0,66,83,89,83.8
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,100,100,53,68,97,83.6
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,100,83.0,58,83,94,83.6
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Training Supplies,100,83.0,57,83,95,83.6
4783,How to Choose the Right Dog Bed Size,Dog Beds,100,82.0,67,75,93,83.4
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,100,85.0,78,83,71,83.4
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,100,78.0,65,83,91,83.4
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,100,87.0,67,83,79,83.2
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,100,78.0,79,83,76,83.2
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Uncategorized,100,83.0,70,83,79,83.0
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Cat Supplies,100,76.0,74,83,82,83.0
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,100,100,53,74,87,82.8
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,100,86.0,63,79,86,82.8
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,100,79.0,54,83,98,82.8
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,100,78.0,58,83,95,82.8
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,100,79.0,69,83,82,82.6
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,100,76.0,56,83,98,82.6
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,100,85.0,70,83,75,82.6
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,100,79.0,56,83,95,82.6
4125,Best Dog Training Treats UK (2026) – Reward Guide,Training Supplies,100,82.0,57,83,91,82.6
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,100,82.0,57,83,91,82.6
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,100,88.0,66,81,77,82.4
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,100,82.0,58,83,89,82.4
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,100,78.0,55,83,95,82.2
4791,How to Choose the Right Dog Training Treats,Training Supplies,100,82.0,54,83,90,81.8
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,100,82.0,52,83,91,81.6
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,100,76.0,54,83,94,81.4
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,100,86.0,60,74,86,81.2
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,100,84.0,67,83,72,81.2
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,100,78.0,55,83,90,81.2
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,100,81.6,58,81,85,81.1
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,100,83.0,56,81,84,80.8
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,100,83.0,55,83,83,80.8
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,100,82.0,64,74,83,80.6
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,100,82.0,58,83,79,80.4
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,100,79.0,59,83,81,80.4
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,100,83.0,59,83,77,80.4
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,100,83.0,52,83,84,80.4
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,100,82.0,58,83,78,80.2
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,100,77.0,53,80,91,80.2
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,100,78.0,55,83,85,80.2
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,100,78.0,56,83,84,80.2
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,94,95.4,62,70,79,80.1
4785,How to Wash and Maintain Your Dog’s Bed,Dog Beds,100,82.0,54,76,88,80.0
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,100,79.0,61,83,77,80.0
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,100,78.0,48,78,95,79.8
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,100,100,63,64,71,79.6
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,100,81.0,64,74,79,79.6
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,100,82.0,46,82,88,79.6
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,100,79.0,53,83,83,79.6
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,100,82.0,55,83,77,79.4
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,100,88.0,54,74,81,79.4
4568,Dog Dental Health: A Practical Care Guide,Dog Health,100,82.0,49,79,87,79.4
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,100,100,61,62,73,79.2
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,100,77.0,41,83,94,79.0
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,100,77.0,44,83,91,79.0
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,100,81.0,58,78,77,78.8
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,100,86.0,63,71,74,78.8
8172,Our Research Standards,Uncategorized,84,96,53,83,77,78.6
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,100,77.0,54,83,79,78.6
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,100,79.0,61,83,70,78.6
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,100,85.8,56,83,68,78.6
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,100,78.0,61,83,71,78.6
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,100,76.0,52,83,81,78.4
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,100,81.0,55,83,73,78.4
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,100,79.0,50,83,79,78.2
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,100,76.0,45,81,89,78.2
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,100,77.0,41,80,93,78.2
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,100,77.0,50,83,81,78.2
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,100,96,44,73,77,78.0
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,100,100,53,62,75,78.0
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,100,77.0,45,83,85,78.0
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,100,77.0,41,77,95,78.0
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,100,79.0,51,83,77,78.0
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,100,81.0,49,83,77,78.0
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,95,77.0,50,81,86,77.8
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,100,77.0,50,83,79,77.8
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Cat Toys,100,79.0,47,83,79,77.6
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,100,79.0,49,83,77,77.6
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,100,78.0,44,83,83,77.6
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,100,79.0,43,83,82,77.4
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,100,81.0,46,77,81,77.0
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,100,81.0,46,83,75,77.0
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,100,80.0,59,83,62,76.8
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,100,78.0,54,83,69,76.8
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,100,79.0,46,83,75,76.6
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,100,81.0,47,75,80,76.6
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,100,81.0,49,76,76,76.4
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,96,81.0,61,75,69,76.4
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,100,78.0,38,83,83,76.4
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,100,79.0,45,83,75,76.4
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,100,76.0,50,76,79,76.2
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,100,77.0,47,80,77,76.2
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,100,78.0,41,83,79,76.2
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,77,94.6,59,70,79,75.9
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,96,96,38,72,77,75.8
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,100,96,35,72,76,75.8
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,99,96,35,70,79,75.8
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,96,96,36,73,77,75.6
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,100,81.0,46,72,79,75.6
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,100,87.8,35,78,77,75.6
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,95,81.0,55,76,71,75.6
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,100,81.0,49,78,70,75.6
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,93,78.0,46,78,83,75.6
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,92,78.0,50,81,77,75.6
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,99,77.0,44,83,75,75.6
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,100,78.0,47,83,69,75.4
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,100,78.0,47,83,69,75.4
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,100,77.0,45,83,70,75.0
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,94,96,35,74,73,74.4
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,100,79.0,44,83,66,74.4
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Uncategorized,96,81.0,46,75,73,74.2
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,100,76.0,47,78,70,74.2
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,100,77.0,38,81,74,74.0
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,91,78.0,33,83,83,73.6
8171,Why PetHub Online Exists,Uncategorized,82,85.9,40,78,76,72.4
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,91,77.0,38,78,77,72.2
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,90,78.0,42,83,68,72.2
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,92,84.4,38,74,68,71.3
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,98,77.0,32,76,72,71.0
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,90,77.0,38,75,71,70.2
