post_id,title,total_images,images_with_alt,images_without_alt,meets_4_6_minimum,seo_filenames,placement_score,compliance_score,issues
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,4,4,0,Yes,4/4,100,100,COMPLIANT
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,4,4,0,Yes,4/4,100,100,COMPLIANT
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,4,4,0,Yes,4/4,100,100,COMPLIANT
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,4,4,0,Yes,4/4,100,100,COMPLIANT
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,4,4,0,Yes,4/4,90,98,COMPLIANT
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,4,4,0,Yes,4/4,100,100,COMPLIANT
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,4,4,0,Yes,4/4,100,100,COMPLIANT
5950,Dog Toy Durability Guide: What Lasts and What Does Not,5,5,0,Yes,5/5,100,100,COMPLIANT
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",5,5,0,Yes,5/5,80,97,COMPLIANT
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,5,5,0,Yes,5/5,100,100,COMPLIANT
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,4,4,0,Yes,4/4,100,100,COMPLIANT
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,5,5,0,Yes,5/5,80,97,COMPLIANT
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,4,4,0,Yes,4/4,100,100,COMPLIANT
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",4,4,0,Yes,4/4,100,100,COMPLIANT
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,4,4,0,Yes,4/4,100,100,COMPLIANT
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,4,4,0,Yes,4/4,100,100,COMPLIANT
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,4,4,0,Yes,4/4,100,100,COMPLIANT
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",0,0,0,No,0/0,0,10,NO_IMAGES
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",0,0,0,No,0/0,0,10,NO_IMAGES
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,0,0,0,No,0/0,0,10,NO_IMAGES
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",5,5,0,Yes,5/5,100,100,COMPLIANT
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,5,5,0,Yes,5/5,100,100,COMPLIANT
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,5,5,0,Yes,5/5,80,97,COMPLIANT
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",5,5,0,Yes,5/5,90,98,COMPLIANT
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,5,5,0,Yes,5/5,90,98,COMPLIANT
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",5,5,0,Yes,5/5,80,97,COMPLIANT
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,5,5,0,Yes,5/5,90,98,COMPLIANT
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,5,5,0,Yes,5/5,90,98,COMPLIANT
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",5,5,0,Yes,5/5,100,100,COMPLIANT
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,5,5,0,Yes,5/5,100,100,COMPLIANT
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",5,5,0,Yes,5/5,100,100,COMPLIANT
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,5,5,0,Yes,5/5,90,98,COMPLIANT
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",5,5,0,Yes,5/5,80,97,COMPLIANT
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,5,5,0,Yes,5/5,80,97,COMPLIANT
5462,Dog Training Terminology Explained: Key Concepts for New Owners,4,4,0,Yes,4/4,90,98,COMPLIANT
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,4,4,0,Yes,4/4,80,97,COMPLIANT
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,5,5,0,Yes,5/5,90,98,COMPLIANT
5425,Dog Toys FAQ: Common Questions Answered,5,5,0,Yes,5/5,100,100,COMPLIANT
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,5,5,0,Yes,5/5,100,100,COMPLIANT
5423,Dog Toy Enrichment: Beyond Basic Fetch,5,5,0,Yes,5/5,100,100,COMPLIANT
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,5,5,0,Yes,5/5,100,100,COMPLIANT
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,0,0,0,No,0/0,0,10,NO_IMAGES
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,0,0,0,No,0/0,0,10,NO_IMAGES
5419,Cat Care Basics: A Glossary for New Cat Owners,0,0,0,No,0/0,0,10,NO_IMAGES
5418,Dog Harness Types Explained: Finding the Right Fit,0,0,0,No,0/0,0,10,NO_IMAGES
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,4,4,0,Yes,4/4,90,98,COMPLIANT
5416,Dog Bed Types Explained: A Complete Glossary,4,4,0,Yes,4/4,100,100,COMPLIANT
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,4,4,0,Yes,4/4,80,97,COMPLIANT
5414,Cat Toy Types Explained: A Complete Glossary,5,5,0,Yes,5/5,80,97,COMPLIANT
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,4,4,0,Yes,4/4,100,100,COMPLIANT
5033,How to Choose the Right Cat Toy for Your Cat's Personality,5,5,0,Yes,5/5,80,97,COMPLIANT
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,5,5,0,Yes,5/5,70,95,COMPLIANT
5032,Cat Toys FAQ: Common Questions Answered,5,5,0,Yes,5/5,100,100,COMPLIANT
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,5,5,0,Yes,5/5,80,97,COMPLIANT
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,4,4,0,Yes,4/4,100,100,COMPLIANT
4792,Puppy Socialisation: A Complete Timeline Guide,5,5,0,Yes,5/5,90,98,COMPLIANT
4791,How to Choose the Right Dog Training Treats,5,5,0,Yes,5/5,100,100,COMPLIANT
4790,DIY Dog Toys: Safe Homemade Options,5,5,0,Yes,5/5,90,98,COMPLIANT
4789,Best Types of Dog Toys for Different Play Styles,5,5,0,Yes,5/5,65,94,COMPLIANT
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,5,5,0,Yes,5/5,100,100,COMPLIANT
4787,Dog Toy Safety: What Every Owner Needs to Know,5,5,0,Yes,5/5,100,100,COMPLIANT
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,5,5,0,Yes,5/5,90,98,COMPLIANT
4785,How to Wash and Maintain Your Dog's Bed,5,5,0,Yes,5/5,90,98,COMPLIANT
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",5,5,0,Yes,5/5,90,98,COMPLIANT
4783,How to Choose the Right Dog Bed Size,5,5,0,Yes,5/5,80,97,COMPLIANT
4573,Seasonal Pet Safety: Protecting Pets Through the Year,4,4,0,Yes,4/4,90,98,COMPLIANT
4570,First-Time Dog Owner Essentials: What You Need to Know,4,4,0,Yes,4/4,80,97,COMPLIANT
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,4,4,0,Yes,4/4,90,98,COMPLIANT
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,4,4,0,Yes,4/4,100,100,COMPLIANT
4571,Pet First Aid Basics: What Every Owner Should Know,4,4,0,Yes,4/4,80,97,COMPLIANT
4568,Dog Dental Health: A Practical Care Guide,4,4,0,Yes,4/4,100,100,COMPLIANT
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,0,0,0,No,0/0,0,10,NO_IMAGES
4563,Dog Grooming Basics: A Complete Guide for Owners,0,0,0,No,0/0,0,10,NO_IMAGES
4415,Cat Toy Safety Guide: What Every Owner Should Know,0,0,0,No,0/0,0,10,NO_IMAGES
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,0,0,0,No,0/0,0,10,NO_IMAGES
4414,Harness vs Collar: Which Is Better for Your Dog?,0,0,0,No,0/0,0,10,NO_IMAGES
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,0,0,0,No,0/0,0,10,NO_IMAGES
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,1,1,0,No,1/1,60,75,BELOW_MINIMUM(1/4)
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",4,4,0,Yes,4/4,80,97,COMPLIANT
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,5,5,0,Yes,5/5,100,100,COMPLIANT
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,4,4,0,Yes,4/4,80,97,COMPLIANT
4408,How Often Should You Replace Cat Toys? A Practical Guide,4,4,0,Yes,4/4,100,100,COMPLIANT
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,4,4,0,Yes,4/4,100,100,COMPLIANT
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,8,8,0,Yes,8/8,100,100,COMPLIANT
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,8,8,0,Yes,8/8,100,100,COMPLIANT
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,8,8,0,Yes,8/8,100,100,COMPLIANT
4314,Best Cat Litter Trays UK (2026) – Complete Guide,8,8,0,Yes,8/8,100,100,COMPLIANT
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,8,8,0,Yes,8/8,100,100,COMPLIANT
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,8,8,0,Yes,8/8,100,100,COMPLIANT
4293,Best Cat Trees UK (2026) – Climbing &#038; Scratching Towers,8,8,0,Yes,8/8,100,100,COMPLIANT
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,8,8,0,Yes,8/8,100,100,COMPLIANT
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,8,8,0,Yes,8/8,90,98,COMPLIANT
4272,Best Cat ID Tags UK (2026) – Identification Guide,8,8,0,Yes,8/8,100,100,COMPLIANT
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,8,8,0,Yes,8/8,100,100,COMPLIANT
4258,Best Cat Collars UK (2026) – Complete Safety Guide,8,8,0,Yes,8/8,90,98,COMPLIANT
4251,Best Cat Shampoo UK (2026) – When &#038; How to Bathe,8,8,0,Yes,8/8,100,100,COMPLIANT
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,8,8,0,Yes,8/8,96,99,COMPLIANT
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,3,3,0,No,3/3,70,88,BELOW_MINIMUM(3/4)
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,3,3,0,No,3/3,70,88,BELOW_MINIMUM(3/4)
4223,Best Cat Window Perches UK (2026) – Sunning &#038; Bird Watching,3,3,0,No,3/3,70,88,BELOW_MINIMUM(3/4)
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,3,3,0,No,3/3,70,88,BELOW_MINIMUM(3/4)
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,3,3,0,No,3/3,70,88,BELOW_MINIMUM(3/4)
4202,Best Cat Beds UK (2026) – Complete Guide,3,3,0,No,3/3,70,88,BELOW_MINIMUM(3/4)
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,3,3,0,No,3/3,70,88,BELOW_MINIMUM(3/4)
4188,Best Catnip Toys UK (2026) – What Works and Why,8,8,0,Yes,8/8,80,97,COMPLIANT
4181,Best Interactive Cat Toys UK (2026) – Wand &#038; Puzzle Guide,8,8,0,Yes,8/8,100,100,COMPLIANT
4174,Best Cat Toys UK (2026) – Complete Guide,8,8,0,Yes,8/8,100,100,COMPLIANT
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,8,8,0,Yes,8/8,100,100,COMPLIANT
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,8,8,0,Yes,8/8,100,100,COMPLIANT
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,8,8,0,Yes,8/8,100,100,COMPLIANT
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,8,8,0,Yes,8/8,100,100,COMPLIANT
4139,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnesses,8,8,0,Yes,8/8,90,98,COMPLIANT
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,8,8,0,Yes,8/8,90,98,COMPLIANT
4125,Best Dog Training Treats UK (2026) – Reward Guide,8,8,0,Yes,8/8,100,100,COMPLIANT
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,8,8,0,Yes,8/8,90,98,COMPLIANT
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,8,8,0,Yes,8/8,100,100,COMPLIANT
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,8,8,0,Yes,8/8,100,100,COMPLIANT
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,8,8,0,Yes,8/8,100,100,COMPLIANT
4089,Best Dog Health and Care UK (2026) – Complete Guide,8,8,0,Yes,8/8,90,98,COMPLIANT
4078,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide,8,8,0,Yes,8/8,90,98,COMPLIANT
4071,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,8,8,0,Yes,8/8,90,98,COMPLIANT
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,8,8,0,Yes,8/8,90,98,COMPLIANT
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,8,8,0,Yes,8/8,90,98,COMPLIANT
4049,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide,8,8,0,Yes,8/8,100,100,COMPLIANT
4042,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guide,8,8,0,Yes,8/8,100,100,COMPLIANT
4034,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfort Guide,3,3,0,No,3/3,70,88,BELOW_MINIMUM(3/4)
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,3,3,0,No,3/3,80,90,BELOW_MINIMUM(3/4)
4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,3,3,0,No,3/3,70,88,BELOW_MINIMUM(3/4)
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,3,3,0,No,3/3,70,88,BELOW_MINIMUM(3/4)
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,3,3,0,No,3/3,80,90,BELOW_MINIMUM(3/4)
3996,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews,3,3,0,No,3/3,70,88,BELOW_MINIMUM(3/4)
3960,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,3,3,0,No,3/3,80,90,BELOW_MINIMUM(3/4)
3959,Best Interactive Dog Toys UK (2026) – Puzzle &#038; Enrichment Guide,3,3,0,No,3/3,80,90,BELOW_MINIMUM(3/4)
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,8,8,0,Yes,8/8,100,100,COMPLIANT
3956,Best Dog Toys UK (2026) – Complete Guide &#038; Honest Reviews,8,8,0,Yes,8/8,100,100,COMPLIANT
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,11,11,0,Yes,11/11,100,100,COMPLIANT
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,11,11,0,Yes,11/11,90,98,COMPLIANT
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,11,11,0,Yes,11/11,90,98,COMPLIANT
3836,Best Dog Food UK (2026) - Complete Buying Guide,11,11,0,Yes,11/11,100,100,COMPLIANT
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,3,3,0,No,3/3,100,93,BELOW_MINIMUM(3/4)
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,5,5,0,Yes,5/5,100,100,COMPLIANT
