post_id,title,url,seo_score,rm_seo_score,focus_keyword_status,focus_keyword,seo_title_status,seo_title,meta_desc_status,title_length,meta_desc_length,images_without_alt,total_images,internal_link_count,h2_count,word_count,issues,remediation_actions,suggested_meta_desc
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,https://pethubonline.com/best-cat-harnesses-uk/,87,0,SET,cat harnesses,MISSING,Best Cat Harnesses UK (2026) – Safe Walking Guide,SET,49,75,0,8,19,15,4029,SEO title same as post title; Title length 49 (ideal 50-60); Meta desc length 75 (ideal 120-160),Customize SEO title with keyword + brand; Expand title (+1 chars); Rewrite meta description to 120-160 chars,
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,https://pethubonline.com/best-cat-shampoo-uk/,87,0,SET,cat shampoo,MISSING,Best Cat Shampoo UK (2026) – When & How to Bathe,SET,48,30,0,8,18,13,3743,SEO title same as post title; Title length 48 (ideal 50-60); Meta desc length 30 (ideal 120-160),Customize SEO title with keyword + brand; Expand title (+2 chars); Rewrite meta description to 120-160 chars,
4202,Best Cat Beds UK (2026) – Complete Guide,https://pethubonline.com/best-cat-beds-uk/,87,0,SET,cat beds,MISSING,Best Cat Beds UK (2026) – Complete Guide,SET,40,84,0,3,23,14,4382,SEO title same as post title; Title length 40 (ideal 50-60); Meta desc length 84 (ideal 120-160),Customize SEO title with keyword + brand; Expand title (+10 chars); Rewrite meta description to 120-160 chars,
4174,Best Cat Toys UK (2026) – Complete Guide,https://pethubonline.com/best-cat-toys-uk/,87,0,SET,cat toys,MISSING,Best Cat Toys UK (2026) – Complete Guide,SET,40,40,0,8,41,14,5254,SEO title same as post title; Title length 40 (ideal 50-60); Meta desc length 40 (ideal 120-160),Customize SEO title with keyword + brand; Expand title (+10 chars); Rewrite meta description to 120-160 chars,
3836,Best Dog Food UK (2026) – Complete Buying Guide,https://pethubonline.com/best-dog-food-uk/,87,82,SET,dog food,MISSING,Best Dog Food UK (2026) – Complete Buying Guide,SET,47,47,0,11,27,19,8230,SEO title same as post title; Title length 47 (ideal 50-60); Meta desc length 47 (ideal 120-160),Customize SEO title with keyword + brand; Expand title (+3 chars); Rewrite meta description to 120-160 chars,
7332,How to Wash and Dry a Dog Bed Safely,https://pethubonline.com/how-to-wash-dog-bed-safely/,88,0,SET,wash and dry a dog,SET,How to Wash and Dry a Dog Bed Safely - Pet Hub Online,SET,36,88,0,5,24,16,4820,Title length 36 (ideal 50-60); Meta desc length 88 (ideal 120-160),Title too short (+14 chars needed); Rewrite meta description to 120-160 chars,
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,https://pethubonline.com/low-mobility-enrichment-dogs/,88,0,SET,low-mobility enrichment,SET,Low-Mobility Enrichment: Mental Stimulation for Dogs with,SET,74,63,0,4,5,10,2679,Title length 74 (ideal 50-60); Meta desc length 63 (ideal 120-160),Title too long (-14 chars); Rewrite meta description to 120-160 chars,
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,https://pethubonline.com/indoor-cat-care-guide/,88,0,SET,indoor cat care,SET,Indoor Cat Care: A Complete Guide to Keeping House Cats,SET,73,73,0,5,19,15,4505,Title length 73 (ideal 50-60); Meta desc length 73 (ideal 120-160),Title too long (-13 chars); Rewrite meta description to 120-160 chars,
5418,Dog Harness Types Explained: Finding the Right Fit,https://pethubonline.com/dog-harness-types-glossary/,88,0,SET,dog harness types explained,MISSING,Dog Harness Types Explained: Finding the Right Fit,SET,50,103,0,0,18,8,5379,SEO title same as post title; Meta desc length 103 (ideal 120-160); No images in content,Customize SEO title with keyword + brand; Adjust meta description length to 120-160 chars; Add relevant images with descriptive alt text,
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,https://pethubonline.com/best-interactive-cat-toys-indoor-cats/,88,0,SET,interactive cat toys for indoor,MISSING,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,SET,59,119,0,0,18,10,3030,SEO title same as post title; Meta desc length 119 (ideal 120-160); No images in content,Customize SEO title with keyword + brand; Adjust meta description length to 120-160 chars; Add relevant images with descriptive alt text,
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",https://pethubonline.com/dog-training-equipment-guide/,89,0,SET,dog training equipment explained,SET,"Dog Training Equipment Explained: Tools, Uses, and What",SET,64,115,0,0,26,13,6132,Title length 64 (ideal 50-60); Meta desc length 115 (ideal 120-160); No images in content,Shorten title (-4 chars); Adjust meta description length to 120-160 chars; Add relevant images with descriptive alt text,
5462,Dog Training Terminology Explained: Key Concepts for New Owners,https://pethubonline.com/dog-training-terminology-explained/,89,0,SET,dog training terminology explained,SET,Dog Training Terminology Explained: Key Concepts for New,SET,63,115,0,4,2,12,2745,Title length 63 (ideal 50-60); Meta desc length 115 (ideal 120-160); Only 2 internal link(s) (aim for 3+),Shorten title (-3 chars); Adjust meta description length to 120-160 chars; Add 1 more internal links to related posts,
4188,Best Catnip Toys UK (2026) – What Works and Why,https://pethubonline.com/best-catnip-toys-uk/,89,0,SET,catnip toys,MISSING,Best Catnip Toys UK (2026) – What Works and Why,SET,47,106,0,8,43,13,4541,SEO title same as post title; Title length 47 (ideal 50-60); Meta desc length 106 (ideal 120-160),Customize SEO title with keyword + brand; Expand title (+3 chars); Adjust meta description length to 120-160 chars,
4125,Best Dog Training Treats UK (2026) – Reward Guide,https://pethubonline.com/best-dog-training-treats-uk/,89,0,SET,dog training treats,MISSING,Best Dog Training Treats UK (2026) – Reward Guide,SET,49,117,0,8,22,15,4507,SEO title same as post title; Title length 49 (ideal 50-60); Meta desc length 117 (ideal 120-160),Customize SEO title with keyword + brand; Expand title (+1 chars); Adjust meta description length to 120-160 chars,
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",https://pethubonline.com/dog-health-basics-guide/,90,0,SET,dog health basics,SET,"Dog Health Basics: Common Conditions, Prevention, and",SET,71,106,0,5,25,16,5698,Title length 71 (ideal 50-60); Meta desc length 106 (ideal 120-160),Title too long (-11 chars); Adjust meta description length to 120-160 chars,
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,https://pethubonline.com/dog-behaviour-explained/,90,0,SET,dog behaviour explained,SET,Dog Behaviour Explained: Understanding Your Dog’s Body,SET,75,104,0,5,26,13,5317,Title length 75 (ideal 50-60); Meta desc length 104 (ideal 120-160),Title too long (-15 chars); Adjust meta description length to 120-160 chars,
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,https://pethubonline.com/puppy-safe-dog-toys/,90,0,SET,puppy-safe dog toys,MISSING,Puppy-Safe Dog Toys: What to Look For and What to Avoid,SET,55,148,0,0,17,14,4759,SEO title same as post title; No images in content,Customize SEO title with keyword + brand; Add relevant images with descriptive alt text,
4786,Where to Place Your Dog’s Bed: Location and Comfort Tips,https://pethubonline.com/where-to-place-dog-bed/,90,0,SET,where to place your dog's,MISSING,Where to Place Your Dog’s Bed: Location and Comfort Tips,SET,56,147,0,5,23,15,4217,SEO title same as post title; Focus keyword not in title,Customize SEO title with keyword + brand; Include 'where to place your dog's' in post title,
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,https://pethubonline.com/seasonal-dog-care-guide/,90,0,SET,seasonal dog care,MISSING,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,SET,51,126,0,0,16,11,4183,SEO title same as post title; No images in content,Customize SEO title with keyword + brand; Add relevant images with descriptive alt text,
4415,Cat Toy Safety Guide: What Every Owner Should Know,https://pethubonline.com/cat-toy-safety-guide/,90,0,SET,cat toy safety guide,MISSING,Cat Toy Safety Guide: What Every Owner Should Know,SET,50,140,0,0,23,12,3822,SEO title same as post title; No images in content,Customize SEO title with keyword + brand; Add relevant images with descriptive alt text,
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,https://pethubonline.com/how-to-measure-dog-for-harness/,90,0,SET,measure your dog for a,MISSING,How to Measure Your Dog for a Harness: Step-by-Step Guide,SET,57,143,0,0,14,4,3504,SEO title same as post title; No images in content,Customize SEO title with keyword + brand; Add relevant images with descriptive alt text,
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,https://pethubonline.com/dog-toy-hygiene-schedules/,91,0,SET,dog toy hygiene schedules,MISSING,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,SET,57,63,0,4,6,10,2648,SEO title same as post title; Meta desc length 63 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,https://pethubonline.com/safe-multi-dog-toy-management/,91,0,SET,safe multi-dog toy management,MISSING,Safe Multi-Dog Toy Management: Preventing Resource Guarding,SET,59,63,0,4,5,10,2617,SEO title same as post title; Meta desc length 63 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,https://pethubonline.com/rotating-puzzle-complexity-dogs/,91,0,SET,rotating puzzle complexity,MISSING,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,SET,64,149,0,4,8,12,1802,SEO title same as post title; Title length 64 (ideal 50-60),Customize SEO title with keyword + brand; Shorten title (-4 chars),
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,https://pethubonline.com/dog-toy-anxiety-reduction/,91,0,SET,dog toy anxiety reduction,MISSING,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,SET,58,58,0,4,12,10,3397,SEO title same as post title; Meta desc length 58 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
5950,Dog Toy Durability Guide: What Lasts and What Does Not,https://pethubonline.com/dog-toy-durability-guide/,91,0,SET,dog toy durability guide,MISSING,Dog Toy Durability Guide: What Lasts and What Does Not,SET,54,63,0,5,19,14,3743,SEO title same as post title; Meta desc length 63 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",https://pethubonline.com/dog-toy-materials-compared/,91,0,SET,dog toy materials compared,MISSING,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",SET,58,63,0,5,17,13,3812,SEO title same as post title; Meta desc length 63 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",https://pethubonline.com/orthopaedic-care-dogs/,91,0,SET,orthopaedic care for dogs,SET,"Orthopaedic Care for Dogs: Joint Health, Mobility, and",SET,62,149,0,0,11,15,5579,Title length 62 (ideal 50-60); No images in content,Shorten title (-2 chars); Add relevant images with descriptive alt text,
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,https://pethubonline.com/aggressive-chewer-dog-toys/,91,0,SET,aggressive chewer guide,MISSING,Aggressive Chewer Guide: Safe Toys for Power Chewers,SET,52,81,0,5,22,13,4420,SEO title same as post title; Meta desc length 81 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,https://pethubonline.com/indoor-vs-outdoor-dog-toys/,91,0,SET,indoor vs outdoor dog toys,MISSING,Indoor vs Outdoor Dog Toys: Choosing the Right Type,SET,51,63,0,5,22,13,4843,SEO title same as post title; Meta desc length 63 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,https://pethubonline.com/puppy-care-essentials-glossary/,91,0,SET,puppy care essentials,MISSING,Puppy Care Essentials: Key Terms Every New Owner Should Know,SET,60,60,0,4,10,8,2688,SEO title same as post title; Meta desc length 60 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,https://pethubonline.com/dog-play-styles-explained/,91,0,SET,dog play styles explained,MISSING,Dog Play Styles Explained: Understanding How Your Dog Plays,SET,59,59,0,4,19,11,3678,SEO title same as post title; Meta desc length 59 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,https://pethubonline.com/how-to-choose-cat-toys-personality/,91,0,SET,choose the right cat toy,MISSING,How to Choose the Right Cat Toy for Your Cat’s Personality,SET,58,58,0,5,28,13,4193,SEO title same as post title; Meta desc length 58 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,https://pethubonline.com/cat-toy-rotation-guide/,91,0,SET,cat toy rotation,MISSING,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,SET,53,94,0,4,13,12,3089,SEO title same as post title; Meta desc length 94 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
4792,Puppy Socialisation: A Complete Timeline Guide,https://pethubonline.com/puppy-socialisation-guide/,91,0,SET,puppy socialisation,MISSING,Puppy Socialisation: A Complete Timeline Guide,SET,46,127,0,5,33,15,4913,SEO title same as post title; Title length 46 (ideal 50-60),Customize SEO title with keyword + brand; Expand title (+4 chars),
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,https://pethubonline.com/mental-stimulation-for-dogs/,91,0,SET,mental stimulation for dogs,MISSING,Mental Stimulation for Dogs: Beyond Physical Exercise,SET,53,63,0,5,22,15,4098,SEO title same as post title; Meta desc length 63 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
4787,Dog Toy Safety: What Every Owner Needs to Know,https://pethubonline.com/dog-toy-safety-guide/,91,0,SET,dog toy safety,MISSING,Dog Toy Safety: What Every Owner Needs to Know,SET,46,155,0,5,21,15,3743,SEO title same as post title; Title length 46 (ideal 50-60),Customize SEO title with keyword + brand; Expand title (+4 chars),
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,https://pethubonline.com/multi-pet-household-tips/,91,0,SET,multi-pet household tips,MISSING,Multi-Pet Household Tips: Living with Dogs and Cats Together,SET,60,97,0,4,12,11,2797,SEO title same as post title; Meta desc length 97 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,https://pethubonline.com/pet-hydration-guide/,91,0,SET,pet hydration guide,MISSING,Pet Hydration Guide: How Much Water Does Your Pet Need?,SET,55,63,0,4,16,11,3044,SEO title same as post title; Meta desc length 63 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
4571,Pet First Aid Basics: What Every Owner Should Know,https://pethubonline.com/pet-first-aid-basics/,91,0,SET,pet first aid basics,MISSING,Pet First Aid Basics: What Every Owner Should Know,SET,50,63,0,4,23,11,3604,SEO title same as post title; Meta desc length 63 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,https://pethubonline.com/kitten-vs-adult-cat-toys-age-appropriate/,91,0,SET,kitten vs adult cat toys,MISSING,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,SET,52,73,0,4,25,11,4085,SEO title same as post title; Meta desc length 73 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,https://pethubonline.com/best-cat-litter-uk/,91,0,SET,cat litter,MISSING,Best Cat Litter UK (2026) – Types & Comparison Guide,SET,52,90,0,8,27,14,4464,SEO title same as post title; Meta desc length 90 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
4314,Best Cat Litter Trays UK (2026) – Complete Guide,https://pethubonline.com/best-cat-litter-trays-uk/,91,0,SET,cat litter trays,MISSING,Best Cat Litter Trays UK (2026) – Complete Guide,SET,48,124,0,8,27,17,4787,SEO title same as post title; Title length 48 (ideal 50-60),Customize SEO title with keyword + brand; Expand title (+2 chars),
4272,Best Cat ID Tags UK (2026) – Identification Guide,https://pethubonline.com/best-cat-id-tags-uk/,91,0,SET,cat id tags,MISSING,Best Cat ID Tags UK (2026) – Identification Guide,SET,49,131,0,8,27,15,4143,SEO title same as post title; Title length 49 (ideal 50-60),Customize SEO title with keyword + brand; Expand title (+1 chars),
4258,Best Cat Collars UK (2026) – Complete Safety Guide,https://pethubonline.com/best-cat-collars-uk/,91,0,SET,cat collars,MISSING,Best Cat Collars UK (2026) – Complete Safety Guide,SET,50,71,0,8,19,16,4186,SEO title same as post title; Meta desc length 71 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,https://pethubonline.com/best-cat-brushes-uk/,91,0,SET,cat brushes,MISSING,Best Cat Brushes UK (2026) – Guide by Coat Type,SET,47,148,0,3,9,12,2979,SEO title same as post title; Title length 47 (ideal 50-60),Customize SEO title with keyword + brand; Expand title (+3 chars),
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,https://pethubonline.com/best-cat-radiator-beds-uk/,91,0,SET,cat radiator beds,MISSING,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,SET,55,84,0,3,24,14,3925,SEO title same as post title; Meta desc length 84 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,https://pethubonline.com/best-heated-cat-beds-uk/,91,0,SET,heated cat beds,MISSING,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,SET,52,84,0,3,23,14,4109,SEO title same as post title; Meta desc length 84 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,https://pethubonline.com/best-dog-water-bottles-uk/,91,0,SET,dog water bottles,MISSING,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,SET,57,52,0,8,33,16,4667,SEO title same as post title; Meta desc length 52 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,https://pethubonline.com/best-slow-feeder-dog-bowls-uk/,91,0,SET,slow feeder dog bowls,MISSING,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,SET,59,63,0,8,22,15,4508,SEO title same as post title; Meta desc length 63 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
4089,Best Dog Health and Care UK (2026) – Complete Guide,https://pethubonline.com/best-dog-health-care-uk/,91,0,SET,dog health and care,MISSING,Best Dog Health and Care UK (2026) – Complete Guide,SET,51,67,0,8,23,17,5107,SEO title same as post title; Meta desc length 67 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,https://pethubonline.com/best-dog-brushes-uk/,91,0,SET,dog brushes,MISSING,Best Dog Brushes UK (2026) – Guide by Coat Type,SET,47,136,0,8,21,14,4471,SEO title same as post title; Title length 47 (ideal 50-60),Customize SEO title with keyword + brand; Expand title (+3 chars),
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,https://pethubonline.com/best-dog-grooming-supplies-uk/,91,0,SET,dog grooming supplies,MISSING,Best Dog Grooming Supplies UK (2026) – Complete Guide,SET,53,97,0,8,21,16,5371,SEO title same as post title; Meta desc length 97 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,https://pethubonline.com/best-dog-leads-uk/,91,0,SET,dog leads,MISSING,Best Dog Leads UK (2026) – Walking & Training Lead Guide,SET,56,56,0,8,23,14,4535,SEO title same as post title; Meta desc length 56 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,https://pethubonline.com/best-orthopaedic-dog-beds-uk/,91,0,SET,orthopaedic dog beds,MISSING,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,SET,57,57,0,3,22,17,4992,SEO title same as post title; Meta desc length 57 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,https://pethubonline.com/best-dog-toys-uk/,91,0,SET,dog toys,MISSING,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,SET,57,79,0,8,32,18,5324,SEO title same as post title; Meta desc length 79 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,https://pethubonline.com/best-puppy-food-uk/,91,78,SET,puppy food,MISSING,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,SET,56,56,0,11,24,15,6267,SEO title same as post title; Meta desc length 56 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,https://pethubonline.com/dry-vs-wet-dog-food-uk/,91,76,SET,dry vs wet dog food,MISSING,Dry vs Wet Dog Food UK – An Honest Comparison Guide,SET,51,51,0,11,24,14,5870,SEO title same as post title; Meta desc length 51 (ideal 120-160),Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars,
