generated_at,2026-05-27 19:28:53 UTC,,,,,,,,,,
source_server,pethubonline.com,,,,,,,,,,
git_commit,e639440 Phase 9H: Sitemap/Taxonomy Recovery + Dog Food Publishing,,,,,,,,,,
generated_by,gen_phase9i.py,,,,,,,,,,
data_source_label,WordPress REST API v2 + Live HTML + post-sitemap.xml,,,,,,,,,,

Post ID,URL,Focus Keyword,SEO Title,Title Chars,Keyword At Start,Meta Description,Desc Chars,Keyword In Desc,First Image Alt,Keyword In Alt,Unsupported Claims,Status,Action Needed
4265,https://pethubonline.com/best-cat-gps-trackers-uk/,best cat gps trackers,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,57,Yes,"Best cat GPS trackers UK for 2026. Cellular, Bluetooth and RF tracker options co...",128,Yes,Catgps Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4258,https://pethubonline.com/best-cat-collars-uk/,best cat collars,Best Cat Collars UK (2026) – Complete Safety Guide,50,Yes,"Best cat collars UK for 2026. Breakaway safety collars, reflective options, GPS ...",130,Yes,Catcollar Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4251,https://pethubonline.com/best-cat-shampoo-uk/,best cat shampoo,Best Cat Shampoo UK (2026) – When &#038; How to Bathe,53,Yes,"Best cat shampoo UK for 2026. General, waterless, medicated and kitten formulas ...",139,Yes,Catshampoo Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4244,https://pethubonline.com/best-cat-nail-clippers-uk/,best cat nail clippers,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,54,Yes,"Best cat nail clippers UK for 2026. Scissor, guillotine and grinder options comp...",133,Yes,Catnail Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4237,https://pethubonline.com/best-cat-brushes-uk/,best cat brushes,Best Cat Brushes UK (2026) – Guide by Coat Type,47,Yes,"Best cat brushes UK for 2026. Slicker, bristle, de-shedding and grooming gloves ...",125,Yes,Catbrush Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4230,https://pethubonline.com/best-cat-grooming-supplies-uk/,best cat grooming supplies,Best Cat Grooming Supplies UK (2026) – Complete Guide,53,Yes,"Best cat grooming supplies UK for 2026. Brushes, nail clippers, ear care and sha...",126,Yes,Catgroom Tools,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4223,https://pethubonline.com/best-cat-window-perches-uk/,best cat window perches,Best Cat Window Perches UK (2026) – Sunning &#038; Bird Watching,64,Yes,"Best cat window perches UK for 2026. Suction cup, bracket-mounted and windowsill...",134,Yes,Cat Window Types,No,CLEAN,NEEDS REVIEW,Title too long; Keyword not in alt
4216,https://pethubonline.com/best-cat-radiator-beds-uk/,best cat radiator beds,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,55,Yes,"Best cat radiator beds UK for 2026. Wire frame, wooden frame and hammock designs...",136,Yes,Cat Rad Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4209,https://pethubonline.com/best-heated-cat-beds-uk/,best heated cat beds,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,52,Yes,"Best heated cat beds UK for 2026. Electric, self-heating and microwave options c...",120,Yes,Cat Heated Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4202,https://pethubonline.com/best-cat-beds-uk/,best cat beds,Best Cat Beds UK (2026) – Complete Guide,40,Yes,"Best cat beds UK for 2026. Igloo, bolster, radiator and window perch beds compar...",122,Yes,Cat Beds Types,Yes,CLEAN,PASS,None
4195,https://pethubonline.com/best-cat-toys-indoor-cats-uk/,best cat toys indoor cats,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,58,Yes,"Best cat toys for indoor cats UK for 2026. Hunting, foraging, climbing and senso...",142,No,Cat Indoor Types,No,CLEAN,NEEDS REVIEW,Keyword not in desc; Keyword not in alt
4188,https://pethubonline.com/best-catnip-toys-uk/,best catnip toys,Best Catnip Toys UK (2026) – What Works and Why,47,Yes,"Best catnip toys UK for 2026. Kicker toys, mice, refillable options and silver v...",137,Yes,Cat Nip Science,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4181,https://pethubonline.com/best-interactive-cat-toys-uk/,best interactive cat toys,Best Interactive Cat Toys UK (2026) – Wand &#038; Puzzle Guide,62,Yes,"Best interactive cat toys UK for 2026. Wand toys, puzzle feeders, electronic mot...",146,Yes,Cat Inter Types,No,CLEAN,NEEDS REVIEW,Title too long; Keyword not in alt
4174,https://pethubonline.com/best-cat-toys-uk/,best cat toys,Best Cat Toys UK (2026) – Complete Guide,40,Yes,"Best cat toys UK for 2026. Wand toys, catnip toys, puzzle feeders and electronic...",125,Yes,Cat Toys Types,Yes,CLEAN,PASS,None
4167,https://pethubonline.com/best-dog-water-bottles-uk/,best dog water bottles,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,57,Yes,"Best dog water bottles UK for 2026. Squeeze bottles, filter bottles and insulate...",138,Yes,Bowl Water Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4160,https://pethubonline.com/best-elevated-dog-bowls-uk/,best elevated dog bowls,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,55,Yes,"Best elevated dog bowls UK for 2026. Fixed, adjustable and wall-mounted raised f...",138,Yes,Bowl Elev Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4153,https://pethubonline.com/best-slow-feeder-dog-bowls-uk/,best slow feeder dog bowls,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,59,Yes,"Best slow feeder dog bowls UK for 2026. Maze bowls, lick mats, puzzle feeders an...",142,Yes,Bowl Slow Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4146,https://pethubonline.com/best-dog-bowls-feeding-uk/,best dog bowls feeding,Best Dog Bowls and Feeding UK (2026) – Complete Guide,53,Yes,"Best dog bowls and feeding accessories UK for 2026. Stainless steel, ceramic, sl...",139,No,Bowl Types,No,CLEAN,NEEDS REVIEW,Keyword not in desc; Keyword not in alt
4139,https://pethubonline.com/best-dog-training-leads-uk/,best dog training leads,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnesses,63,Yes,"Best dog training leads UK for 2026. Long lines, short leads, double-ended optio...",136,Yes,Train Lead Types,No,CLEAN,NEEDS REVIEW,Title too long; Keyword not in alt
4132,https://pethubonline.com/best-puppy-training-guide-uk/,best puppy training guide,Best Puppy Training Guide UK (2026) – First Year Essentials,59,Yes,Best puppy training guide UK for 2026. Week-by-week timeline covering toilet tra...,143,Yes,Train Puppy Timeline,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4125,https://pethubonline.com/best-dog-training-treats-uk/,best dog training treats,Best Dog Training Treats UK (2026) – Reward Guide,49,Yes,"Best dog training treats UK for 2026. Soft treats, freeze-dried, natural chews a...",141,Yes,Train Treat Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4118,https://pethubonline.com/best-dog-training-behaviour-uk/,best dog training behaviour,Best Dog Training and Behaviour UK (2026) – Complete Guide,58,Yes,"Best dog training and behaviour UK for 2026. Positive training methods, equipmen...",140,No,Train Commands,No,CLEAN,NEEDS REVIEW,Keyword not in desc; Keyword not in alt
4110,https://pethubonline.com/best-dog-joint-supplements-uk/,best dog joint supplements,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,61,Yes,"Best dog joint supplements UK for 2026. Glucosamine, chondroitin, MSM and omega-...",137,Yes,Health Joint Ingredients,No,CLEAN,NEEDS REVIEW,Title too long; Keyword not in alt
4103,https://pethubonline.com/best-dog-flea-treatment-uk/,best dog flea treatment,Best Dog Flea Treatment UK (2026) – Prevention Guide,52,Yes,"Best dog flea treatment UK for 2026. Spot-on, tablets, collars and sprays compar...",136,Yes,Health Flea Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4096,https://pethubonline.com/best-dog-dental-care-uk/,best dog dental care,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,53,Yes,"Best dog dental care UK for 2026. Toothbrushes, toothpaste, dental chews and wat...",135,Yes,Health Dental Tools,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4089,https://pethubonline.com/best-dog-health-care-uk/,best dog health care,Best Dog Health and Care UK (2026) – Complete Guide,51,Yes,"Best dog health and care UK for 2026. Vaccinations, dental care, parasite preven...",147,No,Health Checklist,No,CLEAN,NEEDS REVIEW,Keyword not in desc; Keyword not in alt
4078,https://pethubonline.com/best-dog-nail-clippers-uk/,best dog nail clippers,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide,65,Yes,"Best dog nail clippers UK for 2026. Guillotine, scissor and electric grinder opt...",129,Yes,Groom Nail Types,No,CLEAN,NEEDS REVIEW,Title too long; Keyword not in alt
4071,https://pethubonline.com/best-dog-shampoo-uk/,best dog shampoo,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,60,Yes,Best dog shampoo UK for 2026. pH-balanced formulas compared by skin type with in...,138,Yes,Groom Shampoo Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4064,https://pethubonline.com/best-dog-brushes-uk/,best dog brushes,Best Dog Brushes UK (2026) – Guide by Coat Type,47,Yes,"Best dog brushes UK for 2026. Slicker, bristle, pin and de-shedding brushes matc...",139,Yes,Groom Brush Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4057,https://pethubonline.com/best-dog-grooming-supplies-uk/,best dog grooming supplies,Best Dog Grooming Supplies UK (2026) – Complete Guide,53,Yes,"Best dog grooming supplies UK for 2026. Brushes, shampoos, nail clippers and mor...",142,Yes,Groom Tools,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4049,https://pethubonline.com/best-puppy-collars-uk/,best puppy collars,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide,64,Yes,"Best puppy collars UK for 2026. First collars, harnesses and sizing guide for gr...",135,Yes,Collars Puppy Timeline,No,CLEAN,NEEDS REVIEW,Title too long; Keyword not in alt
4042,https://pethubonline.com/best-dog-leads-uk/,best dog leads,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guide,61,Yes,"Best dog leads UK for 2026. Fixed, retractable, long line and hands-free leads c...",138,Yes,Leads Types,No,CLEAN,NEEDS REVIEW,Title too long; Keyword not in alt
4034,https://pethubonline.com/best-no-pull-dog-harnesses-uk/,best no pull dog harnesses,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfort Guide,68,Yes,"Best no-pull dog harnesses UK for 2026. Front-clip, dual-clip and head halter op...",133,No,Collars Nopull Types,No,CLEAN,NEEDS REVIEW,Title too long; Keyword not in desc; Keyword not in alt
4027,https://pethubonline.com/best-dog-collars-and-harnesses-uk/,best dog collars and harnesses,Best Dog Collars and Harnesses UK (2026) – Complete Guide,57,Yes,"Best dog collars and harnesses UK for 2026. Collars, harnesses and leads compare...",143,Yes,Collars Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4018,https://pethubonline.com/best-puppy-beds-uk/,best puppy beds,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,65,Yes,"Best puppy beds UK for 2026. Crate beds, washable options, chew-resistant picks ...",117,Yes,Beds Puppy Types,No,CLEAN,NEEDS REVIEW,Title too long; Keyword not in alt
4011,https://pethubonline.com/best-cooling-dog-beds-uk/,best cooling dog beds,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,62,Yes,"Best cooling dog beds UK for 2026. Elevated mesh, gel mats and cooling foam comp...",135,Yes,Beds Cooling Types,No,CLEAN,NEEDS REVIEW,Title too long; Keyword not in alt
4004,https://pethubonline.com/best-orthopaedic-dog-beds-uk/,best orthopaedic dog beds,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,57,Yes,"Best orthopaedic dog beds UK for 2026. Memory foam density explained, genuine jo...",146,Yes,Beds Foam Density,No,CLEAN,NEEDS REVIEW,Keyword not in alt
3996,https://pethubonline.com/best-dog-beds-uk/,best dog beds,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews,62,Yes,"Best dog beds UK guide for 2026. Honest comparisons of orthopaedic, bolster, coo...",142,Yes,Beds Types,No,CLEAN,NEEDS REVIEW,Title too long; Keyword not in alt
3960,https://pethubonline.com/best-puppy-toys-uk/,best puppy toys,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,60,Yes,"Best puppy toys UK for 2026. Teething toys, comfort toys and first enrichment op...",128,Yes,Puppy Teething Timeline - 8 Weeks to 7 Months,No,CLEAN,NEEDS REVIEW,Keyword not in alt
3959,https://pethubonline.com/best-interactive-dog-toys-uk/,best interactive dog toys,Best Interactive Dog Toys UK (2026) – Puzzle &#038; Enrichment Guide,68,Yes,"Best interactive dog toys UK for 2026. Puzzle feeders, treat-dispensing toys, sn...",144,Yes,Types of Interactive Dog Toys,Yes,CLEAN,NEEDS REVIEW,Title too long
3957,https://pethubonline.com/best-indestructible-dog-toys-uk/,best indestructible dog toys,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,69,Yes,Best indestructible dog toys UK for 2026. Durable options for heavy chewers and ...,145,Yes,Tough Dog Toy Materials - What Lasts vs What to Av,No,CLEAN,NEEDS REVIEW,Title too long; Keyword not in alt
3956,https://pethubonline.com/best-dog-toys-uk/,best dog toys,Best Dog Toys UK (2026) – Complete Guide &#038; Honest Reviews,62,Yes,"Best dog toys UK guide for 2026. Honest comparisons of chew toys, fetch toys, pu...",144,Yes,"6 Types of Dog Toys - Chew, Fetch, Interactive, Tu",Yes,CLEAN,NEEDS REVIEW,Title too long
3839,https://pethubonline.com/best-puppy-food-uk/,best puppy food,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,62,Yes,"Best puppy food UK guide for 2026. Understand growth-stage nutrition, feeding sc...",152,Yes,Best puppy food UK nutrition guide covering growth,Yes,CLEAN,NEEDS REVIEW,Title too long
3838,https://pethubonline.com/dry-vs-wet-dog-food-uk/,dry vs wet dog food,Dry vs Wet Dog Food UK &#8211; An Honest Comparison Guide,57,Yes,"Dry vs wet dog food UK comparison. Learn the nutritional differences, costs, and...",150,Yes,Dry vs wet dog food UK comparison showing nutritio,Yes,CLEAN,PASS,None
3837,https://pethubonline.com/best-dry-dog-food-uk/,best dry dog food,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,56,Yes,"Best dry dog food UK guide for 2026. Learn how to read labels, compare kibble ty...",155,Yes,Best dry dog food UK guide showing different kibbl,Yes,CLEAN,PASS,None
3836,https://pethubonline.com/best-dog-food-uk/,best dog food,Best Dog Food UK (2026) &#8211; Complete Buying Guide,53,Yes,"Best dog food UK guide for 2026. Compare food types, understand labels, and lear...",156,Yes,Best dog food UK complete buying guide covering fo,Yes,CLEAN,PASS,None
696,https://pethubonline.com/essential-cat-supplies-for-cat-owners/,essential cat supplies for cat owners,Essential Cat Supplies for Cat Owners &#8211; Number 1 Must-Haves,65,Yes,Essential Cat Supplies for Cat Owners &#8211; Number 1 Must-Haves &#8211; Find t...,143,Yes,Essential Cat Supplies for Cat Owners,Yes,FOUND: ['our favourite'],NEEDS REVIEW,Title too long; Unsupported claims: ['our favourite']
3,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026/,top dog toys every pet owner needs in 2026,Top Dog Toys Every Pet Owner Needs in 2026,42,Yes,Top Dog Toys Every Pet Owner Needs in 2026 Welcome to Pet Hub Online – your ulti...,116,Yes,Top Dog Toys Every Pet Owner Needs in 2026,Yes,FOUND: ['our top pick'],NEEDS REVIEW,Unsupported claims: ['our top pick']
