id,title,cluster,reference_quality,comparison_usefulness,practical_specificity,extractability,trust_depth,summary_usefulness,citation_preference_score
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,65,70,8,91,90,96,62.5
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,45,66,49,91,70,71,62.4
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,70,40,31,70,96,96,62.2
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,55,64,25,91,70,96,61.9
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,60,62,16,91,84,96,61.7
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,40,80,58,66,60,75,61.6
4786,Where to Place Your Dog’s Bed: Location and Comfort Tips,Dog Beds,65,66,7,90,90,96,61.5
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,70,42,17,83,100,96,61.4
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,70,44,20,83,88,96,61.2
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,65,66,7,91,82,96,60.9
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,65,42,23,83,90,96,60.9
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,65,38,24,83,94,96,60.9
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,65,40,25,83,84,96,60.5
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,65,44,19,83,88,96,60.0
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,70,44,12,83,94,96,59.8
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,70,42,12,83,96,96,59.8
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,59,67,8,91,78,96,59.7
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,75,44,10,82,88,96,59.6
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,70,40,12,83,96,96,59.5
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,80,38,4,83,100,96,59.5
4791,How to Choose the Right Dog Training Treats,Training Supplies,60,54,8,91,92,96,59.4
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,70,40,15,73,96,96,58.7
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,65,38,14,83,92,96,58.2
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,70,40,8,83,90,96,57.9
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,60,42,28,83,90,71,57.4
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,70,38,3,83,92,96,56.5
8172,Our Research Standards,Uncategorized,90,42,0,73,100,71,55.9
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,41,42,31,83,62,96,55.3
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,55,44,25,83,70,71,53.9
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,37,40,28,83,58,96,53.0
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,65,44,23,83,80,46,52.7
8171,Why PetHub Online Exists,Uncategorized,80,42,0,57,100,71,51.5
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,51,44,12,83,74,71,50.3
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,45,38,12,83,70,71,47.8
