id,title,cluster,had_table,table_added,rows_added,status
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Uncategorized,yes,no,0,skipped_adequate_table
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Educational,yes,no,0,skipped_adequate_table
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Training,yes,no,0,skipped_adequate_table
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,yes,no,0,skipped_adequate_table
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,yes,no,0,skipped_adequate_table
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,yes,no,0,skipped_adequate_table
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,yes,no,0,skipped_adequate_table
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,yes,no,0,skipped_adequate_table
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,yes,no,0,skipped_adequate_table
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,yes,no,0,skipped_adequate_table
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,yes,no,0,skipped_adequate_table
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,yes,no,0,skipped_adequate_table
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,yes,no,0,skipped_adequate_table
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,yes,no,0,skipped_adequate_table
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,yes,no,0,skipped_adequate_table
