rank,id,title,cluster,overall_score,pages_above_70_count,pages_above_80_count
28,5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,76.3,95,12
29,4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,76.3,95,12
30,4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,76.2,95,12
31,5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,76.1,95,12
32,5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,75.8,95,12
33,4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,75.8,95,12
34,4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,75.8,95,12
35,5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,75.6,95,12
36,4570,First-Time Dog Owner Essentials: What You Need to Know,Uncategorized,75.6,95,12
37,5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,75.5,95,12
38,5419,Cat Care Basics: A Glossary for New Cat Owners,Educational,75.3,95,12
39,5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,75.3,95,12
40,5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Toys,75.1,95,12
41,4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Uncategorized,75.1,95,12
42,5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,75.0,95,12
43,4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,74.7,95,12
44,3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,74.7,95,12
45,4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,74.5,95,12
46,4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,74.5,95,12
47,5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Dog Training,74.4,95,12
48,4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Uncategorized,74.1,95,12
49,5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,73.8,95,12
50,4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,73.8,95,12
51,4792,Puppy Socialisation: A Complete Timeline Guide,Dog Training,73.3,95,12
52,696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Cat Supplies,73.3,95,12
53,6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,73.0,95,12
54,4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Uncategorized,72.9,95,12
55,5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Dog Training,72.8,95,12
56,5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Dog Toys,72.8,95,12
57,4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Dog Toys,72.8,95,12
58,4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Puppy Care,72.8,95,12
59,4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Grooming,72.8,95,12
60,4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,72.6,95,12
61,4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,72.5,95,12
62,3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,72.5,95,12
63,5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Uncategorized,72.4,95,12
64,4568,Dog Dental Health: A Practical Care Guide,Dog Health,72.4,95,12
65,4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Uncategorized,72.2,95,12
66,6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,72.0,95,12
67,4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,71.9,95,12
68,3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,71.9,95,12
69,4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Toys,71.8,95,12
70,4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Harnesses,71.8,95,12
71,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,71.4,95,12
72,5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,71.4,95,12
73,4785,How to Wash and Maintain Your Dog’s Bed,Uncategorized,71.4,95,12
74,4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,71.4,95,12
75,4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Training,71.4,95,12
76,5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Toys,71.3,95,12
77,7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,71.1,95,12
78,4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Uncategorized,71.1,95,12
79,4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,71.0,95,12
80,6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,70.9,95,12
81,4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,70.8,95,12
82,4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Puppy Care,70.8,95,12
83,4783,How to Choose the Right Dog Bed Size,Dog Beds,70.7,95,12
84,6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,70.5,95,12
85,4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Grooming,70.5,95,12
86,4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,70.3,95,12
87,6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,70.2,95,12
88,5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Toys,70.2,95,12
89,4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Uncategorized,70.2,95,12
90,4272,Best Cat ID Tags UK (2026) – Identification Guide,Uncategorized,70.2,95,12
91,4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Uncategorized,70.2,95,12
92,4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Uncategorized,70.2,95,12
93,4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,70.1,95,12
94,6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,70.0,95,12
95,5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Cat Toys,70.0,95,12
96,4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Dog Grooming,69.9,95,12
97,5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Dog Toys,69.6,95,12
98,7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Puppy Care,68.9,95,12
99,5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,68.8,95,12
100,7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Educational,68.7,95,12
101,7337,Puppy Vaccination Schedule UK: What to Expect and When,Puppy Care,68.6,95,12
102,4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,68.6,95,12
103,6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,68.5,95,12
104,5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Toys,68.5,95,12
105,5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,68.5,95,12
106,4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,68.5,95,12
107,5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,68.3,95,12
108,3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,68.3,95,12
109,5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,68.2,95,12
110,4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Grooming,67.8,95,12
111,7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,67.5,95,12
112,5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,67.2,95,12
113,7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Dog Food,67.1,95,12
114,5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,67.1,95,12
115,4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,67.0,95,12
116,4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Uncategorized,67.0,95,12
117,4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Dog Grooming,67.0,95,12
118,4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Dog Toys,66.7,95,12
119,4571,Pet First Aid Basics: What Every Owner Should Know,Uncategorized,66.6,95,12
120,4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,66.5,95,12
121,5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,66.4,95,12
122,5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,66.2,95,12
123,6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,66.0,95,12
124,4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,65.9,95,12
125,7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,65.8,95,12
126,5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Toys,65.8,95,12
127,4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,65.8,95,12
128,4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,65.7,95,12
129,7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Puppy Care,65.5,95,12
130,5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Educational,65.5,95,12
131,4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Dog Grooming,65.3,95,12
132,5414,Cat Toy Types Explained: A Complete Glossary,Cat Toys,65.2,95,12
133,4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,65.1,95,12
134,7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Puppy Care,64.7,95,12
135,4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Uncategorized,64.7,95,12
136,6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,64.1,95,12
137,5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,64.1,95,12
138,5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Dog Training,63.7,95,12
139,4791,How to Choose the Right Dog Training Treats,Dog Training,63.5,95,12
140,4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Uncategorized,63.4,95,12
141,6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Dog Toys,63.1,95,12
142,4786,Where to Place Your Dog’s Bed: Location and Comfort Tips,Uncategorized,63.1,95,12
143,5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,62.8,95,12
144,4573,Seasonal Pet Safety: Protecting Pets Through the Year,Uncategorized,62.4,95,12
145,7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,62.1,95,12
146,5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Toys,62.0,95,12
147,4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,61.7,95,12
148,7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,61.4,95,12
149,4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Dog Toys,61.2,95,12
150,4414,Harness vs Collar: Which Is Better for Your Dog?,Uncategorized,61.1,95,12
151,7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,61.0,95,12
152,4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,60.5,95,12
153,4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Uncategorized,60.3,95,12
154,7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Puppy Care,59.6,95,12
155,4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,59.4,95,12
156,7341,First Week with a New Puppy: A Day-by-Day Guide,Puppy Care,59.1,95,12
157,5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Cat Toys,58.5,95,12
158,7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Puppy Care,58.4,95,12
159,7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,57.8,95,12
160,7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,57.0,95,12
161,7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Dog Toys,56.1,95,12
162,7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Dog Training,56.0,95,12
163,4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,55.0,95,12
164,7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,51.7,95,12
165,7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,50.8,95,12
166,7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,49.2,95,12
167,8172,Our Research Standards,Uncategorized,44.0,95,12
168,8171,Why PetHub Online Exists,Uncategorized,19.9,95,12
